subject,roi,phase,condition,beta
25,hc_head,acquisition,CS+,-15.236258488310362
25,hc_head,acquisition,CS-,-2.1348031027147982
25,hc_head,baseline,CS+,-20.21731749916328
25,hc_head,baseline,CS-,-14.520934996584973
25,hc_head,extinction,CS+,3.602471099530141
25,hc_head,extinction,CS-,-38.62467620856359
26,hc_head,acquisition,CS+,-1.7576545568116173
26,hc_head,acquisition,CS-,-2.8158339471238945
26,hc_head,baseline,CS+,-24.321953008041422
26,hc_head,baseline,CS-,-6.605381025025419
26,hc_head,extinction,CS+,-0.12042560781078657
26,hc_head,extinction,CS-,-1.6615355203598592
101,hc_head,acquisition,CS+,-3.4432553786365148
101,hc_head,acquisition,CS-,-7.1494539734343086
101,hc_head,baseline,CS+,3.208287124454543
101,hc_head,baseline,CS-,0.4759452007778421
101,hc_head,extinction,CS+,-7.7716109657034185
101,hc_head,extinction,CS-,1.1908673599608701
102,hc_head,acquisition,CS+,-6.245084075668287
102,hc_head,acquisition,CS-,-5.356192350297731
102,hc_head,baseline,CS+,-2.92476124455604
102,hc_head,baseline,CS-,-10.983049733134871
102,hc_head,extinction,CS+,-10.614226000766633
102,hc_head,extinction,CS-,-8.52610374021764
103,hc_head,acquisition,CS+,-12.798734028528104
103,hc_head,acquisition,CS-,-12.99658809305878
103,hc_head,baseline,CS+,-9.568956644603324
103,hc_head,baseline,CS-,-13.831445305618901
103,hc_head,extinction,CS+,-10.528183792569738
103,hc_head,extinction,CS-,-7.11543771730524
104,hc_head,acquisition,CS+,3.3876627154197427
104,hc_head,acquisition,CS-,6.500922400746076
104,hc_head,baseline,CS+,0.9004055641290749
104,hc_head,baseline,CS-,2.662870442752596
104,hc_head,extinction,CS+,7.324366343694722
104,hc_head,extinction,CS-,2.4310605464089248
105,hc_head,acquisition,CS+,-9.919676918436338
105,hc_head,acquisition,CS-,-2.70526229970628
105,hc_head,baseline,CS+,-17.714096398555924
105,hc_head,baseline,CS-,-3.6704318781626344
105,hc_head,extinction,CS+,-5.519918698964857
105,hc_head,extinction,CS-,-3.5760846358311715
106,hc_head,acquisition,CS+,36.645119641553755
106,hc_head,acquisition,CS-,41.56149263346708
106,hc_head,baseline,CS+,37.80661638772707
106,hc_head,baseline,CS-,33.865829633677905
106,hc_head,extinction,CS+,28.789991341910305
106,hc_head,extinction,CS-,38.14525164592814
107,hc_head,acquisition,CS+,-13.570774448134344
107,hc_head,acquisition,CS-,-12.77435014368601
107,hc_head,baseline,CS+,-12.448350345158083
107,hc_head,baseline,CS-,-15.948462812168982
107,hc_head,extinction,CS+,-13.011726703463244
107,hc_head,extinction,CS-,-21.71576190714076
108,hc_head,acquisition,CS+,-11.718093478853259
108,hc_head,acquisition,CS-,-2.215768275711154
108,hc_head,baseline,CS+,-17.3358275690949
108,hc_head,baseline,CS-,-7.905244357563331
108,hc_head,extinction,CS+,-21.789940357529662
108,hc_head,extinction,CS-,-20.743170118776927
109,hc_head,acquisition,CS+,-11.185070891725319
109,hc_head,acquisition,CS-,-1.1146638424152526
109,hc_head,baseline,CS+,-8.14264148036773
109,hc_head,baseline,CS-,-2.597815923683077
109,hc_head,extinction,CS+,-3.602181095978967
109,hc_head,extinction,CS-,-14.407083092175366
110,hc_head,acquisition,CS+,9.928850158875631
110,hc_head,acquisition,CS-,19.023079013059235
110,hc_head,baseline,CS+,12.003053628800705
110,hc_head,baseline,CS-,6.9133710787546905
110,hc_head,extinction,CS+,30.20952469733856
110,hc_head,extinction,CS-,13.402965150440453
111,hc_head,acquisition,CS+,-18.665465768862216
111,hc_head,acquisition,CS-,-49.681507876228466
111,hc_head,baseline,CS+,-32.99546257437329
111,hc_head,baseline,CS-,-38.44036433219938
111,hc_head,extinction,CS+,-14.908511644396272
111,hc_head,extinction,CS-,1.5012461145577782
112,hc_head,acquisition,CS+,7.6579874533592545
112,hc_head,acquisition,CS-,-3.489574465784467
112,hc_head,baseline,CS+,-1.7008614359642968
112,hc_head,baseline,CS-,-0.5167376650818463
112,hc_head,extinction,CS+,3.610521356080203
112,hc_head,extinction,CS-,-8.921696902638388
113,hc_head,acquisition,CS+,-12.259876638794678
113,hc_head,acquisition,CS-,-22.253413166123224
113,hc_head,baseline,CS+,-12.55323280602379
113,hc_head,baseline,CS-,-21.425855342888074
113,hc_head,extinction,CS+,-20.896973255154137
113,hc_head,extinction,CS-,-12.00862686900665
114,hc_head,acquisition,CS+,-5.947298478617557
114,hc_head,acquisition,CS-,3.8654175293407644
114,hc_head,baseline,CS+,4.56739646150101
114,hc_head,baseline,CS-,5.701536414124658
114,hc_head,extinction,CS+,1.5646391027696491
114,hc_head,extinction,CS-,-0.008762270086703616
115,hc_head,acquisition,CS+,-26.078717011294316
115,hc_head,acquisition,CS-,-24.5306393195139
115,hc_head,baseline,CS+,-26.309715129625147
115,hc_head,baseline,CS-,-12.259587094306019
115,hc_head,extinction,CS+,-18.02735111513148
115,hc_head,extinction,CS-,-13.181821459669822
116,hc_head,acquisition,CS+,-4.119704390927318
116,hc_head,acquisition,CS-,-4.206356236898285
116,hc_head,baseline,CS+,13.047785459855529
116,hc_head,baseline,CS-,-5.328613498846771
116,hc_head,extinction,CS+,-17.493866652620817
116,hc_head,extinction,CS-,-14.444063300843723
117,hc_head,acquisition,CS+,9.050631046282302
117,hc_head,acquisition,CS-,-1.403286880711488
117,hc_head,baseline,CS+,-12.958524570585757
117,hc_head,baseline,CS-,2.6680317571777747
117,hc_head,extinction,CS+,-13.94474750842803
117,hc_head,extinction,CS-,8.623872122819094
118,hc_head,acquisition,CS+,-0.2345940306643892
118,hc_head,acquisition,CS-,-10.13433862887674
118,hc_head,baseline,CS+,-3.421153388988589
118,hc_head,baseline,CS-,4.500629003111497
118,hc_head,extinction,CS+,3.1586538736802945
118,hc_head,extinction,CS-,-2.282916255627496
120,hc_head,acquisition,CS+,-1.7431026507777996
120,hc_head,acquisition,CS-,-1.957009165695515
120,hc_head,baseline,CS+,7.736977260911368
120,hc_head,baseline,CS-,9.600845437056112
120,hc_head,extinction,CS+,6.858806601197412
120,hc_head,extinction,CS-,7.635057311677547
121,hc_head,acquisition,CS+,-29.19239023706166
121,hc_head,acquisition,CS-,-24.017057600535534
121,hc_head,baseline,CS+,-31.270755777989656
121,hc_head,baseline,CS-,-32.489082872240544
121,hc_head,extinction,CS+,-31.158142656394684
121,hc_head,extinction,CS-,-23.65555609481218
122,hc_head,acquisition,CS+,21.276845195372783
122,hc_head,acquisition,CS-,7.11057231219385
122,hc_head,baseline,CS+,-1.1166585626819705
122,hc_head,baseline,CS-,14.10206257204235
122,hc_head,extinction,CS+,13.779847456188975
122,hc_head,extinction,CS-,1.7764672974828624
123,hc_head,acquisition,CS+,4.13589595848882
123,hc_head,acquisition,CS-,-7.48252014798981
123,hc_head,baseline,CS+,2.1544326992765828
123,hc_head,baseline,CS-,-2.6801281467908495
123,hc_head,extinction,CS+,2.9683915027633203
123,hc_head,extinction,CS-,-3.4001118909666763
124,hc_head,acquisition,CS+,-4.980246233156096
124,hc_head,acquisition,CS-,-5.881555430002011
124,hc_head,baseline,CS+,-11.141531167035437
124,hc_head,baseline,CS-,-8.376087009273116
124,hc_head,extinction,CS+,-0.2880621960342049
124,hc_head,extinction,CS-,-19.771383787013246
125,hc_head,acquisition,CS+,7.161994763536329
125,hc_head,acquisition,CS-,10.110560145004687
125,hc_head,baseline,CS+,11.763780561452506
125,hc_head,baseline,CS-,9.322508665819532
125,hc_head,extinction,CS+,5.984833034163449
125,hc_head,extinction,CS-,4.4325010979381245
