subject,roi,phase,condition,beta
5,amyg_bla,extinction,CS-,-5.204913821768467
5,amyg_cem,acquisition,CS+,35.73155602460375
5,amyg_cem,acquisition,CS-,12.706496532214095
5,amyg_cem,baseline,CS+,41.4123863007974
5,amyg_cem,baseline,CS-,3.21778718170247
5,amyg_cem,extinction,CS+,-9.151293000799509
5,amyg_cem,extinction,CS-,41.64282213581038
5,hc_body,acquisition,CS+,4.416791403641131
5,hc_body,acquisition,CS-,2.960996633120205
5,hc_body,baseline,CS+,6.697224497063845
5,hc_body,baseline,CS-,-11.397342120122405
5,hc_body,extinction,CS+,4.186021335676744
5,hc_body,extinction,CS-,7.184640201603718
5,hc_tail,acquisition,CS+,-12.181792450478921
5,hc_tail,acquisition,CS+,-12.181792450478921
5,hc_tail,acquisition,CS-,-3.0266444353791684
5,hc_tail,acquisition,CS-,-3.0266444353791684
5,hc_tail,baseline,CS+,-13.081802509430174
5,hc_tail,baseline,CS+,-13.081802509430174
5,hc_tail,baseline,CS-,-29.865010246414812
5,hc_tail,baseline,CS-,-29.865010246414812
5,hc_tail,extinction,CS+,-13.116387588692747
5,hc_tail,extinction,CS+,-13.116387588692747
5,hc_tail,extinction,CS-,-3.6412504126744656
5,hc_tail,extinction,CS-,-3.6412504126744656
6,amyg_bla,acquisition,CS+,-30.74780898246607
6,amyg_bla,acquisition,CS-,-9.793454325305143
6,amyg_bla,baseline,CS+,-25.837755693277966
6,amyg_bla,baseline,CS-,-16.60166798478701
6,amyg_bla,extinction,CS+,-28.500417185769788
6,amyg_bla,extinction,CS-,-29.722061616779378
6,amyg_cem,acquisition,CS+,-16.416452118214995
6,amyg_cem,acquisition,CS-,17.39794687394802
6,amyg_cem,baseline,CS+,12.962573152501136
6,amyg_cem,baseline,CS-,5.322359311358014
6,amyg_cem,extinction,CS+,18.670202763737418
6,amyg_cem,extinction,CS-,0.2418250187280743
6,hc_body,acquisition,CS+,-27.91304346110649
6,hc_body,acquisition,CS-,-19.944905651326536
6,hc_body,baseline,CS+,-10.190529213383295
6,hc_body,baseline,CS-,-14.120204797762792
6,hc_body,extinction,CS+,-10.753107900713067
6,hc_body,extinction,CS-,-25.379089041539793
6,hc_tail,acquisition,CS+,-10.145064337611801
6,hc_tail,acquisition,CS+,-10.145064337611801
6,hc_tail,acquisition,CS-,3.0035897792170956
6,hc_tail,acquisition,CS-,3.0035897792170956
6,hc_tail,baseline,CS+,0.6643112870403612
6,hc_tail,baseline,CS+,0.6643112870403612
