subject,stimulus,source_memory
2,animals/aardvark.jpg,baseline
2,animals/angelfish.jpg,extinction
2,animals/ant.jpg,acquisition
2,animals/anteater.jpg,acquisition
2,animals/assassinbug.jpg,acquisition
2,animals/baboon.jpg,baseline
2,animals/baldeagle.jpg,baseline
2,animals/boar.jpg,baseline
2,animals/brown_bear.jpg,acquisition
2,animals/camel.jpg,acquisition
2,animals/canary.jpg,acquisition
2,animals/carp.jpg,acquisition
2,animals/cat.jpg,extinction
2,animals/caterpillarhawkmoth.jpg,baseline
2,animals/caterpillarpeacockmoth.jpg,acquisition
2,animals/catfish.jpg,extinction
2,animals/chipmunk.jpg,baseline
2,animals/cow.jpg,acquisition
2,animals/cranebug.jpg,acquisition
2,animals/cricket.jpg,acquisition
2,animals/crow.jpg,acquisition
2,animals/dragonfly.jpg,acquisition
2,animals/dramaderry.jpg,acquisition
2,animals/duck.jpg,baseline
2,animals/elephantafrican.jpg,acquisition
2,animals/finch.jpg,acquisition
2,animals/firebug.jpg,acquisition
2,animals/flamingo.jpg,acquisition
2,animals/flea.jpg,acquisition
2,animals/gerbil.jpg,baseline
2,animals/giraffe.jpg,acquisition
2,animals/goldfish.jpg,acquisition
2,animals/halibut.jpg,acquisition
2,animals/herculesbeetle.jpg,acquisition
2,animals/herring.jpg,acquisition
2,animals/horse.jpg,acquisition
2,animals/hummingbird.jpg,acquisition
2,animals/hyena.jpg,acquisition
2,animals/leopard.jpg,extinction
2,animals/llama.jpg,extinction
2,animals/mahimahi.jpg,baseline
2,animals/marmot.jpg,extinction
2,animals/mink.jpg,acquisition
2,animals/mole.jpg,acquisition
2,animals/mouse.jpg,acquisition
2,animals/ostrich.jpg,acquisition
2,animals/palmcockatoo.jpg,baseline
2,animals/partridge.jpg,baseline
2,animals/pelican.jpg,acquisition
2,animals/perch.jpg,extinction
2,animals/pigeon.jpg,acquisition
2,animals/pike.jpg,extinction
2,animals/porcupine.jpg,acquisition
2,animals/prayingmantis.jpg,acquisition
2,animals/quail.jpg,extinction
2,animals/rabbit.jpg,acquisition
2,animals/racoon.jpg,baseline
2,animals/reindeer.jpg,acquisition
2,animals/rhino.jpg,acquisition
2,animals/salmon.jpg,extinction
2,animals/seal.jpg,acquisition
2,animals/shark.jpg,acquisition
2,animals/sheep.jpg,extinction
2,animals/shrimp.jpg,extinction
2,animals/skunk.jpg,acquisition
2,animals/snail.jpg,acquisition
2,animals/snapper.jpg,acquisition
2,animals/starfish.jpg,acquisition
2,animals/tiger.jpg,acquisition
2,animals/turkey.jpg,baseline
2,animals/waterbuffalo.jpg,baseline
2,animals/zebra.jpg,acquisition
2,tools/airpump.jpg,baseline
2,tools/beadingtool.jpg,baseline
2,tools/beaker.jpg,acquisition
2,tools/benchdogs.jpg,baseline
2,tools/blackboard.jpg,baseline
2,tools/blower.jpg,extinction
2,tools/broom.jpg,baseline
2,tools/bucket.jpg,baseline
2,tools/camera.jpg,extinction
2,tools/campingstove.jpg,extinction
2,tools/carpetblower.jpg,baseline
2,tools/chainsaw.jpg,baseline
2,tools/cheesegrater.jpg,acquisition
2,tools/chisel.jpg,extinction
2,tools/drillbit.jpg,acquisition
2,tools/duffelbag.jpg,acquisition
2,tools/edger.jpg,acquisition
2,tools/electricbreaker.jpg,acquisition
2,tools/eraser.jpg,baseline
2,tools/extensioncord.jpg,baseline
2,tools/fan.jpg,baseline
2,tools/faxmachine.jpg,baseline
2,tools/gardenhose.jpg,extinction
2,tools/gong.jpg,baseline
2,tools/hairdryer.jpg,extinction
2,tools/hammer.jpg,baseline
2,tools/jumpercables.jpg,baseline
2,tools/ladder.jpg,acquisition
2,tools/lawnmower.jpg,baseline
2,tools/levelmount.jpg,baseline
2,tools/mallet.jpg,baseline
