subject,roi,phase,condition,beta
6,amyg_bla,extinction,CS-,-29.722061616779374
6,amyg_cem,acquisition,CS+,-16.416452118214995
6,amyg_cem,acquisition,CS-,17.39794687394802
6,amyg_cem,baseline,CS+,12.962573152501134
6,amyg_cem,baseline,CS-,5.322359311358014
6,amyg_cem,extinction,CS+,18.670202763737414
6,amyg_cem,extinction,CS-,0.2418250187280743
6,hc_body,acquisition,CS+,-27.913043461106486
6,hc_body,acquisition,CS-,-19.944905651326536
6,hc_body,baseline,CS+,-10.190529213383297
6,hc_body,baseline,CS-,-14.120204797762792
6,hc_body,extinction,CS+,-10.75310790071307
6,hc_body,extinction,CS-,-25.379089041539796
6,hc_tail,acquisition,CS+,-10.145064337611801
6,hc_tail,acquisition,CS-,3.003589779217096
6,hc_tail,baseline,CS+,0.6643112870403612
6,hc_tail,baseline,CS-,6.853991911492566
6,hc_tail,extinction,CS+,-0.24605464937266
6,hc_tail,extinction,CS-,-12.448306857993956
7,amyg_bla,acquisition,CS+,-24.291115949040762
7,amyg_bla,acquisition,CS-,-15.366850546747449
7,amyg_bla,baseline,CS+,-19.250830245716497
7,amyg_bla,baseline,CS-,-13.50964777820002
7,amyg_bla,extinction,CS+,-2.9286834522460894
7,amyg_bla,extinction,CS-,-11.80451860415956
7,amyg_cem,acquisition,CS+,-11.345143008105204
7,amyg_cem,acquisition,CS-,-18.30283204621325
7,amyg_cem,baseline,CS+,-13.441556278123135
7,amyg_cem,baseline,CS-,-6.6029408274403325
7,amyg_cem,extinction,CS+,14.742621852820008
7,amyg_cem,extinction,CS-,0.4398090992962905
7,hc_body,acquisition,CS+,-38.837463548634375
7,hc_body,acquisition,CS-,-20.448780946076177
7,hc_body,baseline,CS+,-32.415198227798555
7,hc_body,baseline,CS-,-10.604477221687693
7,hc_body,extinction,CS+,-23.71580138119559
7,hc_body,extinction,CS-,-28.585378433177034
7,hc_tail,acquisition,CS+,-35.681383752184246
7,hc_tail,acquisition,CS-,-13.092807904469025
7,hc_tail,baseline,CS+,-28.486873974668843
7,hc_tail,baseline,CS-,6.412905392066264
7,hc_tail,extinction,CS+,-14.559954758307764
7,hc_tail,extinction,CS-,-21.699474665691103
8,amyg_bla,acquisition,CS+,5.758896841287798
8,amyg_bla,acquisition,CS-,0.3700781863460199
8,amyg_bla,baseline,CS+,3.865622370424581
8,amyg_bla,baseline,CS-,5.691186964472242
8,amyg_bla,extinction,CS+,-3.553342218821248
8,amyg_bla,extinction,CS-,3.160506701902717
8,amyg_cem,acquisition,CS+,4.656219909057478
8,amyg_cem,acquisition,CS-,4.621141742914915
8,amyg_cem,baseline,CS+,10.36031472163373
8,amyg_cem,baseline,CS-,7.20081030597028
8,amyg_cem,extinction,CS+,2.96144689249463
8,amyg_cem,extinction,CS-,-4.702256036007351
8,hc_body,acquisition,CS+,34.82022476575168
8,hc_body,acquisition,CS-,39.657982358299755
8,hc_body,baseline,CS+,42.476996998824745
8,hc_body,baseline,CS-,41.24494776092681
8,hc_body,extinction,CS+,33.977280468384514
8,hc_body,extinction,CS-,30.464489411901564
8,hc_tail,acquisition,CS+,42.7102177338851
8,hc_tail,acquisition,CS-,53.576283395897576
8,hc_tail,baseline,CS+,49.531327076196305
8,hc_tail,baseline,CS-,49.29079312031072
8,hc_tail,extinction,CS+,43.00439966713417
8,hc_tail,extinction,CS-,40.431714569176116
9,amyg_bla,acquisition,CS+,-14.38564658393168
9,amyg_bla,acquisition,CS-,-18.2945868842547
9,amyg_bla,baseline,CS+,-10.973267754641462
9,amyg_bla,baseline,CS-,-4.612222911799615
9,amyg_bla,extinction,CS+,-11.37038880927949
9,amyg_bla,extinction,CS-,2.773805337027765
9,amyg_cem,acquisition,CS+,-13.749401107004712
9,amyg_cem,acquisition,CS-,52.95952860645929
9,amyg_cem,baseline,CS+,19.575548178667113
9,amyg_cem,baseline,CS-,31.204362599223494
9,amyg_cem,extinction,CS+,20.836771101517872
9,amyg_cem,extinction,CS-,42.186319384333636
9,hc_body,acquisition,CS+,-21.168338763917077
9,hc_body,acquisition,CS-,-13.574680873463027
9,hc_body,baseline,CS+,-11.0737949443593
9,hc_body,baseline,CS-,-13.551569328868453
9,hc_body,extinction,CS+,-12.367162530363808
9,hc_body,extinction,CS-,-20.16833070187325
9,hc_tail,acquisition,CS+,-8.46990731645089
9,hc_tail,acquisition,CS-,9.563174120126627
