"","condition","phase","hc_body_ret_uni.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CS-","acquisition",-0.00151833289195502,0.000554879560357123,Inf,-0.0026058768460124,-0.000430788937897638
"2","CS+","acquisition",-0.00420320451129177,0.000572606393253171,Inf,-0.00532549241938536,-0.00308091660319817
"3","CS-","extinction",-0.00208106105739735,0.000555391260500964,Inf,-0.00316960792530754,-0.000992514189487158
"4","CS+","extinction",-0.00216787316220629,0.000583487905139724,Inf,-0.00331148844169487,-0.00102425788271771
