"","condition","ev","yvar","SE","df","LCL","UCL","tvar","xvar"
"65","CS-",0.32,-0.00140274006188111,0.0326169026345448,Inf,-0.0653306945128385,0.0625252143890763,"CS-",0.32
"66","CS+",0.32,-0.0852838100014056,0.0327385279423074,Inf,-0.149450145675186,-0.021117474327625,"CS+",0.32
"67","CS-",0.33,-0.000923339062199727,0.0325187482814999,Inf,-0.0646589145162632,0.0628122363918638,"CS-",0.33
"68","CS+",0.33,-0.0838970057851748,0.0326358226630053,Inf,-0.147862042810501,-0.0199319687598483,"CS+",0.33
"69","CS-",0.34,-0.000443938062518346,0.0324241505485322,Inf,-0.063994105366946,0.0631062292419093,"CS-",0.34
"70","CS+",0.34,-0.0825102015689439,0.0325366588392011,Inf,-0.146280881071045,-0.0187395220668429,"CS+",0.34
"71","CS-",0.35,3.54629371630312e-05,0.0323331406526858,Inf,-0.063336328249169,0.063407254123495,"CS-",0.35
"72","CS+",0.35,-0.0811233973527131,0.0324410689468078,Inf,-0.144706724108437,-0.017540070596989,"CS+",0.35
"73","CS-",0.36,0.000514863936844412,0.0322457489727405,Inf,-0.0626856427042465,0.0637153705779353,"CS-",0.36
"74","CS+",0.36,-0.0797365931364822,0.0323490846681951,Inf,-0.143139634018981,-0.016333552253983,"CS+",0.36
"75","CS-",0.37,0.000994264936525793,0.0321620050033232,Inf,-0.0620421065405848,0.0640306364136364,"CS-",0.37
"76","CS+",0.37,-0.0783497889202514,0.0322607368451825,Inf,-0.141579671251533,-0.0151199065889694,"CS+",0.37
"77","CS-",0.38,0.00147366593620717,0.0320819373094696,Inf,-0.061405775744625,0.0643531076170393,"CS-",0.38
"78","CS+",0.38,-0.0769629847040205,0.0321760554323198,Inf,-0.140026894515932,-0.0138990748921093,"CS+",0.38
"79","CS-",0.39,0.00195306693588855,0.0320055734817834,Inf,-0.0607767043929571,0.0646828382647342,"CS-",0.39
"80","CS+",0.39,-0.0755761804877897,0.0320950694506004,Inf,-0.138481360692278,-0.0126710002833012,"CS+",0.39
"81","CS-",0.4,0.00243246793556993,0.0319329400923418,Inf,-0.0601549445658951,0.065019880437035,"CS-",0.4
"82","CS+",0.4,-0.0741893762715588,0.0320178069417558,Inf,-0.136943124741357,-0.0114356278017608,"CS+",0.4
"83","CS-",0.41,0.00291186893525131,0.0318640626514966,Inf,-0.0595405462628098,0.0653642841333124,"CS-",0.41
"84","CS+",0.41,-0.0728025720553279,0.0319442949232845,Inf,-0.135412239616491,-0.0101929044941647,"CS+",0.41
"85","CS-",0.42,0.00339126993493269,0.0317989655657234,Inf,-0.0589335573195145,0.0657160971893798,"CS-",0.42
"86","CS+",0.42,-0.0714157678390971,0.0318745593443666,Inf,-0.13388875617714,-0.00894277950105394,"CS+",0.42
"87","CS-",0.43,0.00387067093461407,0.0317376720966705,Inf,-0.058334023328002,0.0660753651972301,"CS-",0.43
"88","CS+",0.43,-0.0700289636228663,0.0318086250428223,Inf,-0.132372723104537,-0.00768520414119573,"CS+",0.43
"89","CS-",0.44,0.00435007193429545,0.0316802043215578,Inf,-0.057741987558828,0.0664421314274189,"CS-",0.44
"90","CS+",0.44,-0.0686421594066354,0.0317465157032661,Inf,-0.130864186819672,-0.00642013199359869,"CS+",0.44
"91","CS-",0.45,0.00482947293397682,0.0316265830950749,Inf,-0.0571574908864333,0.0668164367543869,"CS-",0.45
"92","CS+",0.45,-0.0672553551904046,0.0316882538166134,Inf,-0.129363191403931,-0.00514751897687832,"CS+",0.45
"93","CS-",0.46,0.00530887393365821,0.0315768280129252,Inf,-0.0565805717176907,0.0671983195850071,"CS-",0.46
"94","CS+",0.46,-0.0658685509741737,0.0316338606410924,Inf,-0.127869778522674,-0.00386732342567339,"CS+",0.46
"95","CS-",0.47,0.00578827493333959,0.0315309573771586,Inf,-0.0560112659239588,0.067587815790638,"CS-",0.47
"96","CS+",0.47,-0.0644817467579429,0.0315833561649097,Inf,-0.126383987352067,-0.00257950616381877,"CS+",0.47
"97","CS-",0.48,0.00626767593302096,0.0314889881634308,Inf,-0.0554496067769114,0.0679849586429533,"CS-",0.48
"98","CS+",0.48,-0.063094942541712,0.0315367590707188,Inf,-0.124905854509438,-0.00128403057398629,"CS+",0.48
"99","CS-",0.49,0.00674707693270235,0.0314509359903219,Inf,-0.0548956248884032,0.0683897787538079,"CS-",0.49
"100","CS+",0.49,-0.0617081383254812,0.0314940867020324,Inf,-0.123435413987446,1.91373364841485e-05,"CS+",0.49
"101","CS-",0.5,0.00722647793238372,0.0314168150908415,Inf,-0.05434934815462,0.0688023040193875,"CS-",0.5
"102","CS+",0.5,-0.0603213341092503,0.0314553550317151,Inf,-0.121972697092333,0.001330028873832,"CS+",0.5
"103","CS-",0.51,0.0077058789320651,0.031386638286237,Inf,-0.0538108017047453,0.0692225595688755,"CS-",0.51
"104","CS+",0.51,-0.0589345298930194,0.0314205786326874,Inf,-0.120517732386496,0.00264867260045671,"CS+",0.51
"105","CS-",0.52,0.00818527993174649,0.0313604169622182,Inf,-0.0532800078543602,0.0696505677178532,"CS-",0.52
"106","CS+",0.52,-0.0575477256767886,0.0313897706509635,Inf,-0.119070545635649,0.00397509428207227,"CS+",0.52
"107","CS-",0.53,0.00866468093142787,0.0313381610476978,Inf,-0.0527569860637758,0.0700863479266316,"CS-",0.53
"108","CS+",0.53,-0.0561609214605577,0.0313629427811363,Inf,-0.117631159760775,0.00530931683965979,"CS+",0.53
"109","CS-",0.54,0.00914408193110924,0.0313198789961401,Inf,-0.0522417529014779,0.0705299167636964,"CS-",0.54
"110","CS+",0.54,-0.0547741172443269,0.0313401052444166,Inf,-0.116199594795078,0.00665136030642442,"CS+",0.54
"111","CS-",0.55,0.00962348293079062,0.0313055777695993,Inf,-0.0517343220128418,0.070981287874423,"CS-",0.55
"112","CS+",0.55,-0.053387313028096,0.0313212667693203,Inf,-0.114775867846135,0.00800124178994294,"CS+",0.55
"113","CS-",0.56,0.010102883930472,0.0312952628255165,Inf,-0.0512347040942555,0.0714404719551995,"CS-",0.56
"114","CS+",0.56,-0.0520005088118652,0.0313064345750884,Inf,-0.113359993063398,0.00935897543966763,"CS+",0.56
"115","CS-",0.57,0.0105822849301534,0.0312889381063345,Inf,-0.0507429068727652,0.0719074767330719,"CS-",0.57
"116","CS+",0.57,-0.0506137045956343,0.0312956143579128,Inf,-0.111951981611198,0.0107245724199294,"CS+",0.57
"117","CS-",0.58,0.0110616859298348,0.0312866060319758,Inf,-0.0502589350913314,0.072382306951001,"CS-",0.58
"118","CS+",0.58,-0.0492269003794035,0.031288810280029,Inf,-0.110551841647367,0.0120980408885599,"CS+",0.58
"119","CS-",0.59,0.0115410869295161,0.031288267495217,Inf,-0.0497827904997644,0.0728649643587967,"CS-",0.59
"120","CS+",0.59,-0.0478400961631726,0.0312860249617243,Inf,-0.109159578307573,0.0134793859812282,"CS+",0.59
"121","CS-",0.6,0.0120204879291975,0.031293921859981,Inf,-0.0493144718513759,0.0733554477097709,"CS-",0.6
"122","CS+",0.6,-0.0464532919469418,0.0312872594762976,Inf,-0.107775193695444,0.0148686098015609,"CS+",0.6
"123","CS-",0.61,0.0124998889288789,0.0313035669625538,Inf,-0.0488539749053645,0.0738537527631223,"CS-",0.61
"124","CS+",0.61,-0.0450664877307109,0.0312925133479918,Inf,-0.106398686878514,0.0162657114170919,"CS+",0.61
"125","CS-",0.62,0.0129792899285603,0.0313171991157214,Inf,-0.0484012924349233,0.0743598722920438,"CS-",0.62
"126","CS+",0.62,-0.0436796835144801,0.0313017845529111,Inf,-0.105030053890018,0.0176706868610579,"CS+",0.62
"127","CS-",0.63,0.0134586909282417,0.0313348131158069,Inf,-0.0479564142410332,0.0748737960975165,"CS-",0.63
"128","CS+",0.63,-0.0422928792982492,0.0313150695229154,Inf,-0.103669287736531,0.0190835291400328,"CS+",0.63
"129","CS-",0.64,0.013938091927923,0.0313564022525784,Inf,-0.0475193271718813,0.0753955110277273,"CS-",0.64
"130","CS+",0.64,-0.0409060750820184,0.0313323631524775,Inf,-0.102316378411404,0.0205042282473673,"CS+",0.64
"131","CS-",0.65,0.0144174929276044,0.031381958321982,Inf,-0.0470900151478174,0.0759250010030262,"CS-",0.65
"132","CS+",0.65,-0.0395192708657875,0.0313536588084704,Inf,-0.100971312913947,0.0219327711823715,"CS+",0.65
"133","CS-",0.66,0.0148968939272858,0.0314114716416453,Inf,-0.0466684591917402,0.0764622470463118,"CS-",0.66
"134","CS+",0.66,-0.0381324666495567,0.0313789483428422,Inf,-0.0996340752742702,0.0233691419751569,"CS+",0.66
"135","CS-",0.67,0.0153762949269672,0.0314449310690818,Inf,-0.0462546374647778,0.0770072273187122,"CS-",0.67
"136","CS+",0.67,-0.0367456624333258,0.0314082221081215,Inf,-0.0983046465836786,0.0248133217170269,"CS+",0.67
"137","CS-",0.68,0.0158556959266486,0.0314823240225191,Inf,-0.0458485253071091,0.0775599171604062,"CS-",0.68
"138","CS+",0.68,-0.035358858217095,0.031441468975685,Inf,-0.096983005030471,0.0262652885962811,"CS+",0.68
"139","CS-",0.69,0.0163350969263299,0.0315236365042584,Inf,-0.0454500952837487,0.0781202891364086,"CS-",0.69
"140","CS+",0.69,-0.0339720540008641,0.0314786763567082,Inf,-0.0956691259410046,0.0277250179392764,"CS+",0.69
"141","CS-",0.7,0.0168144979260113,0.0315688531264679,Inf,-0.0450593172351004,0.078688313087123,"CS-",0.7
"142","CS+",0.7,-0.0325852497846333,0.0315198302257061,Inf,-0.0943629818258341,0.0291924822565676,"CS+",0.7
"143","CS-",0.71,0.0172938989256927,0.0316179571392989,Inf,-0.0446761583320642,0.0792639561834495,"CS-",0.71
"144","CS+",0.71,-0.0311984455684024,0.0315649151465648,Inf,-0.0930645424307322,0.0306676512939273,"CS+",0.71
"145","CS-",0.72,0.0177732999253741,0.031670930461209,Inf,-0.044300583135468,0.0798471829862162,"CS-",0.72
"146","CS+",0.72,-0.0298116413521716,0.031613914300951,Inf,-0.0917737747923713,0.0321504920880281,"CS+",0.72
"147","CS-",0.73,0.0182527009250555,0.0317277537113657,Inf,-0.0439325536595784,0.0804379555096893,"CS-",0.73
"148","CS+",0.73,-0.0284248371359407,0.0316668095189815,Inf,-0.0904906432984346,0.0336409690265532,"CS+",0.73
"149","CS-",0.74,0.0187321019247368,0.0317884062440001,Inf,-0.0435720294394315,0.0810362332889052,"CS-",0.74
"150","CS+",0.74,-0.0270380329197099,0.0317235813120238,Inf,-0.0892151097519044,0.0351390439124846,"CS+",0.74
"151","CS-",0.75,0.0192115029244182,0.0318528661845719,Inf,-0.0432189676017164,0.0816419734505529,"CS-",0.75
"152","CS+",0.75,-0.025651228703479,0.0317842089074945,Inf,-0.0879471334392654,0.0366446760323074,"CS+",0.75
"153","CS-",0.76,0.0196909039240996,0.0319211104676052,Inf,-0.0428733229389311,0.0822551307871303,"CS-",0.76
"154","CS+",0.76,-0.0242644244872482,0.0318486702855153,Inf,-0.0866866712023491,0.0381578222278528,"CS+",0.76
"155","CS-",0.77,0.020170304923781,0.0319931148760483,Inf,-0.0425350479865262,0.0828756578340882,"CS-",0.77
"156","CS+",0.77,-0.0228776202710173,0.0319169422172804,Inf,-0.0854336775135329,0.0396784369714983,"CS+",0.77
"157","CS-",0.78,0.0206497059234623,0.0320688540820083,Inf,-0.0422040931027442,0.0835035049496689,"CS-",0.78
"158","CS+",0.78,-0.0214908160547865,0.0319890003049878,Inf,-0.0841881045540034,0.0412064724444305,"CS+",0.78
"159","CS-",0.79,0.0211291069231437,0.0321483016887116,Inf,-0.0418804065508591,0.0841386203971466,"CS-",0.79
"160","CS+",0.79,-0.0201040118385556,0.032064819023181,Inf,-0.0829499022947851,0.0427418786176739,"CS+",0.79
"161","CS-",0.8,0.0216085079228251,0.0322314302735365,Inf,-0.0415639345835203,0.0847809504291706,"CS-",0.8
"162","CS+",0.8,-0.0187172076223248,0.0321443717613477,Inf,-0.0817190185802326,0.0442846033355831,"CS+",0.8
"163","CS-",0.81,0.0220879089225065,0.0323182114319686,Inf,-0.0412546215289026,0.0854304393739156,"CS-",0.81
"164","CS+",0.81,-0.0173304034060939,0.0322276308676212,Inf,-0.0804953992136828,0.045834592401495,"CS+",0.81
"165","CS-",0.82,0.0225673099221879,0.0324086158223267,Inf,-0.0409524098783674,0.0860870297227431,"CS-",0.82
"166","CS+",0.82,-0.0159435991898631,0.0323145676934276,Inf,-0.0792789880449628,0.0473917896652367,"CS+",0.82
"167","CS-",0.83,0.0230467109218693,0.0325026132111105,Inf,-0.0406572403753431,0.0867506622190816,"CS-",0.83
"168","CS+",0.83,-0.0145567949736322,0.0324051526389265,Inf,-0.0780697270594512,0.0489561371121868,"CS+",0.83
"169","CS-",0.84,0.0235261119215506,0.0326001725188242,Inf,-0.0403690521051372,0.0874212759482385,"CS-",0.84
"170","CS+",0.84,-0.0131699907574014,0.0324993551990909,Inf,-0.076867556468394,0.0505275749535913,"CS+",0.84
"171","CS-",0.85,0.024005512921232,0.0327012618661314,Inf,-0.0400877825853987,0.0880988084278627,"CS-",0.85
"172","CS+",0.85,-0.0117831865411705,0.0325971440102774,Inf,-0.0756724148001798,0.0521060417178388,"CS+",0.85
"173","CS-",0.86,0.0244849139209134,0.0328058486202027,Inf,-0.039813367856957,0.0887831956987838,"CS-",0.86
"174","CS+",0.86,-0.0103963823249397,0.0326984868971394,Inf,-0.0744842389922878,0.0536914743424085,"CS+",0.86
"175","CS-",0.87,0.0249643149205948,0.0329138994411201,Inf,-0.0395457425747737,0.0894743724159632,"CS-",0.87
"176","CS+",0.87,-0.00900957810870882,0.0328033509197395,Inf,-0.0733029644836272,0.0552838082662095,"CS+",0.87
"177","CS-",0.88,0.0254437159202761,0.0330253803282086,Inf,-0.0392848400987504,0.0901722719393027,"CS-",0.88
"178","CS+",0.88,-0.00762277389247796,0.0329117024207241,Inf,-0.0721285253069969,0.0568829775220409,"CS+",0.88
"179","CS-",0.89,0.0259231169199575,0.0331402566661704,Inf,-0.0390305925841498,0.0908768264240649,"CS-",0.89
"180","CS+",0.89,-0.0062359696762471,0.0330235070724258,Inf,-0.0709608541814054,0.0584889148289112,"CS+",0.89
"181","CS-",0.9,0.0264025179196389,0.0332584932709018,Inf,-0.0387829310713964,0.0915879669106742,"CS-",0.9
"182","CS+",0.9,-0.00484916546001626,0.0331387299237669,Inf,-0.0697998826039991,0.0601015516839665,"CS+",0.9
"183","CS-",0.91,0.0268819189193203,0.0333800544348829,Inf,-0.0385417855750368,0.0923056234136773,"CS-",0.91
"184","CS+",0.91,-0.0034623612437854,0.033257335446841,Inf,-0.068645540941361,0.0617208184537902,"CS+",0.91
"185","CS-",0.92,0.0273613199190017,0.0335049039720312,Inf,-0.0383070851716524,0.0930297250096557,"CS-",0.92
"186","CS+",0.92,-0.00207555702755454,0.0333792875830596,Inf,-0.0674977585199563,0.0633466444648472,"CS+",0.92
"187","CS-",0.93,0.027840720918683,0.0336330052619219,Inf,-0.0380787580865299,0.093760199923896,"CS-",0.93
"188","CS+",0.93,-0.000688752811323697,0.033504549788753,Inf,-0.0663564637155085,0.0649789580928612,"CS+",0.93
"189","CS-",0.94,0.0283201219183644,0.0337643212932832,Inf,-0.0378567317789094,0.0944969756156383,"CS-",0.94
"190","CS+",0.94,0.000698051404907155,0.0336330850801261,Inf,-0.0652215840411113,0.0666176868509257,"CS+",0.94
"191","CS-",0.95,0.0287995229180458,0.0338988147066796,Inf,-0.0376409330256429,0.0952399788617346,"CS-",0.95
"192","CS+",0.95,0.00208485562113801,0.0337648560774737,Inf,-0.0640930462338888,0.0682627574761648,"CS+",0.95
"193","CS-",0.96,0.0292789239177272,0.0340364478363077,Inf,-0.0374312880031122,0.0959891358385666,"CS-",0.96
"194","CS+",0.96,0.00347165983736884,0.0338998250485688,Inf,-0.0629707763400347,0.0699140960147724,"CS+",0.96
"195","CS-",0.97,0.0297583249174086,0.0341771827508317,Inf,-0.0372277223672652,0.0967443722020823,"CS-",0.97
"196","CS+",0.97,0.00485846405359969,0.0340379539511436,Inf,-0.0618546997980745,0.0715716279052739,"CS+",0.97
"197","CS-",0.98,0.0302377259170899,0.0343209812931967,Inf,-0.0370301613316485,0.0975056131658284,"CS-",0.98
"198","CS+",0.98,0.00624526826983055,0.0341792044743922,Inf,-0.0607447415202084,0.0732352780598695,"CS+",0.98
"199","CS-",0.99,0.0307171269167713,0.034467805119362,Inf,-0.0368385297433235,0.0982727835768662,"CS-",0.99
"200","CS+",0.99,0.0076320724860614,0.0343235380794288,Inf,-0.0596408259716081,0.0749049709437309,"CS+",0.99
"201","CS-",1,0.0311965279164527,0.0346176157359058,Inf,-0.0366527521565698,0.0990458079894752,"CS-",1
"202","CS+",1,0.00901887670229225,0.0344709160386437,Inf,-0.0585428772475535,0.076580630652138,"CS+",1
