roi,cope,subject,phase,beta
hc_tail,CS+B,112,memory_run-01,-0.11835817
hc_tail,CS+B,112,memory_run-02,-0.08614031
hc_tail,CS+B,112,memory_run-03,-0.008026871
hc_tail,CS+B,113,memory_run-01,0.1869704
hc_tail,CS+B,113,memory_run-02,-0.04590813
hc_tail,CS+B,113,memory_run-03,0.26717293
hc_tail,CS+B,114,memory_run-01,-0.06614298
hc_tail,CS+B,114,memory_run-02,0.23211996
hc_tail,CS+B,114,memory_run-03,0.28432077
hc_tail,CS+B,115,memory_run-01,0.07715837
hc_tail,CS+B,115,memory_run-02,-0.050660793
hc_tail,CS+B,115,memory_run-03,-0.018449768
hc_tail,CS+B,116,memory_run-01,0.13083194
hc_tail,CS+B,116,memory_run-02,0.18413988
hc_tail,CS+B,116,memory_run-03,0.27688372
hc_tail,CS+B,117,memory_run-01,0.10739509
hc_tail,CS+B,117,memory_run-02,-0.17101333
hc_tail,CS+B,117,memory_run-03,0.30600876
hc_tail,CS+B,118,memory_run-01,-0.005249997
hc_tail,CS+B,118,memory_run-02,0.0041983756
hc_tail,CS+B,118,memory_run-03,0.1316955
hc_tail,CS+B,120,memory_run-01,0.08702648
hc_tail,CS+B,120,memory_run-02,0.112738565
hc_tail,CS+B,120,memory_run-03,0.0073365397
hc_tail,CS+B,121,memory_run-01,0.016773645
hc_tail,CS+B,121,memory_run-02,0.019994076
hc_tail,CS+B,121,memory_run-03,0.30635405
hc_tail,CS+B,122,memory_run-01,0.053001728
hc_tail,CS+B,122,memory_run-02,0.19015834
hc_tail,CS+B,122,memory_run-03,0.27108917
hc_tail,CS+B,123,memory_run-01,0.20612973
hc_tail,CS+B,123,memory_run-02,0.07626478
hc_tail,CS+B,123,memory_run-03,0.21348011
hc_tail,CS+B,124,memory_run-01,0.16623838
hc_tail,CS+B,124,memory_run-02,-0.11214518
hc_tail,CS+B,124,memory_run-03,-0.06279546
hc_tail,CS+B,125,memory_run-01,0.24442336
hc_tail,CS+B,125,memory_run-02,0.2141782
hc_tail,CS+B,125,memory_run-03,0.3904492
hc_tail,CS-B,1,memory_run-01,0.024623148
hc_tail,CS-B,1,memory_run-02,0.019163802
hc_tail,CS-B,1,memory_run-03,-0.123027556
hc_tail,CS-B,2,memory_run-01,-0.07519201
hc_tail,CS-B,2,memory_run-02,-0.045160368
hc_tail,CS-B,2,memory_run-03,0.041878182
hc_tail,CS-B,3,memory_run-01,-0.12698486
hc_tail,CS-B,3,memory_run-02,0.02565802
hc_tail,CS-B,3,memory_run-03,0.3605164
hc_tail,CS-B,4,memory_run-01,-0.1798201
hc_tail,CS-B,4,memory_run-02,0.06425434
hc_tail,CS-B,4,memory_run-03,0.02162857
hc_tail,CS-B,5,memory_run-01,-0.058371563
hc_tail,CS-B,5,memory_run-02,-0.3695901
hc_tail,CS-B,5,memory_run-03,-0.004380004
hc_tail,CS-B,6,memory_run-01,0.14953414
hc_tail,CS-B,6,memory_run-02,-0.17063843
hc_tail,CS-B,6,memory_run-03,0.17029811
hc_tail,CS-B,7,memory_run-01,-0.058658954
hc_tail,CS-B,7,memory_run-02,-0.19033684
hc_tail,CS-B,7,memory_run-03,-0.15705724
hc_tail,CS-B,8,memory_run-01,0.28218734
hc_tail,CS-B,8,memory_run-02,0.2074396
hc_tail,CS-B,8,memory_run-03,0.06163889
hc_tail,CS-B,9,memory_run-01,-0.010884175
hc_tail,CS-B,9,memory_run-02,-0.17601164
hc_tail,CS-B,9,memory_run-03,0.057648905
hc_tail,CS-B,10,memory_run-01,-0.2002606
hc_tail,CS-B,10,memory_run-02,-0.14235295
hc_tail,CS-B,10,memory_run-03,-0.07553878
hc_tail,CS-B,12,memory_run-01,0.23776586
hc_tail,CS-B,12,memory_run-02,0.187203
hc_tail,CS-B,12,memory_run-03,0.5359624
hc_tail,CS-B,13,memory_run-01,-0.04118752
hc_tail,CS-B,13,memory_run-02,0.0073481356
hc_tail,CS-B,13,memory_run-03,0.11420729
hc_tail,CS-B,14,memory_run-01,0.18025857
hc_tail,CS-B,14,memory_run-02,-0.12517484
hc_tail,CS-B,14,memory_run-03,-0.029458623
hc_tail,CS-B,15,memory_run-01,0.18148574
hc_tail,CS-B,15,memory_run-02,0.18072626
hc_tail,CS-B,15,memory_run-03,0.16392645
hc_tail,CS-B,16,memory_run-01,0.061044835
hc_tail,CS-B,16,memory_run-02,-0.011020314
hc_tail,CS-B,16,memory_run-03,-0.09363401
hc_tail,CS-B,17,memory_run-01,0.117058046
hc_tail,CS-B,17,memory_run-02,0.27059132
hc_tail,CS-B,17,memory_run-03,0.19636762
hc_tail,CS-B,18,memory_run-01,0.049773775
hc_tail,CS-B,18,memory_run-02,0.067568615
hc_tail,CS-B,18,memory_run-03,-0.02448821
hc_tail,CS-B,19,memory_run-01,0.24757136
hc_tail,CS-B,19,memory_run-02,-0.1253536
hc_tail,CS-B,19,memory_run-03,-0.0147671355
hc_tail,CS-B,20,memory_run-01,0.3258938
hc_tail,CS-B,20,memory_run-02,0.045279115
hc_tail,CS-B,20,memory_run-03,0.02273979
hc_tail,CS-B,21,memory_run-01,0.2636801
hc_tail,CS-B,21,memory_run-02,0.116735384
hc_tail,CS-B,21,memory_run-03,0.14067015
hc_tail,CS-B,23,memory_run-01,0.15256673
hc_tail,CS-B,23,memory_run-02,0.3443958
hc_tail,CS-B,23,memory_run-03,0.39445573
hc_tail,CS-B,24,memory_run-01,-0.090713196
hc_tail,CS-B,24,memory_run-02,-0.112283036
hc_tail,CS-B,24,memory_run-03,0.026546963
hc_tail,CS-B,25,memory_run-01,0.10252703
hc_tail,CS-B,25,memory_run-02,-0.011887596
hc_tail,CS-B,25,memory_run-03,-0.28753108
hc_tail,CS-B,26,memory_run-01,-0.05091369
hc_tail,CS-B,26,memory_run-02,-0.23988615
hc_tail,CS-B,26,memory_run-03,0.026691826
hc_tail,CS-B,101,memory_run-01,-0.1193647
hc_tail,CS-B,101,memory_run-02,0.21969898
hc_tail,CS-B,101,memory_run-03,0.1335339
hc_tail,CS-B,102,memory_run-01,0.305509
hc_tail,CS-B,102,memory_run-02,0.1384185
hc_tail,CS-B,102,memory_run-03,0.19952837
hc_tail,CS-B,103,memory_run-01,0.050450534
hc_tail,CS-B,103,memory_run-02,-0.3404505
