subject,roi,phase,condition,beta
10,sgACC,extinction,CS-,-53.72901043471884
12,rACC,acquisition,CS+,107.50148189013372
12,rACC,acquisition,CS-,107.35550702526339
12,rACC,baseline,CS+,75.4811887950506
12,rACC,baseline,CS-,139.2043274623469
12,rACC,extinction,CS+,79.72062176746513
12,rACC,extinction,CS-,121.35781935285142
12,sgACC,acquisition,CS+,-78.64785058949448
12,sgACC,acquisition,CS-,-60.12387199744266
12,sgACC,baseline,CS+,-127.03637011660459
12,sgACC,baseline,CS-,-78.05137586219737
12,sgACC,extinction,CS+,-87.84127665729103
12,sgACC,extinction,CS-,-71.31161837972842
13,rACC,acquisition,CS+,91.39727078136592
13,rACC,acquisition,CS-,91.36159965344187
13,rACC,baseline,CS+,108.59181740992003
13,rACC,baseline,CS-,125.44117012762739
13,rACC,extinction,CS+,98.64841437825845
13,rACC,extinction,CS-,58.38160454387821
13,sgACC,acquisition,CS+,-117.95525366329763
13,sgACC,acquisition,CS-,-103.70256580657514
13,sgACC,baseline,CS+,-112.40171963551526
13,sgACC,baseline,CS-,-132.30841284703538
13,sgACC,extinction,CS+,-142.74277725452774
13,sgACC,extinction,CS-,-146.48664519636472
14,rACC,acquisition,CS+,46.58421288195273
14,rACC,acquisition,CS-,48.64880518460634
14,rACC,baseline,CS+,28.004475042193494
14,rACC,baseline,CS-,40.913189267295294
14,rACC,extinction,CS+,64.49116302321552
14,rACC,extinction,CS-,51.62573860874674
14,sgACC,acquisition,CS+,-188.57667904137037
14,sgACC,acquisition,CS-,-188.152018943984
14,sgACC,baseline,CS+,-191.822163777402
14,sgACC,baseline,CS-,-182.1822872729136
14,sgACC,extinction,CS+,-180.0559204462468
14,sgACC,extinction,CS-,-182.3543989852874
15,rACC,acquisition,CS+,111.7444000423051
15,rACC,acquisition,CS-,111.39304385471691
15,rACC,baseline,CS+,100.32105697740569
15,rACC,baseline,CS-,115.7719657901783
15,rACC,extinction,CS+,122.40670589234927
15,rACC,extinction,CS-,83.95839204800747
15,sgACC,acquisition,CS+,-62.234087838855636
15,sgACC,acquisition,CS-,-58.94048160664715
15,sgACC,baseline,CS+,-34.04412846373221
15,sgACC,baseline,CS-,-71.09838908249037
15,sgACC,extinction,CS+,-49.71237189342847
15,sgACC,extinction,CS-,-60.91291722098495
16,rACC,acquisition,CS+,20.460631933327104
16,rACC,acquisition,CS-,14.880358024515528
16,rACC,baseline,CS+,5.9672534389001335
16,rACC,baseline,CS-,15.694325092802542
16,rACC,extinction,CS+,20.60298695964445
16,rACC,extinction,CS-,5.872132429573076
16,sgACC,acquisition,CS+,-45.10567592419684
16,sgACC,acquisition,CS-,-45.834853814374654
16,sgACC,baseline,CS+,-62.221262754383496
16,sgACC,baseline,CS-,-46.106023245279985
16,sgACC,extinction,CS+,-42.23893248214184
16,sgACC,extinction,CS-,-39.037759123850456
17,rACC,acquisition,CS+,57.11688505015968
17,rACC,acquisition,CS-,54.451811710384064
17,rACC,baseline,CS+,36.476730832669105
17,rACC,baseline,CS-,67.39585709761192
17,rACC,extinction,CS+,59.88890804212115
17,rACC,extinction,CS-,38.60012686308358
17,sgACC,acquisition,CS+,-78.25288153023564
17,sgACC,acquisition,CS-,-78.9226211288828
17,sgACC,baseline,CS+,-86.72838476910546
17,sgACC,baseline,CS-,-100.93900014809759
17,sgACC,extinction,CS+,-85.10575455416253
17,sgACC,extinction,CS-,-87.33882736175529
18,rACC,acquisition,CS+,36.02150115758297
18,rACC,acquisition,CS-,55.095775958954015
18,rACC,baseline,CS+,68.95869839818629
18,rACC,baseline,CS-,54.928966662594746
18,rACC,extinction,CS+,49.38204150628753
18,rACC,extinction,CS-,91.61573636242589
18,sgACC,acquisition,CS+,-19.21955922174607
18,sgACC,acquisition,CS-,-41.93617915361213
18,sgACC,baseline,CS+,-31.50569664265647
