group,memory_phase,roi,condition,el,subject,rsa
healthy,encoding,A14m,CS+,early,2,0.16453493318658718
healthy,encoding,A14m,CS+,early,3,0.054744380117001605
healthy,encoding,A14m,CS+,early,4,0.3691613175567247
healthy,encoding,A14m,CS+,early,5,0.32542938218869905
healthy,encoding,A14m,CS+,early,6,0.6613932291555851
healthy,encoding,A14m,CS+,early,7,0.15037648419483624
healthy,encoding,A14m,CS+,early,8,0.24351402552916865
healthy,encoding,A14m,CS+,early,9,0.12055807019374873
healthy,encoding,A14m,CS+,early,10,0.14709463507737272
healthy,encoding,A14m,CS+,early,12,0.03838987386975926
healthy,encoding,A14m,CS+,early,13,0.23534302303567628
healthy,encoding,A14m,CS+,early,14,0.4864702597273119
healthy,encoding,A14m,CS+,early,15,0.33179869841063686
healthy,encoding,A14m,CS+,early,16,0.18771394244053857
healthy,encoding,A14m,CS+,early,17,0.2311532134888839
healthy,encoding,A14m,CS+,early,18,0.143501521222824
healthy,encoding,A14m,CS+,early,19,0.27448763768838275
healthy,encoding,A14m,CS+,early,21,0.17180072217783818
healthy,encoding,A14m,CS+,early,23,0.16432379588921234
healthy,encoding,A14m,CS+,early,24,0.04916610788544966
healthy,encoding,A14m,CS+,early,25,0.1336125150875404
healthy,encoding,A14m,CS+,early,26,0.7548668983437555
healthy,encoding,A11m,CS+,early,1,0.526651747893233
healthy,encoding,A11m,CS+,early,2,0.20167496538065252
healthy,encoding,A11m,CS+,early,3,0.02722762794672727
healthy,encoding,A11m,CS+,early,4,0.04759144648767248
healthy,encoding,A11m,CS+,early,5,0.5849468777994051
healthy,encoding,A11m,CS+,early,6,0.09278959904834788
healthy,encoding,A11m,CS+,early,7,0.05549839567078584
healthy,encoding,A11m,CS+,early,8,0.1974444853751584
healthy,encoding,A11m,CS+,early,9,0.1564690188445376
healthy,encoding,A11m,CS+,early,10,0.18619051685745186
healthy,encoding,A11m,CS+,early,12,0.10735911031020338
healthy,encoding,A11m,CS+,early,13,0.32883488994121896
healthy,encoding,A11m,CS+,early,14,0.1180971689912087
healthy,encoding,A11m,CS+,early,15,0.2568369417573527
healthy,encoding,A11m,CS+,early,16,0.10394771510671347
healthy,encoding,A11m,CS+,early,17,0.09639432974608969
healthy,encoding,A11m,CS+,early,18,0.17823886241190476
healthy,encoding,A11m,CS+,early,19,0.4023389283797878
healthy,encoding,A11m,CS+,early,21,0.2949068369879181
healthy,encoding,A11m,CS+,early,23,0.03911821816101061
healthy,encoding,A11m,CS+,early,24,0.012692233334152798
healthy,encoding,A11m,CS+,early,25,0.036050352930111676
healthy,encoding,A11m,CS+,early,26,0.40691803296411894
healthy,encoding,A13,CS+,early,1,0.13460525521222816
healthy,encoding,A13,CS+,early,2,0.022887962645563063
healthy,encoding,A13,CS+,early,3,0.011186296331850488
healthy,encoding,A13,CS+,early,4,0.10396968586146693
healthy,encoding,A13,CS+,early,5,0.1215653181549307
healthy,encoding,A13,CS+,early,6,0.4649140550972566
healthy,encoding,A13,CS+,early,7,0.1296586470095831
healthy,encoding,A13,CS+,early,8,0.24055077152823806
