"","condition","phase","hc_tail_ret_uni.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CS-","acquisition",-0.00107904628395049,0.00045787353113648,Inf,-0.00197646191445217,-0.000181630653448807
"2","CS+","acquisition",-0.00314180540602096,0.000475130860785169,Inf,-0.00407304478110341,-0.00221056603093852
"3","CS-","extinction",-0.000994000737531802,0.000473473799595325,Inf,-0.00192199233236197,-6.60091427016303e-05
"4","CS+","extinction",-0.00199590042748316,0.00045524877501819,Inf,-0.00288817163052479,-0.00110362922444153
