"","phase","group","hc_tail_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"154","extinction","healthy",0.18,-0.0186363836625597,0.0455158104338694,Inf,-0.107845732840096,0.0705729655149768,"extinction healthy",0.18
"155","acquisition","ptsd",0.18,-0.0730242310559892,0.0447014188686742,Inf,-0.16063740209643,0.0145889399844515,"acquisition ptsd",0.18
"156","extinction","ptsd",0.18,-0.000809257565645316,0.0451189962975305,Inf,-0.0892408653274012,0.0876223501961106,"extinction ptsd",0.18
"157","acquisition","healthy",0.19,-0.018625542139827,0.0451001817748283,Inf,-0.1070202741147,0.0697691898350462,"acquisition healthy",0.19
"158","extinction","healthy",0.19,-0.0195053189599256,0.0456612551786518,Inf,-0.108999734598976,0.0699890966791249,"extinction healthy",0.19
"159","acquisition","ptsd",0.19,-0.0742917110651986,0.044790512607166,Inf,-0.162079502624331,0.013496080493934,"acquisition ptsd",0.19
"160","extinction","ptsd",0.19,-0.00160403435055709,0.0452290598684347,Inf,-0.090251362747295,0.0870432940461808,"extinction ptsd",0.19
"161","acquisition","healthy",0.2,-0.0181027605844841,0.0452228640418516,Inf,-0.106737945384265,0.0705324242152964,"acquisition healthy",0.2
"162","extinction","healthy",0.2,-0.0203742542572916,0.0458135894037519,Inf,-0.110167239491151,0.069418730976568,"extinction healthy",0.2
"163","acquisition","ptsd",0.2,-0.0755591910744079,0.044886017975676,Inf,-0.16353416971615,0.0124157875673345,"acquisition ptsd",0.2
"164","extinction","ptsd",0.2,-0.00239881113546886,0.0453450260327769,Inf,-0.0912734290377428,0.0864758067668051,"extinction ptsd",0.2
"165","acquisition","healthy",0.21,-0.0175799790291412,0.0453527015336023,Inf,-0.106469640636596,0.0713096825783138,"acquisition healthy",0.21
"166","extinction","healthy",0.21,-0.0212431895546575,0.0459727446227521,Inf,-0.111348113285709,0.0688617341763939,"extinction healthy",0.21
"167","acquisition","ptsd",0.21,-0.0768266710836173,0.0449878941402318,Inf,-0.165001323338772,0.0113479811715375,"acquisition ptsd",0.21
"168","extinction","ptsd",0.21,-0.00319358792038062,0.0454668496257315,Inf,-0.0923069756773128,0.0859197998365515,"extinction ptsd",0.21
"169","acquisition","healthy",0.22,-0.0170571974737983,0.0454896329823316,Inf,-0.106215239789113,0.0721008448415169,"acquisition healthy",0.22
"170","extinction","healthy",0.22,-0.0221121248520235,0.0461386502486753,Inf,-0.112542217634717,0.0683179679306702,"extinction healthy",0.22
"171","acquisition","ptsd",0.22,-0.0780941510928267,0.0450960979242404,Inf,-0.166480878867629,0.0102925766819759,"acquisition ptsd",0.22
"172","extinction","ptsd",0.22,-0.00398836470529239,0.0455944836960507,Inf,-0.0933519106432504,0.0853751812326656,"extinction ptsd",0.22
"173","acquisition","healthy",0.23,-0.0165344159184554,0.04563359452817,Inf,-0.105974617678773,0.0729057858418619,"acquisition healthy",0.23
"174","extinction","healthy",0.23,-0.0229810601493894,0.0463112337334906,Inf,-0.113749410346647,0.0677872900478685,"extinction healthy",0.23
"175","acquisition","ptsd",0.23,-0.0793616311020361,0.0452105838955065,Inf,-0.167972747257255,0.00924948505318317,"acquisition ptsd",0.23
"176","extinction","ptsd",0.23,-0.00478314149020416,0.0457278795897522,Inf,-0.0944081385755027,0.0848418555950943,"extinction ptsd",0.23
"177","acquisition","healthy",0.24,-0.0160116343631125,0.045784519856373,Inf,-0.105747644331063,0.0737243756048376,"acquisition healthy",0.24
"178","extinction","healthy",0.24,-0.0238499954467554,0.046490420707862,Inf,-0.11496954566028,0.0672695547667692,"extinction healthy",0.24
"179","acquisition","ptsd",0.24,-0.0806291111112455,0.0453313044563309,Inf,-0.169476835217874,0.00821861299538308,"acquisition ptsd",0.24
"180","extinction","ptsd",0.24,-0.00557791827511593,0.0458669870351783,Inf,-0.0954755609434309,0.084319724393199,"extinction ptsd",0.24
"181","acquisition","healthy",0.25,-0.0154888528077696,0.0459423403367612,Inf,-0.105534185233303,0.0745564796177641,"acquisition healthy",0.25
"182","extinction","healthy",0.25,-0.0247189307441213,0.0466761351206117,Inf,-0.116202474518045,0.0667646130298028,"extinction healthy",0.25
"183","acquisition","ptsd",0.25,-0.0818965911204549,0.0454582099362973,Inf,-0.170993045397258,0.00719986315634866,"acquisition ptsd",0.25
"184","extinction","ptsd",0.25,-0.0063726950600277,0.0460117542291145,Inf,-0.0965540762146007,0.0838086860945453,"extinction ptsd",0.25
"185","acquisition","healthy",0.26,-0.0149660712524267,0.0461069851647444,Inf,-0.105334101611048,0.0754019591061948,"acquisition healthy",0.26
"186","extinction","healthy",0.26,-0.0255878660414873,0.0468682993773916,Inf,-0.117448044837816,0.0662723127548413,"extinction healthy",0.26
"187","acquisition","ptsd",0.26,-0.0831640711296643,0.0455912486873564,Inf,-0.172521276567092,0.00619313430776321,"acquisition ptsd",0.26
"188","extinction","ptsd",0.26,-0.00716747184493947,0.0461621279236623,Inf,-0.0976435800250482,0.0833086363351693,"extinction ptsd",0.26
"189","acquisition","healthy",0.27,-0.0144432896970838,0.0462783815033338,Inf,-0.105147250706423,0.0762606713122551,"acquisition healthy",0.27
"190","extinction","healthy",0.27,-0.0264568013388532,0.0470668344780866,Inf,-0.118706101782211,0.0657924991045047,"extinction healthy",0.27
"191","acquisition","ptsd",0.27,-0.0844315511388737,0.045730367180816,Inf,-0.174061423813065,0.00519832153531807,"acquisition ptsd",0.27
"192","extinction","ptsd",0.27,-0.00796224862985124,0.0463180535135661,Inf,-0.0987439653504396,0.0828194680907371,"extinction ptsd",0.27
"193","acquisition","healthy",0.28,-0.0139205081417408,0.0464564546255658,Inf,-0.104973486057269,0.0771324697737872,"acquisition healthy",0.28
