onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
25.266,3.0,CS+,tools/gong.jpg,Old,baseline,DO,H,H,1.3840000000000001,memory_run-01,acquisition
49.51600000000001,3.0,CS+,tools/reflexhammer.jpg,Old,baseline,DO,H,H,1.247,memory_run-01,baseline
221.3,3.0,CS+,tools/transmissionwrench.jpg,Old,baseline,DN,M,M,1.771,memory_run-01,extinction
258.7,3.0,CS+,tools/cheesegrater.jpg,Old,baseline,MN,M,M,1.734,memory_run-01,baseline
312.233,3.0,CS+,tools/drillbit.jpg,Old,baseline,MO,H,M,1.8880000000000001,memory_run-01,extinction
439.483,3.0,CS+,tools/electricbreaker.jpg,Old,baseline,MN,M,M,1.794,memory_run-01,baseline
469.8,3.0,CS+,tools/plunger.jpg,Old,baseline,DO,H,H,1.125,memory_run-01,baseline
492.05,3.0,CS+,tools/beadingtool.jpg,Old,baseline,MO,H,M,2.2569999999999997,memory_run-01,acquisition
53.617,3.0,CS+,tools/hairdryer.jpg,Old,baseline,DN,M,M,1.1420000000000001,memory_run-02,extinction
117.417,3.0,CS+,tools/gardenhose.jpg,Old,baseline,DO,H,H,1.304,memory_run-02,baseline
202.567,3.0,CS+,tools/ladder.jpg,Old,baseline,MO,H,M,1.3530000000000002,memory_run-02,extinction
209.667,3.0,CS+,tools/scissors.jpg,Old,baseline,MO,H,M,1.7069999999999999,memory_run-02,baseline
287.58299999999997,3.0,CS+,tools/ropeandpulley.jpg,Old,baseline,DN,M,M,2.128,memory_run-02,baseline
376.467,3.0,CS+,tools/rollingpin.jpg,Old,baseline,MN,M,M,1.724,memory_run-02,extinction
481.61699999999996,3.0,CS+,tools/faxmachine.jpg,Old,baseline,DN,M,M,0.988,memory_run-02,extinction
489.717,3.0,CS+,tools/plow.jpg,Old,baseline,DN,M,M,1.672,memory_run-02,baseline
53.6,3.0,CS+,tools/chisel.jpg,Old,baseline,MN,M,M,1.7590000000000001,memory_run-03,baseline
82.0,3.0,CS+,tools/pliers.jpg,Old,baseline,MN,M,M,2.08,memory_run-03,extinction
230.7,3.0,CS+,tools/rake.jpg,Old,baseline,DO,H,H,1.9969999999999999,memory_run-03,baseline
251.9,3.0,CS+,tools/weldinghelmet.jpg,Old,baseline,DO,H,H,1.46,memory_run-03,baseline
343.833,3.0,CS+,tools/shoehorn.jpg,Old,baseline,DO,H,H,2.077,memory_run-03,acquisition
424.63300000000004,3.0,CS+,tools/stove.jpg,Old,baseline,MN,M,M,1.614,memory_run-03,acquisition
481.15,3.0,CS+,tools/paintroller.jpg,Old,baseline,MN,M,M,1.531,memory_run-03,extinction
594.2330000000002,3.0,CS+,tools/wheelbarrow.jpg,Old,baseline,DO,H,H,1.2409999999999999,memory_run-03,acquisition
4.016,3.0,CS+,tools/mallet.jpg,Old,acquisition,DO,H,H,2.343,memory_run-01,baseline
33.35,3.0,CS+,tools/benchdogs.jpg,Old,acquisition,DN,M,M,1.285,memory_run-01,extinction
192.967,3.0,CS+,tools/vegetablepeeler.jpg,Old,acquisition,DO,H,H,1.08,memory_run-01,acquisition
244.533,3.0,CS+,tools/tubeflaring.jpg,Old,acquisition,MN,M,M,2.241,memory_run-01,extinction
