onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
124.3,3.0,CS+,tools/camera.jpg,Old,baseline,DO,H,H,1.111,memory_run-01,baseline
145.733,3.0,CS+,tools/solderingtorch.jpg,Old,baseline,MN,M,M,2.372,memory_run-01,extinction
168.167,3.0,CS+,tools/microwave.jpg,Old,baseline,MN,M,M,1.608,memory_run-01,acquisition
282.283,3.0,CS+,tools/workbench.jpg,Old,baseline,DO,H,H,0.922,memory_run-01,acquisition
384.15,3.0,CS+,tools/edger.jpg,Old,baseline,MN,M,M,2.235,memory_run-01,acquisition
423.9,3.0,CS+,tools/jumpercables.jpg,Old,baseline,MN,M,M,1.7519999999999998,memory_run-01,extinction
539.0,3.0,CS+,tools/monkeywrench.jpg,Old,baseline,DO,H,H,1.541,memory_run-01,baseline
546.15,3.0,CS+,tools/measuringtape.jpg,Old,baseline,MO,H,M,1.9169999999999998,memory_run-01,baseline
32.6,3.0,CS+,tools/videogamecontroller.jpg,Old,baseline,DO,H,H,1.054,memory_run-02,baseline
54.033,3.0,CS+,tools/duffelbag.jpg,Old,baseline,DN,M,M,1.455,memory_run-02,baseline
211.233,3.0,CS+,tools/airpump.jpg,Old,baseline,MN,M,M,2.019,memory_run-02,extinction
225.533,3.0,CS+,tools/toaster.jpg,Old,baseline,MN,M,M,1.922,memory_run-02,acquisition
371.099,3.0,CS+,tools/squeegee.jpg,Old,baseline,MN,M,M,1.16,memory_run-02,acquisition
403.63300000000004,3.0,CS+,tools/blower.jpg,Old,baseline,MO,H,M,2.274,memory_run-02,extinction
533.883,3.0,CS+,tools/chainsaw.jpg,Old,baseline,DO,H,H,0.8690000000000001,memory_run-02,acquisition
541.999,3.0,CS+,tools/hammer.jpg,Old,baseline,MO,H,M,2.198,memory_run-02,extinction
39.766999999999996,3.0,CS+,tools/campingstove.jpg,Old,baseline,MO,H,M,1.599,memory_run-03,baseline
125.56700000000001,3.0,CS+,tools/carpetblower.jpg,Old,baseline,DO,H,H,1.409,memory_run-03,baseline
182.667,3.0,CS+,tools/treadmill.jpg,Old,baseline,MN,M,M,1.839,memory_run-03,baseline
232.61700000000002,3.0,CS+,tools/extensioncord.jpg,Old,baseline,MN,M,M,1.601,memory_run-03,baseline
322.283,3.0,CS+,tools/padlock.jpg,Old,baseline,MO,H,M,1.973,memory_run-03,extinction
403.75,3.0,CS+,tools/bucket.jpg,Old,baseline,DN,M,M,1.982,memory_run-03,extinction
534.067,3.0,CS+,tools/paintbrush.jpg,Old,baseline,MN,M,M,2.05,memory_run-03,extinction
542.183,3.0,CS+,tools/screwdriver.jpg,Old,baseline,DN,M,M,1.117,memory_run-03,acquisition
33.633,3.0,CS+,tools/plow.jpg,Old,acquisition,DO,H,H,2.085,memory_run-01,baseline
57.05,3.0,CS+,tools/faxmachine.jpg,Old,acquisition,DO,H,H,1.298,memory_run-01,acquisition
176.3,3.0,CS+,tools/ropeandpulley.jpg,Old,acquisition,DO,H,H,1.206,memory_run-01,acquisition
214.967,3.0,CS+,tools/hairdryer.jpg,Old,acquisition,MO,H,M,2.6189999999999998,memory_run-01,acquisition
304.716,3.0,CS+,tools/rollingpin.jpg,Old,acquisition,DO,H,H,1.415,memory_run-01,acquisition
415.75,3.0,CS+,tools/gardenhose.jpg,Old,acquisition,DO,H,H,0.871,memory_run-01,acquisition
508.45,3.0,CS+,tools/scissors.jpg,Old,acquisition,MO,H,M,1.8559999999999999,memory_run-01,extinction
515.6,3.0,CS+,tools/ladder.jpg,Old,acquisition,DO,H,H,1.4509999999999998,memory_run-01,acquisition
25.465999999999998,3.0,CS+,tools/shoehorn.jpg,Old,acquisition,DO,H,H,1.347,memory_run-02,baseline
125.48299999999999,3.0,CS+,tools/weldinghelmet.jpg,Old,acquisition,DO,H,H,1.0759999999999998,memory_run-02,baseline
204.083,3.0,CS+,tools/stove.jpg,Old,acquisition,DO,H,H,1.156,memory_run-02,baseline
268.416,3.0,CS+,tools/paintroller.jpg,Old,acquisition,DO,H,H,1.433,memory_run-02,baseline
354.816,3.0,CS+,tools/chisel.jpg,Old,acquisition,MO,H,M,2.1919999999999997,memory_run-02,baseline
387.366,3.0,CS+,tools/rake.jpg,Old,acquisition,DO,H,H,1.1059999999999999,memory_run-02,acquisition
501.333,3.0,CS+,tools/wheelbarrow.jpg,Old,acquisition,DO,H,H,1.091,memory_run-02,acquisition
509.483,3.0,CS+,tools/pliers.jpg,Old,acquisition,MN,M,M,1.601,memory_run-02,baseline
96.96700000000001,3.0,CS+,tools/gong.jpg,Old,acquisition,MN,M,M,1.071,memory_run-03,acquisition
111.26700000000001,3.0,CS+,tools/beadingtool.jpg,Old,acquisition,MO,H,M,1.932,memory_run-03,baseline
154.11700000000005,3.0,CS+,tools/reflexhammer.jpg,Old,acquisition,DO,H,H,0.917,memory_run-03,acquisition
218.317,3.0,CS+,tools/cheesegrater.jpg,Old,acquisition,DO,H,H,0.9590000000000001,memory_run-03,acquisition
346.717,3.0,CS+,tools/plunger.jpg,Old,acquisition,DO,H,H,1.5419999999999998,memory_run-03,baseline
371.15,3.0,CS+,tools/transmissionwrench.jpg,Old,acquisition,MN,M,M,1.8730000000000002,memory_run-03,baseline
501.483,3.0,CS+,tools/drillbit.jpg,Old,acquisition,DO,H,H,1.357,memory_run-03,baseline
509.63300000000004,3.0,CS+,tools/electricbreaker.jpg,Old,acquisition,DO,H,H,0.955,memory_run-03,acquisition
79.467,3.0,CS+,tools/levelmount.jpg,Old,extinction,MN,M,M,2.454,memory_run-01,baseline
131.45,3.0,CS+,tools/blackboard.jpg,Old,extinction,DO,H,H,1.214,memory_run-01,acquisition
152.88299999999995,3.0,CS+,tools/sparkplug.jpg,Old,extinction,MO,H,M,2.015,memory_run-01,acquisition
191.583,3.0,CS+,tools/fan.jpg,Old,extinction,MN,M,M,2.096,memory_run-01,acquisition
399.45,3.0,CS+,tools/thermometer.jpg,Old,extinction,DO,H,H,1.936,memory_run-01,baseline
438.2,3.0,CS+,tools/measuringcups.jpg,Old,extinction,DN,M,M,2.5980000000000003,memory_run-01,extinction
523.7330000000002,3.0,CS+,tools/broom.jpg,Old,extinction,MO,H,M,1.776,memory_run-01,acquisition
531.883,3.0,CS+,tools/ruler.jpg,Old,extinction,DO,H,H,1.5430000000000001,memory_run-01,baseline
96.883,3.0,CS+,tools/eraser.jpg,Old,extinction,DO,H,H,1.811,memory_run-02,extinction
104.03299999999999,3.0,CS+,tools/woodchipper.jpg,Old,extinction,DO,H,H,1.188,memory_run-02,extinction
175.516,3.0,CS+,tools/routerplane.jpg,Old,extinction,MO,H,M,2.8930000000000002,memory_run-02,acquisition
232.683,3.0,CS+,tools/measuringdevice.jpg,Old,extinction,MN,M,M,1.49,memory_run-02,acquisition
411.783,3.0,CS+,tools/weedeater.jpg,Old,extinction,MN,M,M,1.959,memory_run-02,acquisition
436.216,3.0,CS+,tools/lawnmower.jpg,Old,extinction,MO,H,M,1.889,memory_run-02,acquisition
517.616,3.0,CS+,tools/spoon.jpg,Old,extinction,MN,M,M,2.189,memory_run-02,extinction
525.749,3.0,CS+,tools/wrench.jpg,Old,extinction,MO,H,M,1.304,memory_run-02,baseline
54.067,3.0,CS+,tools/benchdogs.jpg,Old,extinction,MO,H,M,2.417,memory_run-03,acquisition
82.667,3.0,CS+,tools/beaker.jpg,Old,extinction,MN,M,M,1.568,memory_run-03,baseline
168.38299999999995,3.0,CS+,tools/tubeflaring.jpg,Old,extinction,DN,M,M,2.3569999999999998,memory_run-03,baseline
246.9,3.0,CS+,tools/sander.jpg,Old,extinction,MN,M,M,1.614,memory_run-03,baseline
338.583,3.0,CS+,tools/mallet.jpg,Old,extinction,MO,H,M,2.333,memory_run-03,acquisition
436.333,3.0,CS+,tools/vegetablepeeler.jpg,Old,extinction,MN,M,M,1.557,memory_run-03,baseline
517.8,3.0,CS+,tools/viceclamp.jpg,Old,extinction,MN,M,M,1.472,memory_run-03,acquisition
525.933,3.0,CS+,tools/pruner.jpg,Old,extinction,MO,H,M,2.485,memory_run-03,acquisition
64.2,3.0,CS+,tools/magnet.jpg,New,foil,DO,FA,FA,1.54,memory_run-01,
100.9,3.0,CS+,tools/whistle.jpg,New,foil,DN,CR,CR,1.535,memory_run-01,
109.03299999999999,3.0,CS+,tools/caulkinggun.jpg,New,foil,DN,CR,CR,2.1319999999999997,memory_run-01,
138.6,3.0,CS+,tools/wateringcan.jpg,New,foil,MN,CR,CR,1.864,memory_run-01,
222.11700000000002,3.0,CS+,tools/microscope.jpg,New,foil,MN,CR,CR,2.372,memory_run-01,
244.55,3.0,CS+,tools/mellonballer.jpg,New,foil,DN,CR,CR,1.811,memory_run-01,
260.85,3.0,CS+,tools/electricdrill.jpg,New,foil,MO,FA,CR,2.2430000000000003,memory_run-01,
289.433,3.0,CS+,tools/whisk.jpg,New,foil,MO,FA,CR,1.7890000000000001,memory_run-01,
328.11699999999996,3.0,CS+,tools/engine.jpg,New,foil,MN,CR,CR,1.619,memory_run-01,
344.4,3.0,CS+,tools/grapplinghook.jpg,New,foil,DO,FA,FA,1.25,memory_run-01,
445.333,3.0,CS+,tools/keys.jpg,New,foil,DN,CR,CR,1.9609999999999999,memory_run-01,
452.467,3.0,CS+,tools/burnisher.jpg,New,foil,MN,CR,CR,2.823,memory_run-01,
585.85,3.0,CS+,tools/lantern.jpg,New,foil,MO,FA,CR,1.685,memory_run-01,
592.9830000000002,3.0,CS+,tools/level.jpg,New,foil,DN,CR,CR,1.268,memory_run-01,
600.1,3.0,CS+,tools/bolt.jpg,New,foil,MN,CR,CR,2.136,memory_run-01,
608.25,3.0,CS+,tools/dremel.jpg,New,foil,MN,CR,CR,2.3,memory_run-01,
11.183,3.0,CS+,tools/carabiner.jpg,New,foil,DN,CR,CR,1.4480000000000002,memory_run-02,
61.183,3.0,CS+,tools/sawblade.jpg,New,foil,DN,CR,CR,1.217,memory_run-02,
68.316,3.0,CS+,tools/flashlight.jpg,New,foil,MN,CR,CR,1.335,memory_run-02,
132.63299999999998,3.0,CS+,tools/clamp.jpg,New,foil,DO,FA,FA,1.169,memory_run-02,
146.933,3.0,CS+,tools/scratchawl.jpg,New,foil,DO,FA,FA,1.722,memory_run-02,
189.783,3.0,CS+,tools/hedgeshears.jpg,New,foil,DO,FA,FA,1.304,memory_run-02,
239.833,3.0,CS+,tools/telephone.jpg,New,foil,MN,CR,CR,1.415,memory_run-02,
275.533,3.0,CS+,tools/pizzacutter.jpg,New,foil,MN,CR,CR,1.683,memory_run-02,
306.066,3.0,CS+,tools/anvil.jpg,New,foil,DN,CR,CR,1.2329999999999999,memory_run-02,
322.316,3.0,CS+,tools/razorblade.jpg,New,foil,MN,CR,CR,1.8330000000000002,memory_run-02,
338.566,3.0,CS+,tools/laptop.jpg,New,foil,DN,CR,CR,1.3619999999999999,memory_run-02,
346.699,3.0,CS+,tools/stapler.jpg,New,foil,MN,CR,CR,1.4140000000000001,memory_run-02,
582.716,3.0,CS+,tools/duster.jpg,New,foil,DN,CR,CR,1.564,memory_run-02,
590.849,3.0,CS+,tools/pick.jpg,New,foil,MN,CR,CR,1.876,memory_run-02,
598.9830000000002,3.0,CS+,tools/battery.jpg,New,foil,DO,FA,FA,1.456,memory_run-02,
607.116,3.0,CS+,tools/snowbrush.jpg,New,foil,DN,CR,CR,1.79,memory_run-02,
4.034,3.0,CS+,tools/vicegrips.jpg,New,foil,MN,CR,CR,1.6469999999999998,memory_run-03,
11.167,3.0,CS+,tools/electricsewingmachine.jpg,New,foil,MN,CR,CR,0.972,memory_run-03,
68.367,3.0,CS+,tools/crank.jpg,New,foil,DN,CR,CR,1.351,memory_run-03,
89.81700000000002,3.0,CS+,tools/magnifyingglass.jpg,New,foil,MN,CR,CR,2.003,memory_run-03,
