onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
41.75,3.0,CS+,tools/gong.jpg,Old,baseline,DO,H,H,2.362,memory_run-01,acquisition
132.45,3.0,CS+,tools/beadingtool.jpg,Old,baseline,MO,H,M,2.5639999999999996,memory_run-01,acquisition
256.666,3.0,CS+,tools/reflexhammer.jpg,Old,baseline,DO,H,H,1.295,memory_run-01,acquisition
264.8,3.0,CS+,tools/cheesegrater.jpg,Old,baseline,MN,M,M,2.202,memory_run-01,acquisition
385.93300000000005,3.0,CS+,tools/plunger.jpg,Old,baseline,DO,H,H,1.091,memory_run-01,extinction
454.15,3.0,CS+,tools/transmissionwrench.jpg,Old,baseline,MO,H,M,2.623,memory_run-01,acquisition
506.13300000000004,3.0,CS+,tools/drillbit.jpg,Old,baseline,DO,H,H,0.998,memory_run-01,acquisition
514.266,3.0,CS+,tools/electricbreaker.jpg,Old,baseline,MO,H,M,2.21,memory_run-01,baseline
4.034,3.0,CS+,tools/plow.jpg,Old,baseline,MO,H,M,1.521,memory_run-02,extinction
61.167,3.0,CS+,tools/faxmachine.jpg,Old,baseline,DN,M,M,1.0290000000000001,memory_run-02,baseline
246.88299999999998,3.0,CS+,tools/ropeandpulley.jpg,Old,baseline,DN,M,M,1.157,memory_run-02,baseline
282.55,3.0,CS+,tools/hairdryer.jpg,Old,baseline,MO,H,M,1.933,memory_run-02,acquisition
314.084,3.0,CS+,tools/rollingpin.jpg,Old,baseline,DO,H,H,0.8959999999999999,memory_run-02,baseline
403.56699999999995,3.0,CS+,tools/gardenhose.jpg,Old,baseline,MO,H,M,1.38,memory_run-02,extinction
501.283,3.0,CS+,tools/scissors.jpg,Old,baseline,MO,H,M,1.476,memory_run-02,baseline
509.417,3.0,CS+,tools/ladder.jpg,Old,baseline,DO,H,H,1.8980000000000001,memory_run-02,acquisition
54.083,3.0,CS+,tools/shoehorn.jpg,Old,baseline,MO,H,M,1.811,memory_run-03,acquisition
89.73299999999998,3.0,CS+,tools/weldinghelmet.jpg,Old,baseline,MO,H,M,1.466,memory_run-03,acquisition
168.13299999999995,3.0,CS+,tools/stove.jpg,Old,baseline,MN,M,M,1.4069999999999998,memory_run-03,extinction
196.71599999999998,3.0,CS+,tools/paintroller.jpg,Old,baseline,MO,H,M,1.307,memory_run-03,baseline
427.866,3.0,CS+,tools/chisel.jpg,Old,baseline,MN,M,M,2.096,memory_run-03,acquisition
435.983,3.0,CS+,tools/rake.jpg,Old,baseline,DO,H,H,1.165,memory_run-03,acquisition
501.116,3.0,CS+,tools/wheelbarrow.jpg,Old,baseline,DO,H,H,0.9640000000000001,memory_run-03,acquisition
509.249,3.0,CS+,tools/pliers.jpg,Old,baseline,MO,H,M,1.016,memory_run-03,baseline
27.467,3.0,CS+,tools/benchdogs.jpg,Old,acquisition,DO,H,H,2.006,memory_run-01,acquisition
48.9,3.0,CS+,tools/beaker.jpg,Old,acquisition,DO,H,H,1.561,memory_run-01,acquisition
234.266,3.0,CS+,tools/tubeflaring.jpg,Old,acquisition,MO,H,M,2.5180000000000002,memory_run-01,baseline
280.066,3.0,CS+,tools/sander.jpg,Old,acquisition,DO,H,H,1.704,memory_run-01,acquisition
341.116,3.0,CS+,tools/mallet.jpg,Old,acquisition,DO,H,H,1.5230000000000001,memory_run-01,acquisition
400.216,3.0,CS+,tools/vegetablepeeler.jpg,Old,acquisition,DO,H,H,1.095,memory_run-01,baseline
522.4,3.0,CS+,tools/viceclamp.jpg,Old,acquisition,DO,H,H,1.2790000000000001,memory_run-01,acquisition
530.533,3.0,CS+,tools/pruner.jpg,Old,acquisition,DO,H,H,1.163,memory_run-01,acquisition
111.184,3.0,CS+,tools/levelmount.jpg,Old,acquisition,DO,H,H,1.109,memory_run-02,acquisition
132.61700000000002,3.0,CS+,tools/blackboard.jpg,Old,acquisition,MN,M,M,1.666,memory_run-02,extinction
211.183,3.0,CS+,tools/sparkplug.jpg,Old,acquisition,MO,H,M,1.255,memory_run-02,acquisition
275.433,3.0,CS+,tools/fan.jpg,Old,acquisition,DO,H,H,1.285,memory_run-02,extinction
305.95,3.0,CS+,tools/thermometer.jpg,Old,acquisition,DO,H,H,1.262,memory_run-02,acquisition
436.167,3.0,CS+,tools/measuringcups.jpg,Old,acquisition,MO,H,M,2.156,memory_run-02,acquisition
517.55,3.0,CS+,tools/broom.jpg,Old,acquisition,DO,H,H,1.9780000000000002,memory_run-02,baseline
525.6669999999998,3.0,CS+,tools/ruler.jpg,Old,acquisition,DO,H,H,1.002,memory_run-02,extinction
4.05,3.0,CS+,tools/eraser.jpg,Old,acquisition,DO,H,H,1.569,memory_run-03,extinction
39.8,3.0,CS+,tools/woodchipper.jpg,Old,acquisition,MO,H,M,1.859,memory_run-03,acquisition
189.583,3.0,CS+,tools/routerplane.jpg,Old,acquisition,DO,H,H,0.9890000000000001,memory_run-03,acquisition
268.183,3.0,CS+,tools/measuringdevice.jpg,Old,acquisition,DO,H,H,0.986,memory_run-03,acquisition
289.616,3.0,CS+,tools/weedeater.jpg,Old,acquisition,DO,H,H,1.176,memory_run-03,acquisition
370.966,3.0,CS+,tools/lawnmower.jpg,Old,acquisition,DO,H,H,1.1840000000000002,memory_run-03,acquisition
517.366,3.0,CS+,tools/spoon.jpg,Old,acquisition,DO,H,H,1.06,memory_run-03,acquisition
525.4830000000002,3.0,CS+,tools/wrench.jpg,Old,acquisition,DO,H,H,0.731,memory_run-03,acquisition
34.617,3.0,CS+,tools/campingstove.jpg,Old,extinction,MO,H,M,1.995,memory_run-01,acquisition
139.6,3.0,CS+,tools/carpetblower.jpg,Old,extinction,MN,M,M,1.693,memory_run-01,extinction
163.0,3.0,CS+,tools/treadmill.jpg,Old,extinction,MO,H,M,2.259,memory_run-01,baseline
227.15,3.0,CS+,tools/extensioncord.jpg,Old,extinction,MN,M,M,2.01,memory_run-01,baseline
377.8,3.0,CS+,tools/padlock.jpg,Old,extinction,DO,H,H,1.227,memory_run-01,acquisition
446.01599999999996,3.0,CS+,tools/bucket.jpg,Old,extinction,MO,H,M,1.568,memory_run-01,acquisition
538.6659999999998,3.0,CS+,tools/paintbrush.jpg,Old,extinction,MO,H,M,2.136,memory_run-01,acquisition
545.783,3.0,CS+,tools/screwdriver.jpg,Old,extinction,DO,H,H,1.8630000000000002,memory_run-01,acquisition
11.184000000000001,3.0,CS+,tools/camera.jpg,Old,extinction,DO,H,H,1.421,memory_run-02,acquisition
