Subj Sess Encode Condition Response InputFile
4 memory_run-03 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC004/memory_run-03/source_memory.feat/reg_standard/stats/cope12.nii.gz
4 memory_run-03 extinction CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC004/memory_run-03/source_memory.feat/reg_standard/stats/cope16.nii.gz
4 memory_run-03 extinction CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC004/memory_run-03/source_memory.feat/reg_standard/stats/cope17.nii.gz
4 memory_run-03 extinction CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC004/memory_run-03/source_memory.feat/reg_standard/stats/cope18.nii.gz
5 memory_run-01 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/memory_run-01/source_memory.feat/reg_standard/stats/cope2.nii.gz
5 memory_run-01 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/memory_run-01/source_memory.feat/reg_standard/stats/cope8.nii.gz
5 memory_run-01 extinction CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/memory_run-01/source_memory.feat/reg_standard/stats/cope13.nii.gz
5 memory_run-01 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/memory_run-01/source_memory.feat/reg_standard/stats/cope14.nii.gz
5 memory_run-01 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/memory_run-01/source_memory.feat/reg_standard/stats/cope15.nii.gz
5 memory_run-01 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/memory_run-01/source_memory.feat/reg_standard/stats/cope4.nii.gz
