effect,subject,encode_phase,condition,source_memory,0,1,2,3,4,5,6
Condition,2,acquisition,CS+,acquisition,206.3197479248047,140.4957275390625,359.3486836751302,117.5406010945638,110.96841621398926,106.9426752726237,197.22021993001303
Condition,2,acquisition,CS+,baseline,188.12417602539062,152.51297251383463,362.1216227213542,134.5016835530599,132.5045903523763,132.38336690266928,194.67532094319662
Condition,2,acquisition,CS+,extinction,190.806489944458,185.89169311523438,387.7180938720703,135.74662017822266,193.6340103149414,131.39113235473633,446.1455993652344
Condition,2,acquisition,CS-,acquisition,149.8676528930664,96.05915133158366,211.3926747639974,96.2397689819336,84.49729792277019,80.21891530354817,110.11742655436198
Condition,2,acquisition,CS-,baseline,177.41297912597656,165.1072769165039,199.8955332438151,96.96517690022786,108.94413503011067,103.14456685384114,213.94746907552084
Condition,2,acquisition,CS-,extinction,168.5216827392578,43.67274856567383,324.02637481689453,141.3041534423828,3.008380889892578,136.85644912719727,-7.5004425048828125
Condition,2,baseline,CS+,acquisition,197.41292317708334,157.07823181152344,357.9075113932292,112.78606923421223,124.02456410725911,100.87295277913411,199.02316029866537
Condition,2,baseline,CS+,baseline,272.1905288696289,82.61290073394775,490.34434509277344,144.9017791748047,37.1885986328125,141.68630981445312,9.070915222167969
Condition,2,baseline,CS+,extinction,108.8171615600586,166.19912719726562,257.7132797241211,86.25119018554688,105.94194221496582,68.79186820983887,172.12848663330078
Condition,2,baseline,CS-,acquisition,114.52572727203369,74.04814147949219,206.89774068196616,91.26086680094402,40.68833637237549,102.7115707397461,186.96620178222656
Condition,2,baseline,CS-,baseline,199.64145215352377,172.28006998697916,261.0997060139974,123.12273661295573,145.0912831624349,110.67134602864583,212.8414560953776
Condition,2,baseline,CS-,extinction,139.2682253519694,55.30043029785156,221.14962259928384,97.20067850748698,81.28256352742513,97.52506764729817,62.52961222330729
Condition,2,extinction,CS+,acquisition,148.06389872233072,97.01577313741048,325.0434265136719,105.13374837239583,109.6726811726888,101.20767466227214,217.71007029215494
Condition,2,extinction,CS+,baseline,100.56524403889973,75.33940251668294,282.71239217122394,92.174866994222,82.13341903686523,69.73461532592773,165.29041035970053
Condition,2,extinction,CS+,extinction,109.56213188171387,18.949120839436848,283.1618245442708,95.68582153320312,52.922959645589195,94.18286768595378,90.45521100362141
Condition,2,extinction,CS-,acquisition,92.07971302668254,101.54327392578125,158.8287150065104,90.18533833821614,88.19861729939778,81.67053095499675,184.27944946289062
Condition,2,extinction,CS-,baseline,220.56971740722656,256.26404825846356,306.75355529785156,125.00394439697266,210.85423278808594,126.56857299804688,381.93064371744794
Condition,2,extinction,CS-,extinction,149.38800557454428,110.44619496663411,178.69468943277994,85.20471572875977,46.44481404622396,84.85633850097656,120.45198567708333
Condition,3,acquisition,CS+,acquisition,208.11044311523438,329.84979756673175,202.19782002766928,154.1114298502604,160.77332305908203,98.02887217203777,345.61949157714844
Condition,3,acquisition,CS+,baseline,132.42245864868164,224.0835418701172,56.28236961364746,113.78182983398438,132.00261688232422,97.19987106323242,130.54412078857422
Condition,3,acquisition,CS+,extinction,185.74092483520508,293.42657470703125,193.13928731282553,170.37478637695312,143.91026051839194,110.37318929036458,265.43031311035156
Condition,3,acquisition,CS-,acquisition,193.96407063802084,290.70985412597656,146.86399841308594,139.81404876708984,47.20331319173177,110.82305145263672,247.36084493001303
Condition,3,acquisition,CS-,baseline,92.44879531860352,174.67300311724344,82.50699615478516,95.42792638142903,94.70280838012695,73.11562983194987,65.09783172607422
Condition,3,acquisition,CS-,extinction,70.70337804158528,245.5033416748047,95.02178955078125,91.85469055175781,115.1249287923177,74.28292385737102,33.902486165364586
Condition,3,baseline,CS+,acquisition,185.39490509033203,342.06825764973956,224.0086669921875,134.24401346842447,162.10965728759766,109.66266632080078,152.68791707356772
Condition,3,baseline,CS+,baseline,73.90773010253906,183.8345677057902,176.81570180257162,153.92247009277344,137.6997553507487,85.5628153483073,-76.03869120279948
Condition,3,baseline,CS+,extinction,311.7025451660156,393.14772542317706,289.3027699788411,227.7217788696289,219.84936078389487,77.4530029296875,381.3921763102214
Condition,3,baseline,CS-,acquisition,135.488525390625,269.52549743652344,83.01250966389973,146.65901819864908,186.30165100097656,113.39040883382161,235.6390126546224
Condition,3,baseline,CS-,baseline,194.66592915852866,248.8479970296224,138.23560333251953,147.280517578125,101.8818130493164,106.18915557861328,158.83961741129556
Condition,3,baseline,CS-,extinction,177.17369079589844,290.5997009277344,86.6716423034668,188.43193817138672,33.03227615356445,157.70281219482422,253.52795028686523
Condition,3,extinction,CS+,acquisition,157.39211082458496,224.5087890625,123.02165095011394,155.50850931803384,147.21868896484375,116.64222208658855,150.49394734700522
