Subj Encode Condition Response InputFile
5 baseline CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope6.nii.gz
5 acquisition CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope11.nii.gz
5 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope12.nii.gz
5 extinction CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope16.nii.gz
5 extinction CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope17.nii.gz
5 extinction CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope18.nii.gz
5 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
5 acquisition CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope7.nii.gz
5 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
5 acquisition CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope10.nii.gz
5 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC005/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
6 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
6 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope2.nii.gz
6 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
6 acquisition CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope7.nii.gz
6 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope8.nii.gz
6 extinction CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope13.nii.gz
6 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope14.nii.gz
6 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope15.nii.gz
6 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope4.nii.gz
6 baseline CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope5.nii.gz
6 baseline CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope6.nii.gz
6 acquisition CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope10.nii.gz
6 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope12.nii.gz
6 extinction CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope16.nii.gz
6 extinction CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope18.nii.gz
6 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
6 extinction CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope17.nii.gz
6 acquisition CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC006/all_memory_runs/source_memory.feat/reg_standard/stats/cope11.nii.gz
7 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
7 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope2.nii.gz
7 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
7 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope8.nii.gz
7 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
7 extinction CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope13.nii.gz
7 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope14.nii.gz
7 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope15.nii.gz
7 baseline CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope5.nii.gz
7 baseline CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope6.nii.gz
7 acquisition CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope10.nii.gz
7 acquisition CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope11.nii.gz
7 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope12.nii.gz
7 extinction CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope16.nii.gz
7 extinction CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope17.nii.gz
7 extinction CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope18.nii.gz
7 acquisition CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope7.nii.gz
7 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC007/all_memory_runs/source_memory.feat/reg_standard/stats/cope4.nii.gz
8 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
8 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope2.nii.gz
8 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
8 acquisition CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope7.nii.gz
8 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope8.nii.gz
8 extinction CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope13.nii.gz
8 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope14.nii.gz
8 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope15.nii.gz
8 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope4.nii.gz
8 baseline CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope5.nii.gz
8 baseline CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope6.nii.gz
8 acquisition CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope10.nii.gz
8 acquisition CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope11.nii.gz
8 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope12.nii.gz
8 extinction CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope16.nii.gz
8 extinction CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope17.nii.gz
8 extinction CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope18.nii.gz
8 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC008/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
9 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
9 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope2.nii.gz
9 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
9 acquisition CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope7.nii.gz
9 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope8.nii.gz
9 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
9 extinction CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope13.nii.gz
9 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope14.nii.gz
9 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope15.nii.gz
9 baseline CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope5.nii.gz
9 baseline CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope6.nii.gz
9 acquisition CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope11.nii.gz
9 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope12.nii.gz
9 extinction CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope16.nii.gz
9 extinction CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope17.nii.gz
9 extinction CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope18.nii.gz
9 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope4.nii.gz
9 acquisition CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC009/all_memory_runs/source_memory.feat/reg_standard/stats/cope10.nii.gz
10 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
10 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope2.nii.gz
10 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
10 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope8.nii.gz
10 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
10 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope14.nii.gz
10 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope15.nii.gz
10 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope4.nii.gz
10 baseline CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope5.nii.gz
10 baseline CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope6.nii.gz
10 acquisition CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope10.nii.gz
10 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope12.nii.gz
10 extinction CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope16.nii.gz
10 extinction CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope17.nii.gz
10 extinction CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope18.nii.gz
10 acquisition CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC010/all_memory_runs/source_memory.feat/reg_standard/stats/cope11.nii.gz
12 baseline CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope1.nii.gz
12 baseline CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope2.nii.gz
12 baseline CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope3.nii.gz
12 acquisition CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope7.nii.gz
12 acquisition CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope8.nii.gz
12 acquisition CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope9.nii.gz
12 extinction CSp baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope13.nii.gz
12 extinction CSp acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope14.nii.gz
12 extinction CSp extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope15.nii.gz
12 baseline CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope4.nii.gz
12 baseline CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope5.nii.gz
12 baseline CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope6.nii.gz
12 acquisition CSm baseline /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope10.nii.gz
12 acquisition CSm acquisition /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope11.nii.gz
12 acquisition CSm extinction /scratch/05426/ach3377/fc-bids/derivatives/model/sub-FC012/all_memory_runs/source_memory.feat/reg_standard/stats/cope12.nii.gz
