subject,encode_phase,condition,source_memory,run,roi,pe
2,acquisition,CSp,acquisition,memory_run-03,rsp,91.00427
2,acquisition,CSp,extinction,memory_run-01,dACC,190.51811
2,acquisition,CSp,extinction,memory_run-01,thl,127.648705
2,acquisition,CSp,extinction,memory_run-01,lOFC,40.307663
2,acquisition,CSp,extinction,memory_run-01,rsp,40.04764
2,acquisition,CSp,extinction,memory_run-02,dACC,171.74312
2,acquisition,CSp,extinction,memory_run-02,thl,-180.49962
2,acquisition,CSp,extinction,memory_run-02,lOFC,70.91588
2,acquisition,CSp,extinction,memory_run-02,rsp,80.128815
2,acquisition,CSm,baseline,memory_run-01,dACC,-32.650036
2,acquisition,CSm,baseline,memory_run-01,thl,10.434775
2,acquisition,CSm,baseline,memory_run-01,lOFC,-5.290833
2,acquisition,CSm,baseline,memory_run-01,rsp,-68.84453
2,acquisition,CSm,baseline,memory_run-02,dACC,51.08377
2,acquisition,CSm,baseline,memory_run-02,thl,-44.980125
2,acquisition,CSm,baseline,memory_run-02,lOFC,102.34332
2,acquisition,CSm,baseline,memory_run-02,rsp,-39.89837
2,acquisition,CSm,baseline,memory_run-03,dACC,163.65648000000004
2,acquisition,CSm,baseline,memory_run-03,thl,-40.169086
2,acquisition,CSm,baseline,memory_run-03,lOFC,24.539316
2,acquisition,CSm,baseline,memory_run-03,rsp,16.702920000000002
2,acquisition,CSm,acquisition,memory_run-01,dACC,54.86043000000001
2,acquisition,CSm,acquisition,memory_run-01,thl,34.998608000000004
2,acquisition,CSm,acquisition,memory_run-01,lOFC,-19.316944
2,acquisition,CSm,acquisition,memory_run-01,rsp,27.255314
2,acquisition,CSm,acquisition,memory_run-02,dACC,110.8253
2,acquisition,CSm,acquisition,memory_run-02,thl,42.323914
2,acquisition,CSm,acquisition,memory_run-02,lOFC,-170.5407
2,acquisition,CSm,acquisition,memory_run-02,rsp,-148.64871000000005
2,acquisition,CSm,acquisition,memory_run-03,dACC,-10.0387125
2,acquisition,CSm,acquisition,memory_run-03,thl,-3.7144353
2,acquisition,CSm,acquisition,memory_run-03,lOFC,-6.3146067000000015
2,acquisition,CSm,acquisition,memory_run-03,rsp,93.438416
2,acquisition,CSm,extinction,memory_run-02,dACC,-156.83244
2,acquisition,CSm,extinction,memory_run-02,thl,-152.60413
2,acquisition,CSm,extinction,memory_run-02,lOFC,55.6007
2,acquisition,CSm,extinction,memory_run-02,rsp,-51.750984
2,acquisition,CSm,extinction,memory_run-03,dACC,3.8905048
2,acquisition,CSm,extinction,memory_run-03,thl,114.44766
2,acquisition,CSm,extinction,memory_run-03,lOFC,-8.133271
2,acquisition,CSm,extinction,memory_run-03,rsp,-64.80768
2,extinction,CSp,baseline,memory_run-01,dACC,-21.311426
2,extinction,CSp,baseline,memory_run-01,thl,118.61574
2,extinction,CSp,baseline,memory_run-01,lOFC,-21.154644
2,extinction,CSp,baseline,memory_run-01,rsp,-106.252716
2,extinction,CSp,baseline,memory_run-02,dACC,-106.91789
2,extinction,CSp,baseline,memory_run-02,thl,-177.80696
2,extinction,CSp,baseline,memory_run-02,lOFC,-18.725588
2,extinction,CSp,baseline,memory_run-02,rsp,-123.62101
2,extinction,CSp,baseline,memory_run-03,dACC,8.402434
2,extinction,CSp,baseline,memory_run-03,thl,-75.74235999999998
2,extinction,CSp,baseline,memory_run-03,lOFC,-69.73524499999999
2,extinction,CSp,baseline,memory_run-03,rsp,40.685844
2,extinction,CSp,acquisition,memory_run-01,dACC,-3.5598578
2,extinction,CSp,acquisition,memory_run-01,thl,-67.90102399999999
2,extinction,CSp,acquisition,memory_run-01,lOFC,-17.87148
2,extinction,CSp,acquisition,memory_run-01,rsp,50.19993
2,extinction,CSp,acquisition,memory_run-02,dACC,35.124947
