subject,encode_phase,condition,source_memory,run,roi,pe
3,acquisition,CSm,extinction,memory_run-03,cuneus,159.17096999999998
3,extinction,CSp,baseline,memory_run-01,cuneus,-16.480932
3,extinction,CSp,baseline,memory_run-02,cuneus,-54.33815
3,extinction,CSp,baseline,memory_run-03,cuneus,3.016927
3,extinction,CSp,acquisition,memory_run-01,cuneus,-33.248734000000006
3,extinction,CSp,acquisition,memory_run-02,cuneus,104.56929000000001
3,extinction,CSp,acquisition,memory_run-03,cuneus,-112.50644
3,extinction,CSp,extinction,memory_run-01,cuneus,70.58353000000001
3,extinction,CSp,extinction,memory_run-02,cuneus,78.96574
3,extinction,CSp,extinction,memory_run-03,cuneus,-79.68688
3,extinction,CSm,baseline,memory_run-01,cuneus,132.24653999999998
3,extinction,CSm,baseline,memory_run-02,cuneus,133.92877
3,extinction,CSm,baseline,memory_run-03,cuneus,-40.98082
3,extinction,CSm,acquisition,memory_run-01,cuneus,63.032109999999996
3,extinction,CSm,acquisition,memory_run-02,cuneus,79.80776999999999
3,extinction,CSm,acquisition,memory_run-03,cuneus,24.660028
3,extinction,CSm,extinction,memory_run-01,cuneus,86.7575
3,extinction,CSm,extinction,memory_run-02,cuneus,154.32106000000002
3,extinction,CSm,extinction,memory_run-03,cuneus,39.17827
4,baseline,CSp,baseline,memory_run-01,cuneus,-18.819813
4,baseline,CSp,baseline,memory_run-02,cuneus,28.17318
4,baseline,CSp,baseline,memory_run-03,cuneus,-40.50662
4,baseline,CSp,acquisition,memory_run-01,cuneus,29.095163
4,baseline,CSp,acquisition,memory_run-02,cuneus,-28.179565000000004
4,baseline,CSp,acquisition,memory_run-03,cuneus,-122.9128
4,baseline,CSp,extinction,memory_run-01,cuneus,-44.163309999999996
4,baseline,CSp,extinction,memory_run-02,cuneus,-25.952833
4,baseline,CSp,extinction,memory_run-03,cuneus,-60.100356999999995
4,baseline,CSm,baseline,memory_run-01,cuneus,-40.489452
4,baseline,CSm,baseline,memory_run-02,cuneus,-22.380325
4,baseline,CSm,baseline,memory_run-03,cuneus,-21.226475
4,baseline,CSm,acquisition,memory_run-01,cuneus,-35.640816
4,baseline,CSm,acquisition,memory_run-02,cuneus,-27.209932000000002
4,baseline,CSm,acquisition,memory_run-03,cuneus,-18.564848
4,baseline,CSm,extinction,memory_run-01,cuneus,-8.677171000000001
4,baseline,CSm,extinction,memory_run-02,cuneus,-47.204746
4,baseline,CSm,extinction,memory_run-03,cuneus,69.58671
4,acquisition,CSp,baseline,memory_run-01,cuneus,-50.72685
4,acquisition,CSp,baseline,memory_run-02,cuneus,-68.03966
4,acquisition,CSp,baseline,memory_run-03,cuneus,-7.544617
4,acquisition,CSp,acquisition,memory_run-01,cuneus,-72.034485
4,acquisition,CSp,acquisition,memory_run-02,cuneus,16.84659
4,acquisition,CSp,acquisition,memory_run-03,cuneus,-35.342815
4,acquisition,CSp,extinction,memory_run-01,cuneus,-101.49095
4,acquisition,CSp,extinction,memory_run-02,cuneus,-15.860547
4,acquisition,CSp,extinction,memory_run-03,cuneus,5.4306364
4,acquisition,CSm,baseline,memory_run-01,cuneus,-30.871138000000002
4,acquisition,CSm,baseline,memory_run-02,cuneus,6.1252666
4,acquisition,CSm,baseline,memory_run-03,cuneus,-11.049085
4,acquisition,CSm,acquisition,memory_run-01,cuneus,-28.988756
4,acquisition,CSm,acquisition,memory_run-02,cuneus,45.770195
4,acquisition,CSm,acquisition,memory_run-03,cuneus,-53.198634999999996
4,acquisition,CSm,extinction,memory_run-01,cuneus,8.260516
4,acquisition,CSm,extinction,memory_run-02,cuneus,-47.46079
4,acquisition,CSm,extinction,memory_run-03,cuneus,-45.806202
4,extinction,CSp,baseline,memory_run-01,cuneus,-42.117490000000004
4,extinction,CSp,baseline,memory_run-02,cuneus,-59.78196
4,extinction,CSp,baseline,memory_run-03,cuneus,-31.376829999999998
4,extinction,CSp,acquisition,memory_run-01,cuneus,-27.582678
4,extinction,CSp,acquisition,memory_run-02,cuneus,-27.005638
4,extinction,CSp,acquisition,memory_run-03,cuneus,-58.193923999999996
4,extinction,CSp,extinction,memory_run-01,cuneus,-123.50317
4,extinction,CSp,extinction,memory_run-02,cuneus,9.719130499999999
4,extinction,CSp,extinction,memory_run-03,cuneus,-53.357986
4,extinction,CSm,baseline,memory_run-01,cuneus,-15.790616
4,extinction,CSm,baseline,memory_run-02,cuneus,-30.340904
4,extinction,CSm,baseline,memory_run-03,cuneus,-99.3669
4,extinction,CSm,acquisition,memory_run-01,cuneus,-37.242752
4,extinction,CSm,acquisition,memory_run-02,cuneus,-8.318465
4,extinction,CSm,acquisition,memory_run-03,cuneus,-44.614340000000006
4,extinction,CSm,extinction,memory_run-01,cuneus,-49.110523
4,extinction,CSm,extinction,memory_run-02,cuneus,-42.21094
4,extinction,CSm,extinction,memory_run-03,cuneus,59.12246
5,baseline,CSp,baseline,memory_run-03,cuneus,-37.702496000000004
5,baseline,CSp,acquisition,memory_run-01,cuneus,100.77931
5,baseline,CSp,acquisition,memory_run-02,cuneus,15.217657999999998
5,baseline,CSp,acquisition,memory_run-03,cuneus,-17.213104
5,baseline,CSp,extinction,memory_run-02,cuneus,90.50711
5,baseline,CSp,extinction,memory_run-03,cuneus,-10.498934
5,baseline,CSm,baseline,memory_run-01,cuneus,105.2359
