subject,encode_phase,condition,source_memory,run,effect,pe
2,acquisition,CSp,baseline,3,Response,"[-29.206838607788086 4.468177795410156 -102.11006927490234
 -19.039451599121094]"
2,acquisition,CSp,baseline,3,Condition,"[201.18348693847656 109.58660888671875 420.17822265625 119.66727447509766
 102.61305236816406 104.13202667236328 130.08274841308594]"
2,acquisition,CSp,baseline,3,Condition_Response,[31.316673278808594]
2,acquisition,CSp,acquisition,1,Response,"[29.463375091552734 -63.56074905395508 -15.421300888061523
 31.414949417114258]"
2,acquisition,CSp,acquisition,1,Condition,"[341.4928283691406 283.0840759277344 464.3893127441406 172.04058837890625
 194.72360229492188 157.49581909179688 242.9927978515625]"
2,acquisition,CSp,acquisition,1,Condition_Response,[-38.614112854003906]
2,acquisition,CSp,acquisition,2,Response,"[-14.690305709838867 -31.70440101623535 -18.96108055114746
 22.61017608642578]"
2,acquisition,CSp,acquisition,2,Condition,"[151.68995666503906 73.1302490234375 322.5697937011719 99.41415405273438
 108.36441802978516 80.54959106445312 172.26087951660156]"
2,acquisition,CSp,acquisition,2,Condition_Response,[-16.363880157470703]
2,acquisition,CSp,acquisition,3,Response,[-31.18257713317871 91.0042724609375 9.862232208251953 -33.06901931762695]
2,acquisition,CSp,acquisition,3,Condition,"[125.77645874023438 65.27285766601562 291.0869445800781 81.16706085205078
 29.817228317260742 82.7826156616211 176.406982421875]"
2,acquisition,CSp,acquisition,3,Condition_Response,[22.442758560180664]
2,acquisition,CSp,extinction,1,Response,[127.6487045288086 40.04764175415039 190.5181121826172 40.30766296386719]
2,acquisition,CSp,extinction,1,Condition,"[326.60443115234375 221.013916015625 412.884765625 128.0633087158203
 217.50473022460938 115.07195281982422 513.4791259765625]"
2,acquisition,CSp,extinction,1,Condition_Response,[27.691402435302734]
2,acquisition,CSp,extinction,2,Response,[-180.49961853027344 80.12881469726562 171.7431182861328 70.91587829589844]
2,acquisition,CSp,extinction,2,Condition,"[55.008548736572266 150.76947021484375 362.5514221191406 143.429931640625
 169.76329040527344 147.71031188964844 378.81207275390625]"
2,acquisition,CSp,extinction,2,Condition_Response,[-5.129920959472656]
2,acquisition,CSp,extinction,3,Response,
2,acquisition,CSp,extinction,3,Condition,
2,acquisition,CSp,extinction,3,Condition_Response,
2,acquisition,CSm,baseline,1,Response,"[10.434775352478027 -68.84452819824219 -32.6500358581543
 -5.290832996368408]"
2,acquisition,CSm,baseline,1,Condition,"[188.07533264160156 137.05523681640625 211.27857971191406
 94.92740631103516 82.46375274658203 83.02783203125 162.4202117919922]"
2,acquisition,CSm,baseline,1,Condition_Response,[46.21673583984375]
2,acquisition,CSm,baseline,2,Response,"[-44.980125427246094 -39.89836883544922 51.083770751953125
 102.34332275390625]"
2,acquisition,CSm,baseline,2,Condition,"[132.14178466796875 108.39420318603516 185.0946044921875
 111.23949432373047 75.903076171875 120.916015625 145.5628204345703]"
2,acquisition,CSm,baseline,2,Condition_Response,[51.16886901855469]
2,acquisition,CSm,baseline,3,Response,"[-40.16908645629883 16.70292091369629 163.65647888183594
 24.539316177368164]"
2,acquisition,CSm,baseline,3,Condition,"[212.02182006835938 249.8723907470703 203.31341552734375 84.72863006591797
 168.465576171875 105.48985290527344 333.859375]"
2,acquisition,CSm,baseline,3,Condition_Response,[17.558757781982422]
2,acquisition,CSm,acquisition,1,Response,"[34.99860763549805 27.255313873291016 54.86043167114258
 -19.316944122314453]"
2,acquisition,CSm,acquisition,1,Condition,"[143.4490509033203 78.64923858642578 135.81732177734375 84.38583374023438
 45.99543380737305 94.03839111328125 134.522705078125]"
2,acquisition,CSm,acquisition,1,Condition_Response,[33.60820388793945]
2,acquisition,CSm,acquisition,2,Response,"[42.32391357421875 -148.64871215820312 110.82530212402344
 -170.5406951904297]"
2,acquisition,CSm,acquisition,2,Condition,"[219.36697387695312 178.89566040039062 237.47621154785156 78.9145278930664
 171.6113739013672 70.29483795166016 89.6148452758789]"
2,acquisition,CSm,acquisition,2,Condition_Response,[27.432157516479492]
2,acquisition,CSm,acquisition,3,Response,"[-3.714435338973999 93.43841552734375 -10.038712501525879
 -6.314606666564941]"
2,acquisition,CSm,acquisition,3,Condition,"[86.78693389892578 30.63255500793457 260.8844909667969 125.4189453125
 35.88508605957031 76.32351684570312 106.21472930908203]"
2,acquisition,CSm,acquisition,3,Condition_Response,[-1.2111400365829468]
2,acquisition,CSm,extinction,1,Response,
2,acquisition,CSm,extinction,1,Condition,
2,acquisition,CSm,extinction,1,Condition_Response,
2,acquisition,CSm,extinction,2,Response,"[-152.6041259765625 -51.75098419189453 -156.8324432373047
 55.60070037841797]"
2,acquisition,CSm,extinction,2,Condition,"[12.01959228515625 -119.00237274169922 207.7827911376953 100.046142578125
 -114.21401977539062 87.95746612548828 -145.8320770263672]"
2,acquisition,CSm,extinction,2,Condition_Response,[19.555347442626953]
2,acquisition,CSm,extinction,3,Response,"[114.44766235351562 -64.80767822265625 3.890504837036133
 -8.133271217346191]"
2,acquisition,CSm,extinction,3,Condition,"[325.0237731933594 206.34786987304688 440.26995849609375
 182.56216430664062 120.23078155517578 185.75543212890625
 130.83119201660156]"
2,acquisition,CSm,extinction,3,Condition_Response,[50.89422607421875]
2,extinction,CSp,baseline,1,Response,"[118.61573791503906 -106.25271606445312 -21.311426162719727
 -21.154644012451172]"
2,extinction,CSp,baseline,1,Condition,"[181.15037536621094 101.5104751586914 226.68682861328125 94.940185546875
 96.94644165039062 56.33839797973633 149.65382385253906]"
2,extinction,CSp,baseline,1,Condition_Response,[29.550386428833008]
2,extinction,CSp,baseline,2,Response,"[-177.8069610595703 -123.62100982666016 -106.91789245605469
 -18.725587844848633]"
2,extinction,CSp,baseline,2,Condition,"[42.86640930175781 20.113651275634766 307.22955322265625 56.1294059753418
 94.49634552001953 79.03189849853516 137.72145080566406]"
2,extinction,CSp,baseline,2,Condition_Response,[-92.03130340576172]
2,extinction,CSp,baseline,3,Response,[-75.74236297607422 40.68584442138672 8.402434349060059 -69.73524475097656]
2,extinction,CSp,baseline,3,Condition,"[77.67894744873047 104.39408111572266 314.2207946777344 125.45500946044922
 54.95746994018555 73.83354949951172 208.49595642089844]"
2,extinction,CSp,baseline,3,Condition_Response,[-20.280941009521484]
2,extinction,CSp,acquisition,1,Response,"[-67.9010238647461 50.199928283691406 -3.5598578453063965
 -17.87148094177246]"
2,extinction,CSp,acquisition,1,Condition,"[163.15667724609375 90.62877655029297 297.4389343261719 97.87529754638672
 94.23030090332031 84.98345947265625 114.83623504638672]"
2,extinction,CSp,acquisition,1,Condition_Response,[10.706933975219727]
2,extinction,CSp,acquisition,2,Response,[-39.11326217651367 12.02883243560791 35.12494659423828 47.00688552856445]
2,extinction,CSp,acquisition,2,Condition,"[137.5981903076172 31.2652530670166 371.08929443359375 121.32347106933594
 73.42255401611328 115.13790130615234 194.05181884765625]"
2,extinction,CSp,acquisition,2,Condition_Response,[-4.9736409187316895]
2,extinction,CSp,acquisition,3,Response,[-32.64348602294922 54.42253112792969 77.09098815917969 22.966890335083008]
2,extinction,CSp,acquisition,3,Condition,"[143.43682861328125 169.15328979492188 306.60205078125 96.20247650146484
 161.3651885986328 103.50166320800781 344.2421569824219]"
2,extinction,CSp,acquisition,3,Condition_Response,[11.697759628295898]
2,extinction,CSp,extinction,1,Response,[-26.6462459564209 -64.27163696289062 56.88853073120117 -186.624755859375]
2,extinction,CSp,extinction,1,Condition,"[31.28544807434082 -34.85448455810547 220.3035125732422 68.30939483642578
 50.535831451416016 80.84046936035156 127.1495590209961]"
2,extinction,CSp,extinction,1,Condition_Response,[-55.44057846069336]
2,extinction,CSp,extinction,2,Response,"[-83.583740234375 -76.7463607788086 -110.11263275146484
 -11.414701461791992]"
2,extinction,CSp,extinction,2,Condition,"[94.2342300415039 -48.58372116088867 231.9596710205078 65.31053924560547
 -44.01704406738281 55.17062759399414 -16.17560386657715]"
2,extinction,CSp,extinction,2,Condition_Response,[48.099124908447266]
2,extinction,CSp,extinction,3,Response,[11.369165420532227 55.74528503417969 16.069913864135742 47.96398162841797]
2,extinction,CSp,extinction,3,Condition,"[203.16671752929688 140.2855682373047 397.2222900390625 153.43753051757812
 152.25009155273438 146.53750610351562 160.3916778564453]"
2,extinction,CSp,extinction,3,Condition_Response,[-0.26185381412506104]
2,extinction,CSm,baseline,1,Response,"[-27.955717086791992 -78.81309509277344 91.46109771728516
 -80.45280456542969]"
2,extinction,CSm,baseline,1,Condition,"[195.20162963867188 242.5691680908203 212.67759704589844 91.16484832763672
 190.1925811767578 77.06185913085938 376.68731689453125]"
2,extinction,CSm,baseline,1,Condition_Response,[19.407400131225586]
2,extinction,CSm,baseline,2,Response,[13.518857955932617 -35.97144317626953 276.0426330566406 83.07844543457031]
2,extinction,CSm,baseline,2,Condition,"[221.82749938964844 287.82415771484375 383.2053527832031
 134.05970764160156 290.6679382324219 147.52203369140625 428.67138671875]"
2,extinction,CSm,baseline,2,Condition_Response,[32.962772369384766]
2,extinction,CSm,baseline,3,Response,[16.711761474609375 21.52946662902832 158.4463653564453 20.806968688964844]
2,extinction,CSm,baseline,3,Condition,"[244.68002319335938 238.39881896972656 324.3777160644531 149.7872772216797
 151.70217895507812 155.121826171875 340.4332275390625]"
2,extinction,CSm,baseline,3,Condition_Response,[46.91825485229492]
2,extinction,CSm,acquisition,1,Response,"[-120.72216033935547 -119.9361801147461 142.37867736816406
 16.41004180908203]"
2,extinction,CSm,acquisition,1,Condition,"[166.58526611328125 166.9263916015625 136.2023468017578 120.83892059326172
 228.88674926757812 110.12110137939453 158.97840881347656]"
2,extinction,CSm,acquisition,1,Condition_Response,[-48.728214263916016]
2,extinction,CSm,acquisition,2,Response,[77.74424743652344 89.55567169189453 34.44375228881836 117.05794525146484]
2,extinction,CSm,acquisition,2,Condition,"[105.8690185546875 93.54704284667969 214.0272216796875 80.04769897460938
 20.008848190307617 73.90034484863281 157.4173583984375]"
2,extinction,CSm,acquisition,2,Condition_Response,[93.54209899902344]
2,extinction,CSm,acquisition,3,Response,"[-125.84944152832031 -48.68874740600586 -18.41900062561035
 -116.37080383300781]"
2,extinction,CSm,acquisition,3,Condition,"[3.7848544120788574 44.15638732910156 126.25657653808594 69.66939544677734
 15.700254440307617 60.99014663696289 236.4425811767578]"
2,extinction,CSm,acquisition,3,Condition_Response,[44.81000518798828]
2,extinction,CSm,extinction,1,Response,[62.44650650024414 56.60559844970703 8.079397201538086 -53.45885467529297]
2,extinction,CSm,extinction,1,Condition,"[163.50271606445312 210.89224243164062 203.4997100830078 99.03124237060547
 118.63833618164062 92.31007385253906 300.8157653808594]"
2,extinction,CSm,extinction,1,Condition_Response,[29.367570877075195]
2,extinction,CSm,extinction,2,Response,[14.95596981048584 -63.401668548583984 -6.043102741241455 -116.40771484375]
2,extinction,CSm,extinction,2,Condition,"[139.83157348632812 161.64657592773438 235.2074432373047
 109.60032653808594 117.10914611816406 94.70907592773438
 139.00559997558594]"
2,extinction,CSm,extinction,2,Condition_Response,[89.0802230834961]
2,extinction,CSm,extinction,3,Response,"[-15.581737518310547 -10.019006729125977 -66.88435363769531
 -120.59728240966797]"
2,extinction,CSm,extinction,3,Condition,"[144.82972717285156 -41.200233459472656 97.37691497802734
 46.98257827758789 -96.41304016113281 67.54986572265625 -78.46540832519531]"
2,extinction,CSm,extinction,3,Condition_Response,[-62.297935485839844]
3,baseline,CSp,baseline,1,Response,"[99.09103393554688 -47.47072982788086 202.51475524902344
 10.831867218017578]"
3,baseline,CSp,baseline,1,Condition,"[222.63665771484375 345.8638916015625 193.79676818847656 172.0355682373047
 120.56451416015625 90.7806167602539 177.174560546875]"
3,baseline,CSp,baseline,1,Condition_Response,[94.71623229980469]
3,baseline,CSp,baseline,2,Response,"[256.6029052734375 -114.65738677978516 199.79620361328125
 -63.675445556640625]"
3,baseline,CSp,baseline,2,Condition,"[-164.29617309570312 -12.370945930480957 227.77920532226562
 152.04058837890625 199.9396514892578 61.69413757324219 -560.3677368164062]"
3,baseline,CSp,baseline,2,Condition_Response,[71.8382339477539]
3,baseline,CSp,baseline,3,Response,"[-109.70055389404297 22.620052337646484 82.39788818359375
 -13.138976097106934]"
3,baseline,CSp,baseline,3,Condition,"[163.38270568847656 218.01075744628906 108.87113189697266
 137.69125366210938 92.59510040283203 104.21369171142578 155.0771026611328]"
3,baseline,CSp,baseline,3,Condition_Response,[91.28178405761719]
3,baseline,CSp,acquisition,1,Response,"[114.19384002685547 -21.171403884887695 411.2872314453125
 -15.420090675354004]"
3,baseline,CSp,acquisition,1,Condition,"[275.9978942871094 399.34881591796875 242.17083740234375
 216.01145935058594 247.7956085205078 139.65614318847656 228.5711212158203]"
3,baseline,CSp,acquisition,1,Condition_Response,[8.350570678710938]
3,baseline,CSp,acquisition,2,Response,[70.70433044433594 43.95716857910156 339.049072265625 34.35423278808594]
3,baseline,CSp,acquisition,2,Condition,"[163.2368927001953 369.8771667480469 240.9204559326172 109.66688537597656
 209.47816467285156 86.43197631835938 315.35516357421875]"
3,baseline,CSp,acquisition,2,Condition_Response,[148.84637451171875]
3,baseline,CSp,acquisition,3,Response,[19.80032730102539 -60.088096618652344 119.21388244628906 -79.09130859375]
3,baseline,CSp,acquisition,3,Condition,"[116.9499282836914 256.9787902832031 188.93470764160156 77.05369567871094
 29.055198669433594 102.8998794555664 -85.86253356933594]"
3,baseline,CSp,acquisition,3,Condition_Response,[10.410601615905762]
3,baseline,CSp,extinction,1,Response,"[43.232181549072266 -39.562538146972656 230.62362670898438
 -4.925234794616699]"
3,baseline,CSp,extinction,1,Condition,"[200.40106201171875 358.9868469238281 214.85760498046875 167.5034942626953
 187.21290588378906 81.78334045410156 186.00839233398438]"
3,baseline,CSp,extinction,1,Condition_Response,[67.76850891113281]
3,baseline,CSp,extinction,2,Response,"[-110.22211456298828 -55.006927490234375 225.52108764648438
 260.92156982421875]"
3,baseline,CSp,extinction,2,Condition,"[496.01629638671875 531.2518920898438 438.86212158203125 453.7298889160156
 455.2702941894531 60.53705596923828 799.1728515625]"
3,baseline,CSp,extinction,2,Condition_Response,[-163.0666961669922]
3,baseline,CSp,extinction,3,Response,"[-109.12883758544922 113.63753509521484 61.751529693603516
 -83.48434448242188]"
3,baseline,CSp,extinction,3,Condition,"[238.69027709960938 289.2044372558594 214.18858337402344 61.93195343017578
 17.064882278442383 90.03861236572266 158.9952850341797]"
3,baseline,CSp,extinction,3,Condition_Response,[125.74099731445312]
3,baseline,CSm,baseline,1,Response,"[-7.25625467300415 -98.02277374267578 115.13130187988281
 14.612640380859375]"
3,baseline,CSm,baseline,1,Condition,"[140.57644653320312 249.75967407226562 122.39691162109375
 139.93844604492188 69.81055450439453 88.03443145751953 79.63996124267578]"
3,baseline,CSm,baseline,1,Condition_Response,[50.31077194213867]
3,baseline,CSm,baseline,2,Response,"[-63.096824645996094 -109.6338882446289 149.04226684570312
 39.79505920410156]"
3,baseline,CSm,baseline,2,Condition,"[136.75306701660156 263.183837890625 109.6393814086914 151.1842498779297
 88.4385986328125 112.7240982055664 217.18516540527344]"
3,baseline,CSm,baseline,2,Condition_Response,[82.87798309326172]
3,baseline,CSm,baseline,3,Response,[22.05400848388672 129.3502960205078 108.67855072021484 -88.30963134765625]
3,baseline,CSm,baseline,3,Condition,"[306.66827392578125 233.60047912597656 182.67051696777344
 150.71885681152344 147.3962860107422 117.8089370727539 179.6937255859375]"
3,baseline,CSm,baseline,3,Condition_Response,[-66.80586242675781]
3,baseline,CSm,acquisition,1,Response,[118.0273666381836 19.6359920501709 178.6874542236328 -0.3261238634586334]
3,baseline,CSm,acquisition,1,Condition,"[213.6165313720703 362.61309814453125 190.5372772216797 221.86038208007812
 130.87086486816406 133.28602600097656 245.22006225585938]"
3,baseline,CSm,acquisition,1,Condition_Response,[15.176774024963379]
3,baseline,CSm,acquisition,2,Response,"[-1.9253684282302856 -68.06002044677734 306.0282287597656
 150.60409545898438]"
3,baseline,CSm,acquisition,2,Condition,"[55.87907409667969 252.22837829589844 85.45099639892578 60.80873489379883
 333.1768798828125 85.24602508544922 282.7268981933594]"
3,baseline,CSm,acquisition,2,Condition_Response,[8.256148338317871]
3,baseline,CSm,acquisition,3,Response,"[-180.66261291503906 -53.287994384765625 117.86273193359375
 15.19013786315918]"
3,baseline,CSm,acquisition,3,Condition,"[136.969970703125 193.73501586914062 -26.95074462890625 157.3079376220703
 94.85720825195312 121.63917541503906 178.97007751464844]"
3,baseline,CSm,acquisition,3,Condition_Response,[41.27106475830078]
3,baseline,CSm,extinction,1,Response,
3,baseline,CSm,extinction,1,Condition,
3,baseline,CSm,extinction,1,Condition_Response,
3,baseline,CSm,extinction,2,Response,"[82.64595794677734 -0.06883420050144196 351.2359313964844
 58.746368408203125]"
3,baseline,CSm,extinction,2,Condition,"[195.2681884765625 380.2491760253906 199.08340454101562 203.53648376464844
 186.9164581298828 158.78871154785156 408.4134216308594]"
3,baseline,CSm,extinction,2,Condition_Response,[87.0527572631836]
3,baseline,CSm,extinction,3,Response,"[-9.717565536499023 7.018031597137451 140.62771606445312
 -188.84097290039062]"
3,baseline,CSm,extinction,3,Condition,"[159.07919311523438 200.95022583007812 -25.74011993408203 173.327392578125
 -120.8519058227539 156.61691284179688 98.6424789428711]"
3,baseline,CSm,extinction,3,Condition_Response,[23.791275024414062]
3,acquisition,CSp,baseline,1,Response,"[84.36068725585938 -23.665454864501953 220.15892028808594
 -27.47948455810547]"
3,acquisition,CSp,baseline,1,Condition,"[181.5279083251953 311.0842590332031 167.25054931640625 163.0894012451172
 159.56907653808594 93.82654571533203 149.79248046875]"
3,acquisition,CSp,baseline,1,Condition_Response,[73.3086929321289]
3,acquisition,CSp,baseline,2,Response,
3,acquisition,CSp,baseline,2,Condition,
3,acquisition,CSp,baseline,2,Condition_Response,
3,acquisition,CSp,baseline,3,Response,"[-243.77685546875 -24.433195114135742 -8.528176307678223
 -25.737096786499023]"
3,acquisition,CSp,baseline,3,Condition,"[83.31700897216797 137.08282470703125 -54.68581008911133 64.47425842285156
 104.4361572265625 100.57319641113281 111.29576110839844]"
3,acquisition,CSp,baseline,3,Condition_Response,[50.52848815917969]
3,acquisition,CSp,acquisition,1,Response,"[172.40782165527344 2.1939399242401123 286.83819580078125
 84.13351440429688]"
3,acquisition,CSp,acquisition,1,Condition,"[247.0013885498047 388.8772277832031 234.4649658203125 186.08584594726562
 119.906494140625 114.74713134765625 276.7808837890625]"
3,acquisition,CSp,acquisition,1,Condition_Response,[23.881067276000977]
3,acquisition,CSp,acquisition,2,Response,[41.957000732421875 23.195322036743164 216.4627227783203 96.92791748046875]
3,acquisition,CSp,acquisition,2,Condition,"[237.02560424804688 379.9217224121094 303.6914367675781 166.42477416992188
 253.59390258789062 120.49414825439453 515.0380249023438]"
3,acquisition,CSp,acquisition,2,Condition_Response,[172.2436065673828]
3,acquisition,CSp,acquisition,3,Response,[-166.62457275390625 17.385482788085938 157.9873046875 -57.95815658569336]
3,acquisition,CSp,acquisition,3,Condition,"[140.30433654785156 220.7504425048828 68.43705749511719 109.82366943359375
 108.81957244873047 58.8453369140625 245.03956604003906]"
3,acquisition,CSp,acquisition,3,Condition_Response,[98.37630462646484]
3,acquisition,CSp,extinction,1,Response,[244.5973358154297 57.210330963134766 302.6127624511719 76.07616424560547]
3,acquisition,CSp,extinction,1,Condition,"[283.6128845214844 409.8629455566406 273.3031311035156 185.5029754638672
 125.01040649414062 120.82929992675781 343.3262023925781]"
3,acquisition,CSp,extinction,1,Condition_Response,[19.791223526000977]
3,acquisition,CSp,extinction,2,Response,"[-1.8583835363388062 -48.59759521484375 208.44374084472656
 87.81616973876953]"
3,acquisition,CSp,extinction,2,Condition,"[209.8480224609375 329.2681884765625 190.68312072753906 189.70997619628906
 190.9818572998047 131.4482879638672 364.8147277832031]"
3,acquisition,CSp,extinction,2,Condition_Response,[30.058353424072266]
3,acquisition,CSp,extinction,3,Response,"[-153.81558227539062 -36.58256149291992 160.2459259033203
 -47.212669372558594]"
3,acquisition,CSp,extinction,3,Condition,"[63.76186752319336 141.14859008789062 115.43161010742188
 135.91140747070312 115.73851776123047 78.84197998046875 88.15000915527344]"
3,acquisition,CSp,extinction,3,Condition_Response,[115.45469665527344]
3,acquisition,CSm,baseline,1,Response,"[10.265960693359375 -76.30663299560547 151.24359130859375
 35.657745361328125]"
3,acquisition,CSm,baseline,1,Condition,"[179.9430694580078 310.6388854980469 184.66551208496094 160.2017059326172
 149.0997772216797 92.68043518066406 99.23455810546875]"
3,acquisition,CSm,baseline,1,Condition_Response,[67.30199432373047]
3,acquisition,CSm,baseline,2,Response,"[-92.71426391601562 -85.99451446533203 221.89175415039062
 83.29281616210938]"
3,acquisition,CSm,baseline,2,Condition,"[65.9736099243164 209.9212646484375 93.86181640625 57.10322952270508
 79.54388427734375 55.17324447631836 213.2863006591797]"
3,acquisition,CSm,baseline,2,Condition_Response,[69.65461730957031]
3,acquisition,CSm,baseline,3,Response,[-83.6169204711914 -76.413330078125 -93.14336395263672 -221.72415161132812]
3,acquisition,CSm,baseline,3,Condition,"[31.429706573486328 3.4588592052459717 -31.00634002685547
 68.97884368896484 55.46476364135742 71.49320983886719 -117.22736358642578]"
3,acquisition,CSm,baseline,3,Condition_Response,[-63.665252685546875]
