onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
345.61699999999996,3.0,CS+,animals/highlandcow.jpg,New,foil,DN,CR,CR,1.3719999999999999,memory_run-01,
393.434,3.0,CS+,animals/hermitcrab.jpg,New,foil,DN,CR,CR,1.082,memory_run-01,
446.417,3.0,CS+,animals/seaslug.jpg,New,foil,DN,CR,CR,1.204,memory_run-01,
553.4169999999998,3.0,CS+,animals/ladybug.jpg,New,foil,DN,CR,CR,1.486,memory_run-01,
561.567,3.0,CS+,animals/panda.jpg,New,foil,DN,CR,CR,1.187,memory_run-01,
569.7,3.0,CS+,animals/octopus.jpg,New,foil,DN,CR,CR,0.9670000000000001,memory_run-01,
576.8340000000002,3.0,CS+,animals/bullfrog.jpg,New,foil,DN,CR,CR,0.9259999999999999,memory_run-01,
18.334,3.0,CS+,animals/marlin.jpg,New,foil,DN,CR,CR,1.382,memory_run-02,
54.067,3.0,CS+,animals/rooster.jpg,New,foil,DN,CR,CR,1.36,memory_run-02,
68.367,3.0,CS+,animals/slug.jpg,New,foil,DN,CR,CR,1.724,memory_run-02,
89.81700000000002,3.0,CS+,animals/caracal.jpg,New,foil,DN,CR,CR,1.22,memory_run-02,
161.267,3.0,CS+,animals/stinkbug.jpg,New,foil,DO,FA,FA,1.604,memory_run-02,
197.017,3.0,CS+,animals/earthworm.jpg,New,foil,DN,CR,CR,1.055,memory_run-02,
225.61700000000002,3.0,CS+,animals/tragopan.jpg,New,foil,DN,CR,CR,1.459,memory_run-02,
261.317,3.0,CS+,animals/dove.jpg,New,foil,MO,FA,CR,1.4869999999999999,memory_run-02,
371.31699999999995,3.0,CS+,animals/crab.jpg,New,foil,MN,CR,CR,1.636,memory_run-02,
387.61699999999996,3.0,CS+,animals/malaysianjunglenymph.jpg,New,foil,DN,CR,CR,1.224,memory_run-02,
403.917,3.0,CS+,animals/owl.jpg,New,foil,DO,FA,FA,1.129,memory_run-02,
420.167,3.0,CS+,animals/wasp.jpg,New,foil,MN,CR,CR,1.324,memory_run-02,
550.367,3.0,CS+,animals/armadillo.jpg,New,foil,MN,CR,CR,1.9169999999999998,memory_run-02,
558.5,3.0,CS+,animals/orangutan.jpg,New,foil,DN,CR,CR,0.867,memory_run-02,
566.65,3.0,CS+,animals/beardeddragon.jpg,New,foil,DN,CR,CR,0.91,memory_run-02,
574.784,3.0,CS+,animals/leafinsect.jpg,New,foil,DN,CR,CR,1.145,memory_run-02,
18.3,3.0,CS+,animals/deer.jpg,New,foil,DN,CR,CR,1.26,memory_run-03,
75.467,3.0,CS+,animals/lobsterspiny.jpg,New,foil,MN,CR,CR,2.136,memory_run-03,
104.06700000000001,3.0,CS+,animals/toucan.jpg,New,foil,DN,CR,CR,1.128,memory_run-03,
111.21700000000001,3.0,CS+,animals/macaw.jpg,New,foil,MO,FA,CR,2.1180000000000003,memory_run-03,
168.417,3.0,CS+,animals/dockbug2.jpg,New,foil,MO,FA,CR,1.365,memory_run-03,
175.55,3.0,CS+,animals/clam.jpg,New,foil,DN,CR,CR,1.041,memory_run-03,
197.017,3.0,CS+,animals/gecko.jpg,New,foil,DN,CR,CR,0.96,memory_run-03,
211.317,3.0,CS+,animals/vulture.jpg,New,foil,DN,CR,CR,1.517,memory_run-03,
298.034,3.0,CS+,animals/kangaroo.jpg,New,foil,DO,FA,FA,1.38,memory_run-03,
330.55,3.0,CS+,animals/clownfish.jpg,New,foil,MN,CR,CR,1.605,memory_run-03,
363.06699999999995,3.0,CS+,animals/lion.jpg,New,foil,MO,FA,CR,1.5959999999999999,memory_run-03,
411.81699999999995,3.0,CS+,animals/lizard.jpg,New,foil,MO,FA,CR,1.2009999999999998,memory_run-03,
550.05,3.0,CS+,animals/cod.jpg,New,foil,MO,FA,CR,1.112,memory_run-03,
558.184,3.0,CS+,animals/emu.jpg,New,foil,MO,FA,CR,1.1059999999999999,memory_run-03,
566.3340000000002,3.0,CS+,animals/penguin.jpg,New,foil,MN,CR,CR,1.505,memory_run-03,
574.484,3.0,CS+,animals/ibises.jpg,New,foil,MO,FA,CR,1.1540000000000001,memory_run-03,
133.517,3.0,CS-,tools/gong.jpg,Old,baseline,,M,M,,memory_run-01,acquisition
141.667,3.0,CS-,tools/beadingtool.jpg,Old,baseline,DO,H,H,1.2990000000000002,memory_run-01,baseline
232.4,3.0,CS-,tools/reflexhammer.jpg,Old,baseline,DO,H,H,1.3030000000000002,memory_run-01,baseline
271.16700000000003,3.0,CS-,tools/cheesegrater.jpg,Old,baseline,MN,M,M,1.84,memory_run-01,baseline
352.75,3.0,CS-,tools/plunger.jpg,Old,baseline,DO,H,H,1.0290000000000001,memory_run-01,acquisition
401.55,3.0,CS-,tools/transmissionwrench.jpg,Old,baseline,DN,M,M,1.3419999999999999,memory_run-01,baseline
507.56699999999995,3.0,CS-,tools/drillbit.jpg,Old,baseline,DN,M,M,1.824,memory_run-01,baseline
515.717,3.0,CS-,tools/electricbreaker.jpg,Old,baseline,MN,M,M,1.7830000000000001,memory_run-01,baseline
39.766999999999996,3.0,CS-,tools/plow.jpg,Old,baseline,MN,M,M,1.6059999999999999,memory_run-02,extinction
104.117,3.0,CS-,tools/faxmachine.jpg,Old,baseline,DN,M,M,0.8240000000000001,memory_run-02,acquisition
182.717,3.0,CS-,tools/ropeandpulley.jpg,Old,baseline,MO,H,M,1.796,memory_run-02,baseline
254.167,3.0,CS-,tools/hairdryer.jpg,Old,baseline,MO,H,M,1.474,memory_run-02,baseline
306.2,3.0,CS-,tools/rollingpin.jpg,Old,baseline,DO,H,H,1.081,memory_run-02,extinction
322.467,3.0,CS-,tools/gardenhose.jpg,Old,baseline,DN,M,M,1.345,memory_run-02,baseline
501.534,3.0,CS-,tools/scissors.jpg,Old,baseline,DO,H,H,1.011,memory_run-02,acquisition
509.667,3.0,CS-,tools/ladder.jpg,Old,baseline,DN,M,M,1.749,memory_run-02,acquisition
25.434,3.0,CS-,tools/shoehorn.jpg,Old,baseline,DN,M,M,1.193,memory_run-03,acquisition
54.016999999999996,3.0,CS-,tools/weldinghelmet.jpg,Old,baseline,DO,H,H,1.212,memory_run-03,baseline
204.167,3.0,CS-,tools/stove.jpg,Old,baseline,MO,H,M,1.389,memory_run-03,acquisition
232.767,3.0,CS-,tools/paintroller.jpg,Old,baseline,MN,M,M,1.6909999999999998,memory_run-03,baseline
428.084,3.0,CS-,tools/chisel.jpg,Old,baseline,DN,M,M,0.846,memory_run-03,baseline
436.2,3.0,CS-,tools/rake.jpg,Old,baseline,DO,H,H,0.9490000000000001,memory_run-03,acquisition
501.267,3.0,CS-,tools/wheelbarrow.jpg,Old,baseline,DO,H,H,0.907,memory_run-03,acquisition
509.4,3.0,CS-,tools/pliers.jpg,Old,baseline,MO,H,M,1.794,memory_run-03,extinction
4.05,3.0,CS-,tools/benchdogs.jpg,Old,acquisition,,M,M,,memory_run-01,extinction
111.084,3.0,CS-,tools/beaker.jpg,Old,acquisition,MO,H,M,2.2359999999999998,memory_run-01,extinction
218.11700000000002,3.0,CS-,tools/tubeflaring.jpg,Old,acquisition,DN,M,M,1.761,memory_run-01,baseline
248.717,3.0,CS-,tools/sander.jpg,Old,acquisition,DN,M,M,1.464,memory_run-01,baseline
385.3,3.0,CS-,tools/mallet.jpg,Old,acquisition,DN,M,M,2.131,memory_run-01,baseline
422.98400000000004,3.0,CS-,tools/vegetablepeeler.jpg,Old,acquisition,MN,M,M,1.54,memory_run-01,acquisition
522.85,3.0,CS-,tools/viceclamp.jpg,Old,acquisition,MO,H,M,2.602,memory_run-01,acquisition
530.984,3.0,CS-,tools/pruner.jpg,Old,acquisition,MN,M,M,1.735,memory_run-01,extinction
118.4,3.0,CS-,tools/levelmount.jpg,Old,acquisition,DN,M,M,1.162,memory_run-02,acquisition
125.53399999999999,3.0,CS-,tools/blackboard.jpg,Old,acquisition,MO,H,M,1.5490000000000002,memory_run-02,acquisition
189.86700000000002,3.0,CS-,tools/sparkplug.jpg,Old,acquisition,MO,H,M,1.599,memory_run-02,baseline
247.03400000000002,3.0,CS-,tools/fan.jpg,Old,acquisition,DN,M,M,0.899,memory_run-02,acquisition
379.467,3.0,CS-,tools/thermometer.jpg,Old,acquisition,DN,M,M,1.297,memory_run-02,baseline
428.3,3.0,CS-,tools/measuringcups.jpg,Old,acquisition,MO,H,M,1.475,memory_run-02,extinction
517.784,3.0,CS-,tools/broom.jpg,Old,acquisition,MO,H,M,1.494,memory_run-02,baseline
525.9169999999998,3.0,CS-,tools/ruler.jpg,Old,acquisition,MN,M,M,1.692,memory_run-02,acquisition
39.717,3.0,CS-,tools/eraser.jpg,Old,acquisition,DN,M,M,1.037,memory_run-03,acquisition
125.51700000000001,3.0,CS-,tools/woodchipper.jpg,Old,acquisition,DN,M,M,1.337,memory_run-03,baseline
146.967,3.0,CS-,tools/routerplane.jpg,Old,acquisition,MO,H,M,1.473,memory_run-03,baseline
239.917,3.0,CS-,tools/measuringdevice.jpg,Old,acquisition,MN,M,M,1.405,memory_run-03,baseline
306.15,3.0,CS-,tools/weedeater.jpg,Old,acquisition,DO,H,H,1.1520000000000001,memory_run-03,extinction
403.684,3.0,CS-,tools/lawnmower.jpg,Old,acquisition,DN,M,M,1.119,memory_run-03,acquisition
517.5169999999998,3.0,CS-,tools/spoon.jpg,Old,acquisition,MO,H,M,1.2890000000000001,memory_run-03,acquisition
525.65,3.0,CS-,tools/wrench.jpg,Old,acquisition,MO,H,M,0.9420000000000001,memory_run-03,baseline
19.334,3.0,CS-,tools/campingstove.jpg,Old,extinction,DN,M,M,1.5730000000000002,memory_run-01,baseline
88.667,3.0,CS-,tools/carpetblower.jpg,Old,extinction,DO,H,H,2.215,memory_run-01,acquisition
171.217,3.0,CS-,tools/treadmill.jpg,Old,extinction,DO,H,H,1.1179999999999999,memory_run-01,baseline
240.567,3.0,CS-,tools/extensioncord.jpg,Old,extinction,DN,M,M,1.375,memory_run-01,baseline
317.034,3.0,CS-,tools/padlock.jpg,Old,extinction,MO,H,M,1.685,memory_run-01,acquisition
431.134,3.0,CS-,tools/bucket.jpg,Old,extinction,MO,H,M,1.433,memory_run-01,extinction
539.134,3.0,CS-,tools/paintbrush.jpg,Old,extinction,DN,M,M,1.925,memory_run-01,baseline
546.284,3.0,CS-,tools/screwdriver.jpg,Old,extinction,DO,H,H,2.043,memory_run-01,baseline
4.05,3.0,CS-,tools/camera.jpg,Old,extinction,DN,M,M,1.2109999999999999,memory_run-02,baseline
82.667,3.0,CS-,tools/solderingtorch.jpg,Old,extinction,MN,M,M,1.4669999999999999,memory_run-02,extinction
154.11700000000005,3.0,CS-,tools/microwave.jpg,Old,extinction,DN,M,M,0.8740000000000001,memory_run-02,acquisition
211.317,3.0,CS-,tools/workbench.jpg,Old,extinction,DN,M,M,1.0,memory_run-02,acquisition
289.9170000000001,3.0,CS-,tools/edger.jpg,Old,extinction,DN,M,M,1.237,memory_run-02,acquisition
395.767,3.0,CS-,tools/jumpercables.jpg,Old,extinction,DN,M,M,1.07,memory_run-02,baseline
534.067,3.0,CS-,tools/monkeywrench.jpg,Old,extinction,MO,H,M,2.088,memory_run-02,acquisition
542.217,3.0,CS-,tools/measuringtape.jpg,Old,extinction,MO,H,M,1.6219999999999999,memory_run-02,baseline
96.917,3.0,CS-,tools/videogamecontroller.jpg,Old,extinction,DO,H,H,0.816,memory_run-03,extinction
139.817,3.0,CS-,tools/duffelbag.jpg,Old,extinction,MO,H,M,1.8419999999999999,memory_run-03,acquisition
154.11700000000005,3.0,CS-,tools/airpump.jpg,Old,extinction,DN,M,M,1.188,memory_run-03,baseline
254.2,3.0,CS-,tools/toaster.jpg,Old,extinction,DN,M,M,0.7809999999999999,memory_run-03,baseline
354.95,3.0,CS-,tools/squeegee.jpg,Old,extinction,MO,H,M,1.214,memory_run-03,acquisition
395.534,3.0,CS-,tools/blower.jpg,Old,extinction,MN,M,M,1.506,memory_run-03,extinction
533.784,3.0,CS-,tools/chainsaw.jpg,Old,extinction,MO,H,M,1.045,memory_run-03,acquisition
541.9169999999998,3.0,CS-,tools/hammer.jpg,Old,extinction,MN,M,M,1.841,memory_run-03,extinction
26.484,3.0,CS-,tools/wateringcan.jpg,New,foil,DN,CR,CR,0.973,memory_run-01,
34.634,3.0,CS-,tools/engine.jpg,New,foil,DN,CR,CR,1.2830000000000001,memory_run-01,
118.234,3.0,CS-,tools/grapplinghook.jpg,New,foil,DN,CR,CR,1.4809999999999999,memory_run-01,
125.367,3.0,CS-,tools/dremel.jpg,New,foil,DN,CR,CR,1.659,memory_run-01,
155.95,3.0,CS-,tools/burnisher.jpg,New,foil,MO,FA,CR,1.4169999999999998,memory_run-01,
178.36700000000005,3.0,CS-,tools/whisk.jpg,New,foil,DN,CR,CR,1.119,memory_run-01,
185.517,3.0,CS-,tools/lantern.jpg,New,foil,MN,CR,CR,1.38,memory_run-01,
302.75,3.0,CS-,tools/magnet.jpg,New,foil,DN,CR,CR,1.3980000000000001,memory_run-01,
324.184,3.0,CS-,tools/microscope.jpg,New,foil,DN,CR,CR,1.22,memory_run-01,
408.7,3.0,CS-,tools/caulkinggun.jpg,New,foil,DN,CR,CR,1.3,memory_run-01,
415.834,3.0,CS-,tools/level.jpg,New,foil,DN,CR,CR,1.024,memory_run-01,
439.267,3.0,CS-,tools/bolt.jpg,New,foil,DN,CR,CR,1.124,memory_run-01,
584.95,3.0,CS-,tools/electricdrill.jpg,New,foil,DN,CR,CR,1.511,memory_run-01,
593.0840000000002,3.0,CS-,tools/whistle.jpg,New,foil,DN,CR,CR,1.2309999999999999,memory_run-01,
600.217,3.0,CS-,tools/keys.jpg,New,foil,MN,CR,CR,1.855,memory_run-01,
608.367,3.0,CS-,tools/mellonballer.jpg,New,foil,DN,CR,CR,1.092,memory_run-01,
32.617,3.0,CS-,tools/laptop.jpg,New,foil,DN,CR,CR,0.8590000000000001,memory_run-02,
75.517,3.0,CS-,tools/carabiner.jpg,New,foil,DN,CR,CR,1.4040000000000001,memory_run-02,
111.26700000000001,3.0,CS-,tools/anvil.jpg,New,foil,MO,FA,CR,1.565,memory_run-02,
139.817,3.0,CS-,tools/duster.jpg,New,foil,DN,CR,CR,0.872,memory_run-02,
146.967,3.0,CS-,tools/flashlight.jpg,New,foil,DO,FA,FA,1.219,memory_run-02,
175.567,3.0,CS-,tools/hedgeshears.jpg,New,foil,DN,CR,CR,1.1640000000000001,memory_run-02,
268.467,3.0,CS-,tools/telephone.jpg,New,foil,MO,FA,CR,2.123,memory_run-02,
275.617,3.0,CS-,tools/scratchawl.jpg,New,foil,MN,CR,CR,1.6230000000000002,memory_run-02,
298.05,3.0,CS-,tools/stapler.jpg,New,foil,DN,CR,CR,0.8740000000000001,memory_run-02,
314.334,3.0,CS-,tools/sawblade.jpg,New,foil,DN,CR,CR,0.865,memory_run-02,
346.9,3.0,CS-,tools/pick.jpg,New,foil,MO,FA,CR,1.3630000000000002,memory_run-02,
363.167,3.0,CS-,tools/razorblade.jpg,New,foil,DN,CR,CR,1.115,memory_run-02,
582.9169999999998,3.0,CS-,tools/pizzacutter.jpg,New,foil,DN,CR,CR,1.232,memory_run-02,
591.034,3.0,CS-,tools/snowbrush.jpg,New,foil,DN,CR,CR,1.011,memory_run-02,
599.15,3.0,CS-,tools/clamp.jpg,New,foil,DO,FA,FA,1.436,memory_run-02,
607.284,3.0,CS-,tools/battery.jpg,New,foil,DN,CR,CR,1.072,memory_run-02,
11.167,3.0,CS-,tools/electricsewingmachine.jpg,New,foil,DN,CR,CR,0.943,memory_run-03,
82.617,3.0,CS-,tools/clippers.jpg,New,foil,MN,CR,CR,1.8330000000000002,memory_run-03,
118.367,3.0,CS-,tools/vicegrips.jpg,New,foil,MN,CR,CR,1.2819999999999998,memory_run-03,
132.65,3.0,CS-,tools/magnifyingglass.jpg,New,foil,DN,CR,CR,1.1420000000000001,memory_run-03,
161.267,3.0,CS-,tools/compass.jpg,New,foil,DN,CR,CR,1.524,memory_run-03,
225.61700000000002,3.0,CS-,tools/hourglass.jpg,New,foil,DN,CR,CR,1.044,memory_run-03,
247.067,3.0,CS-,tools/tape.jpg,New,foil,DN,CR,CR,1.496,memory_run-03,
268.467,3.0,CS-,tools/watch.jpg,New,foil,DN,CR,CR,1.0170000000000001,memory_run-03,
322.4170000000001,3.0,CS-,tools/staplegun.jpg,New,foil,DN,CR,CR,0.985,memory_run-03,
371.184,3.0,CS-,tools/crank.jpg,New,foil,MN,CR,CR,1.318,memory_run-03,
387.417,3.0,CS-,tools/shovel.jpg,New,foil,MO,FA,CR,1.165,memory_run-03,
444.334,3.0,CS-,tools/nailgun.jpg,New,foil,DN,CR,CR,1.2990000000000002,memory_run-03,
582.634,3.0,CS-,tools/smartphone.jpg,New,foil,DN,CR,CR,0.863,memory_run-03,
590.75,3.0,CS-,tools/vacuumcleaner.jpg,New,foil,DN,CR,CR,1.12,memory_run-03,
598.884,3.0,CS-,tools/cuttingboard.jpg,New,foil,DN,CR,CR,0.98,memory_run-03,
607.0169999999998,3.0,CS-,tools/stethoscope.jpg,New,foil,DN,CR,CR,1.004,memory_run-03,
