roi,encode_phase,level,subject,low_confidence_accuracy,high_confidence_accuracy,CSp_trial,CSm_trial,rsa,group
mOFC,extinction,set,13,,,,,0.4631996167181783,control
mOFC,extinction,set,14,,,,,0.11453562775414745,control
mOFC,extinction,set,15,,,,,0.14433489446106587,control
mOFC,extinction,set,16,,,,,0.3383036266655,control
mOFC,extinction,set,17,,,,,0.5786693041375615,control
mOFC,extinction,set,18,,,,,-0.13310214393437772,control
mOFC,extinction,set,19,,,,,0.28596184683435477,control
mOFC,extinction,set,20,,,,,-0.07444682300747173,control
mOFC,extinction,set,21,,,,,0.023891205726701017,control
mOFC,extinction,set,23,,,,,0.10757022627214773,control
mOFC,extinction,set,24,,,,,0.6632127674675891,control
mOFC,extinction,set,25,,,,,0.03849065546086848,control
mOFC,extinction,set,26,,,,,0.08870523904493427,control
dACC,baseline,item,1,0.3333333333333333,0.29166666666666663,,,0.05806760056644679,control
dACC,baseline,item,2,0.25,0.25,,,0.10936007356667539,control
dACC,baseline,item,3,0.20833333333333337,0.041666666666666685,,,0.049371187247817215,control
dACC,baseline,item,4,-0.04166666666666663,0.0,,,-0.032096207788182674,control
dACC,baseline,item,5,0.16666666666666674,0.16666666666666674,,,-0.06959481921960946,control
dACC,baseline,item,6,0.25,0.16666666666666666,,,0.21632954064250975,control
dACC,baseline,item,7,0.08333333333333337,0.12500000000000003,,,0.2095842936083341,control
dACC,baseline,item,8,0.04166666666666663,0.08333333333333337,,,-0.03901024707515341,control
dACC,baseline,item,9,-0.25000000000000006,-0.25,,,-0.06254786443353097,control
dACC,baseline,item,10,-0.04166666666666663,0.0,,,-0.05046487337622241,control
dACC,baseline,item,12,0.08333333333333337,0.08333333333333331,,,-0.07229589857353291,control
dACC,baseline,item,13,-0.125,0.125,,,0.21614010236538791,control
dACC,baseline,item,14,0.125,0.08333333333333331,,,0.013006101741341813,control
dACC,baseline,item,15,0.04166666666666674,0.08333333333333337,,,-0.02548944224953073,control
dACC,baseline,item,16,-0.125,0.16666666666666669,,,0.031050108037236686,control
dACC,baseline,item,17,-0.08333333333333337,0.08333333333333337,,,-0.1024574827003776,control
dACC,baseline,item,18,0.041666666666666685,0.04166666666666666,,,-0.0494786027457188,control
dACC,baseline,item,19,0.04166666666666663,-0.04166666666666674,,,-0.07416300803543552,control
dACC,baseline,item,20,-0.25,-0.16666666666666663,,,-0.010869117763369053,control
dACC,baseline,item,21,0.0,-0.08333333333333337,,,0.1422760669158895,control
dACC,baseline,item,23,-0.20833333333333337,-0.04166666666666663,,,0.10894093313664872,control
dACC,baseline,item,24,0.29166666666666663,0.20833333333333331,,,-0.31086854374089545,control
dACC,baseline,item,25,-0.125,-0.125,,,-0.05786083480737764,control
dACC,baseline,item,26,-0.04166666666666663,-0.04166666666666674,,,0.07646844344697767,control
dACC,baseline,set,1,,,,,0.05153635746299644,control
dACC,baseline,set,2,,,,,-0.07415521566057615,control
dACC,baseline,set,3,,,,,0.018851974339228326,control
dACC,baseline,set,4,,,,,0.02688370464121681,control
dACC,baseline,set,5,,,,,-0.04365147853708694,control
dACC,baseline,set,6,,,,,0.07106923145048578,control
dACC,baseline,set,7,,,,,0.04927474217589768,control
dACC,baseline,set,8,,,,,0.020224832634921225,control
dACC,baseline,set,9,,,,,-0.1012176997620585,control
dACC,baseline,set,10,,,,,0.016092210360968473,control
dACC,baseline,set,12,,,,,-0.08103011252305103,control
dACC,baseline,set,13,,,,,0.06100946384060271,control
dACC,baseline,set,14,,,,,-0.048630124348315484,control
dACC,baseline,set,15,,,,,-0.024539759265862743,control
dACC,baseline,set,16,,,,,0.06126537795674106,control
dACC,baseline,set,17,,,,,-0.04829050238058366,control
dACC,baseline,set,18,,,,,-0.01790975100454334,control
dACC,baseline,set,19,,,,,-0.0690051911542428,control
dACC,baseline,set,20,,,,,0.005191281037300776,control
dACC,baseline,set,21,,,,,0.14111174115536979,control
dACC,baseline,set,23,,,,,0.07258104122907755,control
dACC,baseline,set,24,,,,,-0.2728086776022447,control
dACC,baseline,set,25,,,,,-0.04607771670342813,control
dACC,baseline,set,26,,,,,0.08747368332230795,control
dACC,acquisition,item,1,0.41666666666666674,0.5416666666666666,,,0.11982595150172068,control
dACC,acquisition,item,2,0.2916666666666667,0.375,,,-0.061709646548265745,control
dACC,acquisition,item,3,0.3333333333333333,0.20833333333333334,,,0.19647883965168092,control
dACC,acquisition,item,4,0.04166666666666674,-0.20833333333333331,,,0.11769086943408395,control
dACC,acquisition,item,5,0.25,0.20833333333333326,,,0.5177205323889473,control
dACC,acquisition,item,6,0.5833333333333334,0.7083333333333333,,,-0.026179887265656038,control
dACC,acquisition,item,7,0.0,0.0,,,0.09206577887703782,control
dACC,acquisition,item,8,0.0,0.33333333333333337,,,0.4395907331511695,control
dACC,acquisition,item,9,-0.04166666666666663,0.0,,,0.021275721154138616,control
dACC,acquisition,item,10,0.20833333333333337,0.5833333333333334,,,0.09274403471784085,control
dACC,acquisition,item,12,0.375,0.41666666666666663,,,0.40842907276002793,control
dACC,acquisition,item,13,0.08333333333333326,0.0,,,0.010470616020585966,control
dACC,acquisition,item,14,0.33333333333333326,0.20833333333333334,,,0.28084460141412665,control
dACC,acquisition,item,15,0.5833333333333333,0.625,,,0.409175888037535,control
dACC,acquisition,item,16,0.29166666666666663,0.33333333333333337,,,0.27992297388811244,control
dACC,acquisition,item,17,0.08333333333333337,0.25,,,0.2805697464152355,control
dACC,acquisition,item,18,0.25,0.08333333333333333,,,-0.06964022656335703,control
dACC,acquisition,item,19,-0.125,-0.04166666666666663,,,0.3939467266568947,control
dACC,acquisition,item,20,-0.16666666666666674,-0.08333333333333334,,,0.2519547896618851,control
dACC,acquisition,item,21,-0.08333333333333326,-0.25,,,0.03653066566154757,control
dACC,acquisition,item,23,-0.25,-0.2916666666666667,,,0.05790742750469574,control
dACC,acquisition,item,24,0.5416666666666667,0.5833333333333334,,,0.17338229553128465,control
dACC,acquisition,item,25,0.29166666666666663,0.20833333333333337,,,-0.02311020022273079,control
dACC,acquisition,item,26,0.16666666666666663,0.25,,,0.10782053785406451,control
dACC,acquisition,set,1,,,,,0.31662260751969207,control
dACC,acquisition,set,2,,,,,0.04158264336400183,control
dACC,acquisition,set,3,,,,,0.23014393454127288,control
dACC,acquisition,set,4,,,,,0.022086220291717445,control
dACC,acquisition,set,5,,,,,0.3996016196449858,control
dACC,acquisition,set,6,,,,,0.057468456390144446,control
dACC,acquisition,set,7,,,,,0.15492854697355823,control
dACC,acquisition,set,8,,,,,0.39881301564349847,control
dACC,acquisition,set,9,,,,,-0.013605355477274345,control
dACC,acquisition,set,10,,,,,0.18040861386032345,control
dACC,acquisition,set,12,,,,,0.39461008561080235,control
dACC,acquisition,set,13,,,,,-0.01989913091005191,control
dACC,acquisition,set,14,,,,,0.290101552307705,control
dACC,acquisition,set,15,,,,,0.2805385077579554,control
dACC,acquisition,set,16,,,,,0.2908809700173246,control
dACC,acquisition,set,17,,,,,0.16482078383809348,control
dACC,acquisition,set,18,,,,,-0.019810269630780947,control
dACC,acquisition,set,19,,,,,0.2722288037460836,control
dACC,acquisition,set,20,,,,,0.12879005138297053,control
dACC,acquisition,set,21,,,,,0.02542863551618227,control
dACC,acquisition,set,23,,,,,-0.004147770599355449,control
dACC,acquisition,set,24,,,,,0.13536019672267197,control
dACC,acquisition,set,25,,,,,0.040275524462506124,control
dACC,acquisition,set,26,,,,,0.0017929635645836384,control
dACC,early_extinction,item,1,0.0,0.0,,,-0.24160748884474112,control
dACC,early_extinction,item,2,0.5,0.5,,,0.32457083465431663,control
dACC,early_extinction,item,3,0.5,0.5,,,0.031472778558124616,control
dACC,early_extinction,item,4,0.25,0.25,,,0.3013085354455043,control
dACC,early_extinction,item,5,0.0,0.0,,,0.2877813499193717,control
dACC,early_extinction,item,6,0.25,0.5,,,0.45591814916088613,control
dACC,early_extinction,item,7,0.5,0.25,,,0.10934392786838344,control
dACC,early_extinction,item,8,0.5,0.25,,,0.8270592308045721,control
dACC,early_extinction,item,9,0.0,0.0,,,-0.2391490788614172,control
dACC,early_extinction,item,10,0.5,0.5,,,0.17171559766501013,control
dACC,early_extinction,item,12,0.25,-0.25,,,-0.2074320006648701,control
dACC,early_extinction,item,13,-0.25,0.0,,,-0.08394783394006086,control
dACC,early_extinction,item,14,-0.25,-0.5,,,-0.04376562177527507,control
dACC,early_extinction,item,15,0.75,0.25,,,-0.2181251435265606,control
dACC,early_extinction,item,16,0.0,0.0,,,-0.07502500484321778,control
dACC,early_extinction,item,17,0.0,-0.25,,,0.389104218189033,control
dACC,early_extinction,item,18,0.5,0.0,,,-0.06286114216831369,control
dACC,early_extinction,item,19,-0.5,-0.25,,,0.12110705780280018,control
dACC,early_extinction,item,20,-0.25,-0.25,,,-0.7177314358949417,control
dACC,early_extinction,item,21,0.0,0.0,,,-0.5234418603560835,control
dACC,early_extinction,item,23,-0.25,-0.25,,,-0.0006144736297448161,control
dACC,early_extinction,item,24,-0.25,0.0,,,-0.2349632734415564,control
dACC,early_extinction,item,25,0.25,0.25,,,-0.46972875930119373,control
dACC,early_extinction,item,26,0.0,0.5,,,-0.32992634622810474,control
dACC,early_extinction,set,1,,,,,0.0391359534036409,control
dACC,early_extinction,set,2,,,,,-0.09011917746856539,control
dACC,early_extinction,set,3,,,,,0.1685169045402123,control
dACC,early_extinction,set,4,,,,,0.08265317962349322,control
dACC,early_extinction,set,5,,,,,0.21879522135337295,control
dACC,early_extinction,set,6,,,,,0.05943052214532145,control
dACC,early_extinction,set,7,,,,,0.18142030806494466,control
dACC,early_extinction,set,8,,,,,0.5480760262172657,control
dACC,early_extinction,set,9,,,,,-0.1548544520689595,control
dACC,early_extinction,set,10,,,,,0.5125563676172034,control
dACC,early_extinction,set,12,,,,,-0.2360665426118047,control
dACC,early_extinction,set,13,,,,,0.41477027185972326,control
dACC,early_extinction,set,14,,,,,-0.005132000364890671,control
dACC,early_extinction,set,15,,,,,0.12193213835383998,control
dACC,early_extinction,set,16,,,,,0.1163777958454055,control
dACC,early_extinction,set,17,,,,,0.36056549901262397,control
dACC,early_extinction,set,18,,,,,0.02528551500765934,control
dACC,early_extinction,set,19,,,,,0.03799518554652082,control
dACC,early_extinction,set,20,,,,,-0.5317599114981371,control
dACC,early_extinction,set,21,,,,,-0.2142334655180405,control
dACC,early_extinction,set,23,,,,,-0.037202891483041456,control
dACC,early_extinction,set,24,,,,,0.08511252465690095,control
dACC,early_extinction,set,25,,,,,0.02175506552356976,control
dACC,early_extinction,set,26,,,,,0.15411430958771505,control
dACC,extinction,item,1,0.09999999999999998,0.04999999999999999,,,0.09974297191395073,control
dACC,extinction,item,2,0.30000000000000004,0.4,,,-0.006081194093306458,control
dACC,extinction,item,3,0.39999999999999997,0.14999999999999997,,,0.138901815398739,control
dACC,extinction,item,4,0.15000000000000002,0.30000000000000004,,,-0.031432256428871375,control
dACC,extinction,item,5,-0.04999999999999993,-0.050000000000000044,,,0.012262969601923412,control
dACC,extinction,item,6,0.44999999999999996,0.5,,,0.007449780955250389,control
dACC,extinction,item,7,0.09999999999999998,0.19999999999999998,,,0.257083085476383,control
dACC,extinction,item,8,0.09999999999999998,0.3,,,0.12782889183189683,control
dACC,extinction,item,9,-0.19999999999999996,-0.3,,,0.05656661613026795,control
dACC,extinction,item,10,0.19999999999999996,0.25,,,0.3456701775265036,control
dACC,extinction,item,12,0.29999999999999993,0.09999999999999999,,,0.0975525170879645,control
dACC,extinction,item,13,-0.14999999999999997,-0.2,,,-0.10263188044548005,control
dACC,extinction,item,14,0.25,0.05,,,0.04233134443699729,control
dACC,extinction,item,15,0.20000000000000007,0.05000000000000002,,,-0.023208727192601773,control
dACC,extinction,item,16,0.1499999999999999,0.2,,,0.30529643171610205,control
dACC,extinction,item,17,0.35,0.5499999999999999,,,-0.09220348076615223,control
dACC,extinction,item,18,0.0,0.0,,,0.1505653929583474,control
dACC,extinction,item,19,-0.050000000000000044,0.0,,,-0.03259376181818718,control
dACC,extinction,item,20,-0.09999999999999998,-0.15,,,0.05275470157325984,control
dACC,extinction,item,21,-0.20000000000000007,-0.09999999999999998,,,0.1592281687415144,control
dACC,extinction,item,23,-0.44999999999999996,-0.25,,,0.024983537632273234,control
dACC,extinction,item,24,0.44999999999999996,0.4,,,-0.14068067234131354,control
dACC,extinction,item,25,0.2,0.1,,,0.04711398070602894,control
dACC,extinction,item,26,0.1499999999999999,0.19999999999999996,,,0.0239578944582247,control
dACC,extinction,set,1,,,,,0.08656946089083228,control
dACC,extinction,set,2,,,,,0.0485123328193752,control
dACC,extinction,set,3,,,,,0.1262721307265388,control
dACC,extinction,set,4,,,,,0.04246243174800253,control
dACC,extinction,set,5,,,,,0.23769138328439887,control
dACC,extinction,set,6,,,,,0.04641691799897446,control
dACC,extinction,set,7,,,,,0.004849446634123983,control
dACC,extinction,set,8,,,,,0.1461765896688707,control
dACC,extinction,set,9,,,,,0.11302592336920571,control
dACC,extinction,set,10,,,,,0.24647754259379612,control
dACC,extinction,set,12,,,,,-0.004148891641354291,control
dACC,extinction,set,13,,,,,-0.11334230606384565,control
dACC,extinction,set,14,,,,,-0.08753435717474535,control
dACC,extinction,set,15,,,,,0.054404743834564465,control
dACC,extinction,set,16,,,,,0.28737086761885616,control
dACC,extinction,set,17,,,,,0.06089841098004964,control
dACC,extinction,set,18,,,,,0.0011783476514987332,control
dACC,extinction,set,19,,,,,0.0025793679365859745,control
dACC,extinction,set,20,,,,,-0.16298505489190152,control
dACC,extinction,set,21,,,,,0.1032835582403922,control
dACC,extinction,set,23,,,,,0.014274592400736946,control
dACC,extinction,set,24,,,,,0.013432604076527382,control
dACC,extinction,set,25,,,,,-0.06223070075906442,control
dACC,extinction,set,26,,,,,-0.005556412914549426,control
mOFC,baseline,item,101,0.375,0.29166666666666663,,,0.008153852611860524,ptsd
mOFC,baseline,item,102,0.125,0.04166666666666674,,,-0.06549657580227455,ptsd
mOFC,baseline,item,103,-0.08333333333333326,0.0,,,-0.0960326072408133,ptsd
mOFC,baseline,item,104,0.20833333333333337,0.20833333333333331,,,-0.11760157476038977,ptsd
mOFC,baseline,item,105,0.0,0.16666666666666663,,,0.041360646194652684,ptsd
mOFC,baseline,item,106,-0.04166666666666663,0.08333333333333331,,,-0.17175466120622457,ptsd
mOFC,baseline,item,107,-0.125,-0.04166666666666663,,,0.35961145154679997,ptsd
mOFC,baseline,item,108,0.0,0.20833333333333337,,,0.18797814073985622,ptsd
mOFC,baseline,item,109,0.125,0.125,,,-0.04171199250697469,ptsd
mOFC,baseline,item,110,0.125,0.25000000000000006,,,0.07882566165817993,ptsd
mOFC,baseline,item,111,0.20833333333333337,0.33333333333333326,,,0.05745275610740373,ptsd
mOFC,baseline,item,112,0.08333333333333326,0.08333333333333331,,,-0.05173010908415329,ptsd
mOFC,baseline,item,113,-0.125,0.04166666666666663,,,-0.10157570893816228,ptsd
mOFC,baseline,item,114,0.33333333333333326,0.16666666666666669,,,-0.22016951973871132,ptsd
