w,p,cles,p_fdr,p_mask,cles_disp
217.0,0.008479997947235836,0.5519848771266541,0.031093325806531402,1,0.5519848771266541
180.0,0.10343471639762764,0.5841209829867675,0.12627983515380356,0,0.0
178.0,0.11479985013982141,0.500945179584121,0.12627983515380356,0,0.0
199.0,0.03287643586140199,0.55765595463138,0.05166297063934598,0,0.0
225.0,0.004258036479344085,0.5973534971644613,0.023419200636392468,1,0.5973534971644613
205.0,0.021557491533636258,0.5463137996219282,0.04742648137399977,1,0.5463137996219282
239.0,0.00111893020018357,0.5992438563327032,0.01230823220201927,1,0.5992438563327032
199.0,0.03287643586140199,0.5482041587901701,0.05166297063934598,0,0.0
168.0,0.1847951337170879,0.4952741020793951,0.1847951337170879,0,0.0
197.0,0.03759736309953571,0.5311909262759924,0.0516963742618616,0,0.0
207.0,0.018606282760090766,0.555765595463138,0.04742648137399977,1,0.555765595463138
125.0,0.6593177533646911,0.504725897920605,,1,0.504725897920605
146.0,0.40977952766700687,0.5066162570888468,,1,0.5066162570888468
167.0,0.19301863121171098,0.5236294896030246,,1,0.5236294896030246
111.0,0.7985381969389094,0.497164461247637,,1,0.497164461247637
151.0,0.3519033356565849,0.5293005671077504,,1,0.5293005671077504
200.0,0.030705847248531218,0.5689981096408318,,1,0.5689981096408318
211.0,0.013724096470189543,0.5633270321361059,,1,0.5633270321361059
171.0,0.16145734866595068,0.4896030245746692,0.44400770883136437,0,0.0
147.0,0.3980000674549721,0.500945179584121,0.7296667903341155,0,0.0
91.0,0.9257303592173599,0.46880907372400754,0.9257303592173599,0,0.0
180.0,0.10343471639762764,0.5387523629489603,0.44400770883136437,0,0.0
164.0,0.2189981204014982,0.4763705103969754,0.481795864883296,0,0.0
128.0,0.6252720964306904,0.4952741020793951,0.7782439851673884,0,0.0
127.0,0.6367450787733178,0.46880907372400754,0.7782439851673884,0,0.0
183.0,0.08795349520083051,0.500945179584121,0.44400770883136437,0,0.0
131.0,0.5902204723329931,0.4839319470699433,0.7782439851673884,0,0.0
101.0,0.8729736199186795,0.48582230623818523,0.9257303592173599,0,0.0
176.0,0.12702638008132056,0.5293005671077504,0.44400770883136437,0,0.0
143.0,0.4455678473143318,0.5330812854442344,,1,0.5330812854442344
192.0,0.05184731408925436,0.5085066162570888,,1,0.5085066162570888
73.0,0.9768243132042185,0.41776937618147447,,1,0.41776937618147447
198.0,0.03517195899940526,0.5671077504725898,,1,0.5671077504725898
185.0,0.07863760446467595,0.5255198487712666,,1,0.5255198487712666
157.0,0.2868275487086317,0.5085066162570888,,1,0.5085066162570888
151.0,0.3519033356565849,0.500945179584121,,1,0.500945179584121
173.0,0.14701637832259684,0.5368620037807184,0.4042950403871413,0,0.0
188.0,0.06609262675156304,0.55765595463138,0.2423396314223978,0,0.0
229.0,0.0029566262842880523,0.5633270321361059,0.032522889127168574,1,0.5633270321361059
161.0,0.2468813683306345,0.46880907372400754,0.543139010327396,0,0.0
146.0,0.40977952766700687,0.4896030245746692,0.6439392577624394,0,0.0
93.0,0.9168024561342698,0.48015122873345933,0.9168024561342698,0,0.0
102.0,0.8665318965132018,0.4839319470699433,0.9168024561342698,0,0.0
112.0,0.7898774974086171,0.48015122873345933,0.9168024561342698,0,0.0
194.0,0.04570274429825741,0.5500945179584121,0.2423396314223978,0,0.0
126.0,0.6480966643434152,0.5085066162570888,0.8911329134721958,0,0.0
150.0,0.36325492122668224,0.502835538752363,0.6439392577624394,0,0.0
157.0,0.2868275487086317,0.5255198487712666,,1,0.5255198487712666
120.0,0.7131724512913683,0.46502835538752363,,1,0.46502835538752363
146.0,0.40977952766700687,0.4839319470699433,,1,0.4839319470699433
194.0,0.04570274429825741,0.6086956521739131,,1,0.6086956521739131
99.0,0.8852001498601786,0.3818525519848771,,1,0.3818525519848771
204.0,0.023175686795781497,0.5482041587901701,,1,0.5482041587901701
138.0,0.5060666715625902,0.4839319470699433,,1,0.4839319470699433
