condition,group,roi,phase,subject,beta
CS+,healthy,amyg_cem,acquisition,21,30.45225758792625
CS+,healthy,amyg_cem,acquisition,23,23.08698411029565
CS+,healthy,amyg_cem,acquisition,24,-21.49482107418354
CS+,healthy,amyg_cem,acquisition,25,-14.197702455409301
CS+,healthy,amyg_cem,acquisition,26,22.224560824242268
CS+,healthy,amyg_cem,baseline,1,-4.95512339003125
CS+,healthy,amyg_cem,baseline,2,-41.692790135804906
CS+,healthy,amyg_cem,baseline,3,-13.305796386276295
CS+,healthy,amyg_cem,baseline,4,-36.99651293650918
CS+,healthy,amyg_cem,baseline,5,41.4123863007974
CS+,healthy,amyg_cem,baseline,6,12.962573152501134
CS+,healthy,amyg_cem,baseline,7,-13.441556278123135
CS+,healthy,amyg_cem,baseline,8,10.36031472163373
CS+,healthy,amyg_cem,baseline,9,19.575548178667113
CS+,healthy,amyg_cem,baseline,10,19.510568179635573
CS+,healthy,amyg_cem,baseline,12,22.126785428569708
CS+,healthy,amyg_cem,baseline,13,32.15895280505297
CS+,healthy,amyg_cem,baseline,14,3.5657868004037123
CS+,healthy,amyg_cem,baseline,15,16.929904410107568
CS+,healthy,amyg_cem,baseline,16,2.30877815495478
CS+,healthy,amyg_cem,baseline,17,-21.235076954588294
CS+,healthy,amyg_cem,baseline,18,8.920881623153532
CS+,healthy,amyg_cem,baseline,19,-2.9825292404412345
CS+,healthy,amyg_cem,baseline,20,7.222380597745218
CS+,healthy,amyg_cem,baseline,21,26.556446192496352
CS+,healthy,amyg_cem,baseline,23,39.591608509512895
CS+,healthy,amyg_cem,baseline,24,-28.91753926466812
CS+,healthy,amyg_cem,baseline,25,35.27700349363102
CS+,healthy,amyg_cem,baseline,26,-20.557488632553333
CS+,healthy,amyg_cem,extinction,1,-30.752842940006623
CS+,healthy,amyg_cem,extinction,2,-24.26661343187985
CS+,healthy,amyg_cem,extinction,3,-26.336466562584967
CS+,healthy,amyg_cem,extinction,4,-45.252607130486034
CS+,healthy,amyg_cem,extinction,5,-9.151293000799509
CS+,healthy,amyg_cem,extinction,6,18.670202763737414
CS+,healthy,amyg_cem,extinction,7,14.742621852820008
CS+,healthy,amyg_cem,extinction,8,2.96144689249463
CS+,healthy,amyg_cem,extinction,9,20.836771101517872
CS+,healthy,amyg_cem,extinction,10,12.367609616829819
CS+,healthy,amyg_cem,extinction,12,35.67013730768624
CS+,healthy,amyg_cem,extinction,13,28.409891657545657
CS+,healthy,amyg_cem,extinction,14,-7.2050455817670525
CS+,healthy,amyg_cem,extinction,15,18.59237171130048
CS+,healthy,amyg_cem,extinction,16,15.086068067084696
CS+,healthy,amyg_cem,extinction,17,-5.711604907032517
CS+,healthy,amyg_cem,extinction,18,9.848983138649153
CS+,healthy,amyg_cem,extinction,19,-24.48199721702429
CS+,healthy,amyg_cem,extinction,20,2.566970387925924
CS+,healthy,amyg_cem,extinction,21,26.910637330719165
CS+,healthy,amyg_cem,extinction,23,28.371020559587674
CS+,healthy,amyg_cem,extinction,24,-15.048939570417685
CS+,healthy,amyg_cem,extinction,25,23.302704480277015
