onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
64.767,3.0,CS+,animals/dragonfly.jpg,Old,baseline,DO,H,H,1.581,memory_run-01,baseline
78.917,3.0,CS+,animals/tiger.jpg,Old,baseline,MN,M,M,2.227,memory_run-01,acquisition
255.75,3.0,CS+,animals/crow.jpg,Old,baseline,MO,H,M,2.4290000000000003,memory_run-01,acquisition
337.584,3.0,CS+,animals/pike.jpg,Old,baseline,DO,H,H,1.199,memory_run-01,acquisition
368.884,3.0,CS+,animals/flea.jpg,Old,baseline,DO,H,H,2.449,memory_run-01,acquisition
443.634,3.0,CS+,animals/prayingmantis.jpg,Old,baseline,DO,H,H,1.308,memory_run-01,acquisition
505.23400000000004,3.0,CS+,animals/ostrich.jpg,Old,baseline,DO,H,H,1.057,memory_run-01,acquisition
587.151,3.0,CS+,animals/angelfish.jpg,Old,baseline,MO,H,M,2.9530000000000003,memory_run-01,baseline
4.033,3.0,CS+,animals/caterpillarpeacockmoth.jpg,Old,baseline,DO,H,H,1.982,memory_run-02,acquisition
11.099,3.0,CS+,animals/pelican.jpg,Old,baseline,MO,H,M,1.499,memory_run-02,extinction
190.166,3.0,CS+,animals/giraffe.jpg,Old,baseline,DO,H,H,2.026,memory_run-02,acquisition
296.35,3.0,CS+,animals/boar.jpg,Old,baseline,MO,H,M,1.883,memory_run-02,baseline
304.416,3.0,CS+,animals/porcupine.jpg,Old,baseline,DO,H,H,1.974,memory_run-02,acquisition
400.51599999999996,3.0,CS+,animals/gerbil.jpg,Old,baseline,DO,H,H,1.889,memory_run-02,baseline
454.06699999999995,3.0,CS+,animals/mole.jpg,Old,baseline,DO,H,H,2.117,memory_run-02,acquisition
516.7330000000002,3.0,CS+,animals/pigeon.jpg,Old,baseline,MN,M,M,1.403,memory_run-02,baseline
12.117,3.0,CS+,animals/herculesbeetle.jpg,Old,baseline,MO,H,M,1.9169999999999998,memory_run-03,extinction
120.1,3.0,CS+,animals/waterbuffalo.jpg,Old,baseline,MN,M,M,1.3130000000000002,memory_run-03,extinction
240.40099999999998,3.0,CS+,animals/baboon.jpg,Old,baseline,MO,H,M,1.656,memory_run-03,acquisition
285.901,3.0,CS+,animals/quail.jpg,Old,baseline,DO,H,H,1.111,memory_run-03,baseline
309.151,3.0,CS+,animals/snapper.jpg,Old,baseline,MN,M,M,1.751,memory_run-03,acquisition
339.434,3.0,CS+,animals/cow.jpg,Old,baseline,,M,M,,memory_run-03,acquisition
473.751,3.0,CS+,animals/hummingbird.jpg,Old,baseline,MO,H,M,1.911,memory_run-03,baseline
497.95099999999996,3.0,CS+,animals/leopard.jpg,Old,baseline,MN,M,M,2.55,memory_run-03,acquisition
34.417,3.0,CS+,animals/baldeagle.jpg,Old,acquisition,DO,H,H,2.028,memory_run-01,acquisition
147.65,3.0,CS+,animals/shark.jpg,Old,acquisition,DN,M,M,2.576,memory_run-01,extinction
286.05,3.0,CS+,animals/duck.jpg,Old,acquisition,DO,H,H,1.855,memory_run-01,baseline
300.2,3.0,CS+,animals/palmcockatoo.jpg,Old,acquisition,MN,M,M,2.263,memory_run-01,extinction
314.35,3.0,CS+,animals/assassinbug.jpg,Old,acquisition,DO,H,H,1.464,memory_run-01,extinction
321.434,3.0,CS+,animals/ant.jpg,Old,acquisition,MO,H,M,2.31,memory_run-01,acquisition
