index,onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
3,26.267,3.0,CS+,animals/prayingmantis.jpg,Old,baseline,DO,H,H,2.765,memory_run-01,extinction
13,105.033,3.0,CS+,animals/crow.jpg,Old,baseline,MO,H,M,1.833,memory_run-01,acquisition
20,157.634,3.0,CS+,animals/pike.jpg,Old,baseline,DO,H,H,1.188,memory_run-01,acquisition
28,216.333,3.0,CS+,animals/dragonfly.jpg,Old,baseline,DO,H,H,1.408,memory_run-01,acquisition
43,330.56699999999995,3.0,CS+,animals/tiger.jpg,Old,baseline,DO,H,H,0.8420000000000001,memory_run-01,baseline
50,384.1,3.0,CS+,animals/angelfish.jpg,Old,baseline,DN,M,M,1.5759999999999998,memory_run-01,acquisition
70,534.617,3.0,CS+,animals/ostrich.jpg,Old,baseline,DO,H,H,0.8109999999999999,memory_run-01,acquisition
79,602.284,3.0,CS+,animals/flea.jpg,Old,baseline,DO,H,H,1.429,memory_run-01,extinction
81,12.1,3.0,CS+,animals/giraffe.jpg,Old,baseline,DO,H,H,1.46,memory_run-02,baseline
93,104.2,3.0,CS+,animals/pigeon.jpg,Old,baseline,DO,H,H,1.29,memory_run-02,baseline
102,171.933,3.0,CS+,animals/caterpillarpeacockmoth.jpg,Old,baseline,DO,H,H,0.855,memory_run-02,acquisition
110,231.667,3.0,CS+,animals/boar.jpg,Old,baseline,DO,H,H,0.6809999999999999,memory_run-02,baseline
129,376.133,3.0,CS+,animals/mole.jpg,Old,baseline,DO,H,H,1.781,memory_run-02,acquisition
131,392.283,3.0,CS+,animals/pelican.jpg,Old,baseline,MO,H,M,1.481,memory_run-02,extinction
148,520.633,3.0,CS+,animals/porcupine.jpg,Old,baseline,DO,H,H,1.872,memory_run-02,acquisition
151,543.883,3.0,CS+,animals/gerbil.jpg,Old,baseline,DO,H,H,0.7809999999999999,memory_run-02,baseline
169,72.867,3.0,CS+,animals/snapper.jpg,Old,baseline,DO,H,H,1.548,memory_run-03,baseline
175,118.4,3.0,CS+,animals/baboon.jpg,Old,baseline,DO,H,H,0.628,memory_run-03,acquisition
181,165.917,3.0,CS+,animals/hummingbird.jpg,Old,baseline,DO,H,H,0.78,memory_run-03,acquisition
193,257.0,3.0,CS+,animals/quail.jpg,Old,baseline,DO,H,H,0.968,memory_run-03,baseline
207,364.267,3.0,CS+,animals/waterbuffalo.jpg,Old,baseline,DO,H,H,0.728,memory_run-03,baseline
210,385.517,3.0,CS+,animals/herculesbeetle.jpg,Old,baseline,DO,H,H,0.767,memory_run-03,extinction
221,467.484,3.0,CS+,animals/cow.jpg,Old,baseline,DO,H,H,0.954,memory_run-03,baseline
230,535.3340000000002,3.0,CS+,animals/leopard.jpg,Old,baseline,DO,H,H,0.843,memory_run-03,baseline
7,56.567,3.0,CS+,animals/assassinbug.jpg,Old,acquisition,MN,M,M,1.595,memory_run-01,baseline
14,112.117,3.0,CS+,animals/duck.jpg,Old,acquisition,MO,H,M,2.072,memory_run-01,baseline
30,231.5,3.0,CS+,animals/ant.jpg,Old,acquisition,MN,M,M,1.72,memory_run-01,acquisition
38,292.1670000000001,3.0,CS+,animals/shark.jpg,Old,acquisition,DO,H,H,1.75,memory_run-01,baseline
46,352.784,3.0,CS+,animals/palmcockatoo.jpg,Old,acquisition,MO,H,M,1.857,memory_run-01,acquisition
56,429.55,3.0,CS+,animals/catfish.jpg,Old,acquisition,DO,H,H,1.992,memory_run-01,baseline
60,458.85,3.0,CS+,animals/baldeagle.jpg,Old,acquisition,DO,H,H,1.093,memory_run-01,baseline
65,497.25,3.0,CS+,animals/snail.jpg,Old,acquisition,DO,H,H,1.74,memory_run-01,acquisition
90,80.916,3.0,CS+,animals/sheep.jpg,Old,acquisition,MO,H,M,1.404,memory_run-02,extinction
98,142.616,3.0,CS+,animals/mahimahi.jpg,Old,acquisition,DO,H,H,0.879,memory_run-02,acquisition
111,239.733,3.0,CS+,animals/herring.jpg,Old,acquisition,DO,H,H,0.6779999999999999,memory_run-02,baseline
113,255.883,3.0,CS+,animals/mink.jpg,Old,acquisition,DO,H,H,0.743,memory_run-02,baseline
120,311.433,3.0,CS+,animals/mouse.jpg,Old,acquisition,DO,H,H,0.718,memory_run-02,baseline
139,451.883,3.0,CS+,animals/firebug.jpg,Old,acquisition,DO,H,H,1.01,memory_run-02,baseline
147,512.567,3.0,CS+,animals/camel.jpg,Old,acquisition,MO,H,M,1.928,memory_run-02,baseline
156,581.284,3.0,CS+,animals/dramaderry.jpg,Old,acquisition,MN,M,M,1.715,memory_run-02,acquisition
168,65.767,3.0,CS+,animals/chipmunk.jpg,Old,acquisition,DO,H,H,0.919,memory_run-03,baseline
173,103.234,3.0,CS+,animals/turkey.jpg,Old,acquisition,DO,H,H,0.914,memory_run-03,baseline
190,234.75,3.0,CS+,animals/anteater.jpg,Old,acquisition,DO,H,H,2.066,memory_run-03,baseline
195,272.2,3.0,CS+,animals/rabbit.jpg,Old,acquisition,DO,H,H,0.755,memory_run-03,baseline
200,309.617,3.0,CS+,animals/seal.jpg,Old,acquisition,MO,H,M,1.378,memory_run-03,baseline
216,430.05,3.0,CS+,animals/partridge.jpg,Old,acquisition,MO,H,M,1.433,memory_run-03,acquisition
226,505.951,3.0,CS+,animals/brown_bear.jpg,Old,acquisition,DO,H,H,0.6409999999999999,memory_run-03,baseline
233,557.634,3.0,CS+,animals/carp.jpg,Old,acquisition,DO,H,H,0.989,memory_run-03,acquisition
12,96.967,3.0,CS+,animals/llama.jpg,Old,extinction,DO,H,H,1.763,memory_run-01,baseline
19,149.534,3.0,CS+,animals/skunk.jpg,Old,extinction,MO,H,M,1.753,memory_run-01,acquisition
23,179.9,3.0,CS+,animals/elephantafrican.jpg,Old,extinction,MO,H,M,2.228,memory_run-01,baseline
25,194.083,3.0,CS+,animals/aardvark.jpg,Old,extinction,,M,M,,memory_run-01,baseline
54,414.417,3.0,CS+,animals/reindeer.jpg,Old,extinction,MO,H,M,1.662,memory_run-01,acquisition
58,443.717,3.0,CS+,animals/rhino.jpg,Old,extinction,DO,H,H,0.883,memory_run-01,baseline
64,489.167,3.0,CS+,animals/zebra.jpg,Old,extinction,DO,H,H,1.492,memory_run-01,extinction
68,520.467,3.0,CS+,animals/finch.jpg,Old,extinction,MO,H,M,2.045,memory_run-01,acquisition
83,27.3,3.0,CS+,animals/caterpillarhawkmoth.jpg,Old,extinction,MN,M,M,1.22,memory_run-02,extinction
87,58.65,3.0,CS+,animals/shrimp.jpg,Old,extinction,MO,H,M,1.74,memory_run-02,acquisition
108,216.467,3.0,CS+,animals/goldfish.jpg,Old,extinction,DO,H,H,0.8170000000000001,memory_run-02,acquisition
114,263.967,3.0,CS+,animals/hyena.jpg,Old,extinction,DO,H,H,1.686,memory_run-02,baseline
127,361.967,3.0,CS+,animals/flamingo.jpg,Old,extinction,MO,H,M,1.543,memory_run-02,baseline
130,384.2,3.0,CS+,animals/horse.jpg,Old,extinction,DO,H,H,0.818,memory_run-02,baseline
141,466.05,3.0,CS+,animals/marmot.jpg,Old,extinction,DO,H,H,1.225,memory_run-02,baseline
157,588.35,3.0,CS+,animals/cricket.jpg,Old,extinction,MO,H,M,1.094,memory_run-02,baseline
161,11.117,3.0,CS+,animals/cat.jpg,Old,extinction,DO,H,H,0.954,memory_run-03,acquisition
179,149.75,3.0,CS+,animals/racoon.jpg,Old,extinction,DO,H,H,0.797,memory_run-03,baseline
182,173.0,3.0,CS+,animals/salmon.jpg,Old,extinction,DO,H,H,0.635,memory_run-03,baseline
188,219.567,3.0,CS+,animals/canary.jpg,Old,extinction,DO,H,H,1.129,memory_run-03,baseline
201,317.7,3.0,CS+,animals/cranebug.jpg,Old,extinction,DO,H,H,0.951,memory_run-03,acquisition
209,378.434,3.0,CS+,animals/halibut.jpg,Old,extinction,DO,H,H,0.6629999999999999,memory_run-03,acquisition
234,564.734,3.0,CS+,animals/starfish.jpg,Old,extinction,MO,H,M,0.989,memory_run-03,baseline
237,588.034,3.0,CS+,animals/perch.jpg,Old,extinction,MO,H,M,1.3969999999999998,memory_run-03,baseline
0,4.033,3.0,CS+,animals/monkey.jpg,New,foil,,CR,CR,,memory_run-01,
1,12.1,3.0,CS+,animals/stickinsect.jpg,New,foil,DO,FA,FA,1.471,memory_run-01,
11,88.867,3.0,CS+,animals/hermitcrab.jpg,New,foil,MN,CR,CR,2.487,memory_run-01,
18,141.434,3.0,CS+,animals/bullfrog.jpg,New,foil,DO,FA,FA,1.286,memory_run-01,
22,171.834,3.0,CS+,animals/koala.jpg,New,foil,MO,FA,CR,1.414,memory_run-01,
29,223.43400000000003,3.0,CS+,animals/octopus.jpg,New,foil,,CR,CR,,memory_run-01,
35,269.934,3.0,CS+,animals/seaslug.jpg,New,foil,DO,FA,FA,2.962,memory_run-01,
37,284.084,3.0,CS+,animals/waterdragon.jpg,New,foil,MO,FA,CR,1.406,memory_run-01,
42,323.5,3.0,CS+,animals/crane.jpg,New,foil,DO,FA,FA,1.199,memory_run-01,
47,359.867,3.0,CS+,animals/flounder.jpg,New,foil,MO,FA,CR,2.543,memory_run-01,
51,391.167,3.0,CS+,animals/balloonfish.jpg,New,foil,DN,CR,CR,1.203,memory_run-01,
57,436.634,3.0,CS+,animals/highlandcow.jpg,New,foil,DO,FA,FA,1.058,memory_run-01,
67,512.4,3.0,CS+,animals/tortoise.jpg,New,foil,MO,FA,CR,1.946,memory_run-01,
74,564.901,3.0,CS+,animals/woodlouse.jpg,New,foil,MO,FA,CR,1.989,memory_run-01,
76,579.0509999999998,3.0,CS+,animals/panda.jpg,New,foil,DO,FA,FA,0.914,memory_run-01,
78,594.2,3.0,CS+,animals/ladybug.jpg,New,foil,MO,FA,CR,1.421,memory_run-01,
80,4.033,3.0,CS+,animals/crab.jpg,New,foil,MO,FA,CR,1.866,memory_run-02,
