onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
4.033,3.0,CS+,animals/flea.jpg,Old,baseline,DO,H,H,1.973,memory_run-01,acquisition
55.8,3.0,CS+,animals/dragonfly.jpg,Old,baseline,DO,H,H,2.004,memory_run-01,acquisition
200.967,3.0,CS+,animals/angelfish.jpg,Old,baseline,MO,H,M,1.547,memory_run-01,extinction
275.084,3.0,CS+,animals/prayingmantis.jpg,Old,baseline,DO,H,H,1.504,memory_run-01,acquisition
427.284,3.0,CS+,animals/pike.jpg,Old,baseline,MO,H,M,1.5530000000000002,memory_run-01,acquisition
443.534,3.0,CS+,animals/crow.jpg,Old,baseline,DO,H,H,0.98,memory_run-01,acquisition
458.75,3.0,CS+,animals/ostrich.jpg,Old,baseline,MN,M,M,2.42,memory_run-01,baseline
465.86699999999996,3.0,CS+,animals/tiger.jpg,Old,baseline,MO,H,M,1.318,memory_run-01,acquisition
103.566,3.0,CS+,animals/caterpillarpeacockmoth.jpg,Old,baseline,DO,H,H,1.571,memory_run-02,acquisition
124.916,3.0,CS+,animals/mole.jpg,Old,baseline,DO,H,H,2.124,memory_run-02,acquisition
224.46599999999998,3.0,CS+,animals/boar.jpg,Old,baseline,DO,H,H,1.249,memory_run-02,acquisition
267.133,3.0,CS+,animals/gerbil.jpg,Old,baseline,MO,H,M,1.3259999999999998,memory_run-02,acquisition
337.1330000000001,3.0,CS+,animals/porcupine.jpg,Old,baseline,DO,H,H,0.9470000000000001,memory_run-02,acquisition
361.466,3.0,CS+,animals/pelican.jpg,Old,baseline,MN,M,M,1.8769999999999998,memory_run-02,baseline
450.81699999999995,3.0,CS+,animals/giraffe.jpg,Old,baseline,MN,M,M,1.7790000000000001,memory_run-02,extinction
458.93300000000005,3.0,CS+,animals/pigeon.jpg,Old,baseline,MO,H,M,1.84,memory_run-02,extinction
75.083,3.0,CS+,animals/herculesbeetle.jpg,Old,baseline,DO,H,H,1.6540000000000001,memory_run-03,acquisition
117.68299999999999,3.0,CS+,animals/quail.jpg,Old,baseline,MN,M,M,1.301,memory_run-03,baseline
174.56599999999997,3.0,CS+,animals/snapper.jpg,Old,baseline,MN,M,M,1.5430000000000001,memory_run-03,baseline
224.3,3.0,CS+,animals/hummingbird.jpg,Old,baseline,MO,H,M,1.122,memory_run-03,extinction
288.25,3.0,CS+,animals/waterbuffalo.jpg,Old,baseline,MN,M,M,1.643,memory_run-03,baseline
353.15,3.0,CS+,animals/baboon.jpg,Old,baseline,MO,H,M,1.4380000000000002,memory_run-03,extinction
450.43300000000005,3.0,CS+,animals/leopard.jpg,Old,baseline,DO,H,H,1.324,memory_run-03,acquisition
458.533,3.0,CS+,animals/cow.jpg,Old,baseline,DO,H,H,1.071,memory_run-03,acquisition
