index,onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
6,50.484,3.0,CS+,animals/hyena.jpg,Old,baseline,DO,H,H,1.864,memory_run-01,acquisition
11,89.884,3.0,CS+,animals/flamingo.jpg,Old,baseline,DO,H,H,0.957,memory_run-01,acquisition
20,158.634,3.0,CS+,animals/marmot.jpg,Old,baseline,MO,H,M,2.2840000000000003,memory_run-01,extinction
36,279.901,3.0,CS+,animals/caterpillarhawkmoth.jpg,Old,baseline,DO,H,H,1.463,memory_run-01,acquisition
40,309.251,3.0,CS+,animals/cricket.jpg,Old,baseline,MO,H,M,2.434,memory_run-01,extinction
42,323.401,3.0,CS+,animals/horse.jpg,Old,baseline,DO,H,H,2.732,memory_run-01,acquisition
60,457.867,3.0,CS+,animals/goldfish.jpg,Old,baseline,DO,H,H,1.219,memory_run-01,acquisition
63,481.101,3.0,CS+,animals/shrimp.jpg,Old,baseline,MO,H,M,1.993,memory_run-01,acquisition
83,25.334,3.0,CS+,animals/canary.jpg,Old,baseline,MO,H,M,1.928,memory_run-02,acquisition
97,124.501,3.0,CS+,animals/cat.jpg,Old,baseline,DN,M,M,2.893,memory_run-02,acquisition
113,237.901,3.0,CS+,animals/perch.jpg,Old,baseline,MO,H,M,1.5530000000000002,memory_run-02,extinction
115,252.101,3.0,CS+,animals/halibut.jpg,Old,baseline,MN,M,M,1.773,memory_run-02,acquisition
120,287.4840000000001,3.0,CS+,animals/cranebug.jpg,Old,baseline,DO,H,H,1.103,memory_run-02,acquisition
130,368.267,3.0,CS+,animals/starfish.jpg,Old,baseline,DO,H,H,1.519,memory_run-02,acquisition
144,481.434,3.0,CS+,animals/salmon.jpg,Old,baseline,MN,M,M,2.03,memory_run-02,extinction
147,505.634,3.0,CS+,animals/racoon.jpg,Old,baseline,DO,H,H,1.774,memory_run-02,acquisition
161,11.117,3.0,CS+,animals/elephantafrican.jpg,Old,baseline,DO,H,H,1.918,memory_run-03,acquisition
167,53.667,3.0,CS+,animals/finch.jpg,Old,baseline,MN,M,M,2.13,memory_run-03,acquisition
182,159.833,3.0,CS+,animals/zebra.jpg,Old,baseline,MO,H,M,1.5930000000000002,memory_run-03,acquisition
191,223.634,3.0,CS+,animals/aardvark.jpg,Old,baseline,MO,H,M,1.725,memory_run-03,extinction
206,335.81699999999995,3.0,CS+,animals/reindeer.jpg,Old,baseline,MO,H,M,1.263,memory_run-03,extinction
217,424.617,3.0,CS+,animals/skunk.jpg,Old,baseline,MN,M,M,1.569,memory_run-03,extinction
223,473.067,3.0,CS+,animals/rhino.jpg,Old,baseline,DO,H,H,1.318,memory_run-03,extinction
226,497.284,3.0,CS+,animals/llama.jpg,Old,baseline,DO,H,H,1.962,memory_run-03,extinction
1,11.084,3.0,CS+,animals/pelican.jpg,Old,acquisition,MO,H,M,2.317,memory_run-01,acquisition
8,65.634,3.0,CS+,animals/porcupine.jpg,Old,acquisition,DO,H,H,1.31,memory_run-01,acquisition
24,187.93400000000003,3.0,CS+,animals/mole.jpg,Old,acquisition,DO,H,H,1.487,memory_run-01,acquisition
35,272.834,3.0,CS+,animals/pigeon.jpg,Old,acquisition,DO,H,H,2.148,memory_run-01,acquisition
45,346.651,3.0,CS+,animals/giraffe.jpg,Old,acquisition,MO,H,M,1.685,memory_run-01,acquisition
54,414.384,3.0,CS+,animals/caterpillarpeacockmoth.jpg,Old,acquisition,,M,M,,memory_run-01,extinction
64,488.184,3.0,CS+,animals/boar.jpg,Old,acquisition,MO,H,M,1.581,memory_run-01,acquisition
