onset,duration,trial_type,stimulus,shock,response,response_time,recognition_memory
4.034,5.0,CS+,animals/brown_bear.jpg,CSUS,1,1.86,DO
16.2,5.0,CS-,tools/pruner.jpg,CS,2,1.07,MO
27.25,4.0,CS+,animals/seal.jpg,CS,1,0.991,DO
38.3,4.5,CS+,animals/sheep.jpg,CSUS,1,2.121,DO
48.95,5.0,CS-,tools/eraser.jpg,CS,2,1.9809999999999999,MO
59.0,4.5,CS-,tools/spoon.jpg,CS,2,1.298,DO
68.55,4.0,CS+,animals/partridge.jpg,CS,2,2.55,MO
78.6,4.0,CS-,tools/sparkplug.jpg,CS,2,1.031,MN
88.65,4.0,CS-,tools/beaker.jpg,CS,2,1.043,MN
97.7,5.0,CS+,animals/turkey.jpg,CSUS,2,1.646,DO
109.85,5.0,CS+,animals/baldeagle.jpg,CSUS,2,3.395,DO
120.0,5.0,CS-,tools/viceclamp.jpg,CS,2,2.359,MN
130.05,4.5,CS+,animals/herring.jpg,CS,1,1.713,DO
141.6,5.0,CS-,tools/measuringdevice.jpg,CS,2,0.9790000000000001,MO
153.65,4.5,CS+,animals/camel.jpg,CS,1,1.064,MO
164.2,4.0,CS-,tools/fan.jpg,CS,2,0.875,MO
175.25,5.0,CS-,tools/sander.jpg,CS,2,1.075,MO
186.3,4.5,CS+,animals/duck.jpg,CSUS,1,1.288,DO
196.95,4.5,CS-,tools/vegetablepeeler.jpg,CS,2,0.883,MN
206.5,4.5,CS+,animals/chipmunk.jpg,CSUS,1,1.797,MO
218.15,4.0,CS-,tools/measuringcups.jpg,CS,2,1.321,DN
228.2,5.0,CS+,animals/firebug.jpg,CS,2,1.291,DO
240.25,4.0,CS+,animals/mink.jpg,CS,1,1.137,MO
249.3,4.5,CS-,tools/tubeflaring.jpg,CS,2,0.804,MN
259.85,4.5,CS-,tools/benchdogs.jpg,CS,2,1.1420000000000001,MN
271.4,4.5,CS+,animals/dramaderry.jpg,CSUS,2,1.933,DO
282.05,5.0,CS-,tools/woodchipper.jpg,CS,2,0.684,MN
292.1,4.0,CS-,tools/broom.jpg,CS,2,0.609,MN
303.15,5.0,CS+,animals/assassinbug.jpg,CS,2,0.96,DO
314.2,5.0,CS+,animals/catfish.jpg,CS,2,1.229,DO
324.25,4.5,CS-,tools/ruler.jpg,CS,2,0.851,DO
335.8,4.0,CS+,animals/palmcockatoo.jpg,CSUS,2,1.71,DO
346.95,4.5,CS-,tools/mallet.jpg,CS,2,0.735,MN
357.5,5.0,CS+,animals/ant.jpg,CS,2,1.3940000000000001,MO
368.55,4.0,CS-,tools/levelmount.jpg,CS,2,0.956,MN
379.6,4.0,CS+,animals/anteater.jpg,CS,1,1.8780000000000001,MN
388.65,5.0,CS+,animals/mahimahi.jpg,CSUS,2,1.66,DO
399.8,4.0,CS-,tools/weedeater.jpg,CS,2,0.9570000000000001,MN
410.85,4.5,CS-,tools/wrench.jpg,CS,2,0.8690000000000001,MO
422.4,4.0,CS+,animals/mouse.jpg,CSUS,1,1.939,DO
431.55,4.0,CS+,animals/carp.jpg,CS,2,2.048,MO
442.6,4.5,CS-,tools/routerplane.jpg,CS,2,1.031,MN
452.15,4.5,CS+,animals/snail.jpg,CSUS,1,2.635,DO
461.8,5.0,CS-,tools/lawnmower.jpg,CS,2,1.117,MO
471.85,4.0,CS+,animals/rabbit.jpg,CS,2,3.74,DO
481.9,4.0,CS-,tools/thermometer.jpg,CS,2,0.755,DO
491.95,4.5,CS+,animals/shark.jpg,CSUS,1,1.899,DO
501.601,5.0,CS-,tools/blackboard.jpg,CS,2,1.046,MN
