onset,duration,trial_type,stimulus,shock,response,response_time,recognition_memory
4.034,4.0,CS+,tools/stove.jpg,CSUS,1,1.175,DO
13.184000000000001,4.5,CS-,animals/gerbil.jpg,CS,2,0.604,DO
22.734,4.0,CS+,tools/scissors.jpg,CS,1,0.585,DO
33.784,4.0,CS+,tools/ladder.jpg,CSUS,1,0.785,DO
44.934,5.0,CS-,animals/cow.jpg,CS,2,0.645,DO
54.983999999999995,4.5,CS-,animals/crow.jpg,CS,2,0.857,DO
66.533,5.0,CS+,tools/plunger.jpg,CS,1,1.141,MO
76.583,4.0,CS-,animals/ostrich.jpg,CS,2,1.026,DO
87.617,4.5,CS-,animals/boar.jpg,CS,1,0.9940000000000001,DO
99.167,4.0,CS+,tools/transmissionwrench.jpg,CSUS,2,1.485,DO
109.31700000000001,4.5,CS+,tools/drillbit.jpg,CSUS,2,1.7519999999999998,MN
119.96700000000001,4.5,CS-,animals/mole.jpg,CS,2,1.296,DO
131.517,4.5,CS+,tools/shoehorn.jpg,CS,1,1.433,DO
142.067,4.0,CS-,animals/quail.jpg,CS,2,1.1320000000000001,DO
151.11700000000002,4.5,CS+,tools/beadingtool.jpg,CS,1,0.875,DO
160.667,5.0,CS-,animals/flea.jpg,CS,2,0.9059999999999999,DO
171.71599999999998,4.0,CS-,animals/tiger.jpg,CS,2,1.016,DO
182.766,5.0,CS+,tools/wheelbarrow.jpg,CSUS,1,0.653,MO
193.916,5.0,CS-,animals/angelfish.jpg,CS,2,0.7090000000000001,DO
205.96599999999998,5.0,CS+,tools/weldinghelmet.jpg,CSUS,1,1.229,DO
217.11599999999999,4.0,CS-,animals/waterbuffalo.jpg,CS,2,0.6459999999999999,DO
226.166,4.5,CS+,tools/reflexhammer.jpg,CS,2,0.993,MO
236.71599999999998,4.0,CS+,tools/cheesegrater.jpg,CS,2,0.843,DO
247.766,5.0,CS-,animals/caterpillarpeacockmoth.jpg,CS,2,0.6609999999999999,MO
258.816,4.5,CS-,animals/dragonfly.jpg,CS,2,0.563,DO
269.349,4.5,CS+,tools/rake.jpg,CSUS,1,0.737,DO
280.999,4.5,CS-,animals/pike.jpg,CS,2,0.642,MO
291.54900000000004,4.5,CS-,animals/giraffe.jpg,CS,2,0.5760000000000001,DO
303.099,4.5,CS+,tools/pliers.jpg,CS,2,0.787,DO
312.632,5.0,CS+,tools/plow.jpg,CS,1,0.856,DO
322.666,4.0,CS-,animals/baboon.jpg,CS,2,0.779,MN
332.716,5.0,CS+,tools/ropeandpulley.jpg,CSUS,1,1.0490000000000002,DO
342.849,4.0,CS-,animals/pigeon.jpg,CS,2,0.66,DO
353.899,4.0,CS+,tools/gong.jpg,CS,2,0.972,DO
363.949,5.0,CS-,animals/porcupine.jpg,CS,2,0.602,DO
374.999,4.0,CS+,tools/paintroller.jpg,CS,2,0.794,DO
384.04900000000004,4.0,CS+,tools/rollingpin.jpg,CSUS,2,0.733,MN
394.199,4.0,CS-,animals/hummingbird.jpg,CS,2,0.6940000000000001,DO
403.249,5.0,CS-,animals/leopard.jpg,CS,2,0.637,DO
413.282,5.0,CS+,tools/chisel.jpg,CSUS,2,0.8420000000000001,DO
423.43199999999996,4.5,CS+,tools/electricbreaker.jpg,CS,1,1.368,MO
432.98199999999997,5.0,CS-,animals/herculesbeetle.jpg,CS,2,0.677,DN
444.032,4.5,CS+,tools/hairdryer.jpg,CSUS,2,1.254,DO
455.68199999999996,4.0,CS-,animals/snapper.jpg,CS,2,0.809,MO
466.73199999999997,5.0,CS+,tools/gardenhose.jpg,CS,1,2.15,DO
478.782,5.0,CS-,animals/pelican.jpg,CS,2,0.9159999999999999,DO
490.832,5.0,CS+,tools/faxmachine.jpg,CSUS,1,1.084,DO
501.98199999999997,4.5,CS-,animals/prayingmantis.jpg,CS,2,0.635,DO
