onset,duration,trial_type,stimulus,shock,response,response_time,recognition_memory
4.016,4.5,CS+,tools/rollingpin.jpg,CSUS,1,2.658,DO
13.667,4.5,CS-,animals/snapper.jpg,CS,2,1.194,DN
25.2,4.0,CS+,tools/paintroller.jpg,CS,2,1.315,DO
34.233000000000004,5.0,CS+,tools/wheelbarrow.jpg,CSUS,1,1.919,DO
45.383,4.0,CS-,animals/tiger.jpg,CS,1,1.557,DO
54.433,4.5,CS-,animals/pike.jpg,CS,2,2.123,DO
64.983,5.0,CS+,tools/electricbreaker.jpg,CS,1,0.92,DO
75.033,4.5,CS-,animals/herculesbeetle.jpg,CS,1,1.685,DO
84.583,5.0,CS-,animals/hummingbird.jpg,CS,2,1.3230000000000002,DO
95.633,4.0,CS+,tools/shoehorn.jpg,CSUS,1,1.214,DN
104.78299999999999,5.0,CS+,tools/ropeandpulley.jpg,CSUS,1,1.285,DO
116.93299999999999,4.0,CS-,animals/flea.jpg,CS,1,1.663,DO
127.98299999999999,5.0,CS+,tools/stove.jpg,CS,2,1.3519999999999999,DO
139.033,4.5,CS-,animals/gerbil.jpg,CS,2,1.162,DO
150.567,4.5,CS+,tools/faxmachine.jpg,CS,2,1.49,DO
160.11700000000002,5.0,CS-,animals/leopard.jpg,CS,1,1.77,DO
171.167,4.0,CS-,animals/pelican.jpg,CS,2,2.3040000000000003,DO
181.217,4.5,CS+,tools/ladder.jpg,CSUS,2,1.653,DO
190.86700000000002,4.0,CS-,animals/mole.jpg,CS,2,1.4080000000000001,DN
201.917,5.0,CS+,tools/chisel.jpg,CSUS,2,1.416,DO
213.067,5.0,CS-,animals/pigeon.jpg,CS,2,0.982,DO
224.11700000000002,4.5,CS+,tools/hairdryer.jpg,CS,1,1.985,DO
233.65,4.5,CS+,tools/plunger.jpg,CS,2,0.9840000000000001,DO
244.2,5.0,CS-,animals/waterbuffalo.jpg,CS,2,1.666,DO
256.25,4.0,CS-,animals/ostrich.jpg,CS,1,1.735,DO
267.3,4.0,CS+,tools/gardenhose.jpg,CSUS,2,1.1340000000000001,DO
277.45,5.0,CS-,animals/baboon.jpg,CS,2,1.973,DO
288.5,5.0,CS-,animals/angelfish.jpg,CS,2,1.236,DO
298.55,4.0,CS+,tools/drillbit.jpg,CS,1,0.914,DO
308.6,4.5,CS+,tools/reflexhammer.jpg,CS,2,1.714,DO
318.15,4.5,CS-,animals/caterpillarpeacockmoth.jpg,CS,1,1.074,DO
329.7,4.0,CS+,tools/scissors.jpg,CSUS,1,1.082,DO
338.85,4.0,CS-,animals/porcupine.jpg,CS,1,0.905,DO
349.9,4.5,CS+,tools/pliers.jpg,CS,1,1.183,DO
360.45,4.0,CS-,animals/giraffe.jpg,CS,2,2.063,DO
371.5,4.0,CS+,tools/rake.jpg,CS,2,3.048,DO
382.55,4.0,CS+,tools/gong.jpg,CSUS,2,2.468,DO
392.7,4.5,CS-,animals/crow.jpg,CS,2,1.706,DO
404.25,5.0,CS-,animals/boar.jpg,CS,1,0.9740000000000001,DO
415.301,5.0,CS+,tools/plow.jpg,CSUS,2,1.569,DO
425.45099999999996,4.0,CS+,tools/beadingtool.jpg,CS,1,1.817,DO
434.48400000000004,4.5,CS-,animals/dragonfly.jpg,CS,2,1.32,DO
446.034,4.5,CS+,tools/weldinghelmet.jpg,CSUS,1,1.411,DO
455.684,5.0,CS-,animals/cow.jpg,CS,2,1.092,DO
467.73400000000004,5.0,CS+,tools/cheesegrater.jpg,CS,1,1.121,DO
479.784,4.5,CS-,animals/prayingmantis.jpg,CS,1,1.013,DO
490.334,5.0,CS+,tools/transmissionwrench.jpg,CSUS,2,2.6639999999999997,DO
500.48400000000004,4.0,CS-,animals/quail.jpg,CS,2,1.136,DO
