onset,duration,trial_type,stimulus,shock,response,response_time,recognition_memory
4.0169999999999995,5.0,CS+,animals/duck.jpg,CSUS,2,1.5430000000000001,DO
16.167,4.0,CS-,tools/sparkplug.jpg,CS,2,1.902,MN
27.217,5.0,CS+,animals/rabbit.jpg,CS,1,0.932,MO
38.266999999999996,4.5,CS+,animals/herring.jpg,CSUS,1,1.673,DO
48.917,4.5,CS-,tools/routerplane.jpg,CS,1,2.4619999999999997,DN
58.45,5.0,CS-,tools/lawnmower.jpg,CS,2,1.195,MO
68.5,5.0,CS+,animals/sheep.jpg,CS,2,2.255,MO
79.55,5.0,CS-,tools/blackboard.jpg,CS,1,1.101,MN
89.6,4.0,CS-,tools/weedeater.jpg,CS,1,1.84,MO
99.65100000000001,4.0,CS+,animals/ant.jpg,CSUS,1,2.0909999999999997,MO
110.801,5.0,CS+,animals/turkey.jpg,CSUS,2,3.227,MO
120.95100000000001,4.5,CS-,tools/levelmount.jpg,CS,2,2.772,MN
131.501,4.0,CS+,animals/carp.jpg,CS,1,2.117,MN
140.55100000000002,4.0,CS-,tools/ruler.jpg,CS,2,3.0869999999999997,DO
151.601,4.5,CS+,animals/assassinbug.jpg,CS,1,1.882,DO
163.151,5.0,CS-,tools/woodchipper.jpg,CS,2,2.965,MN
175.18400000000003,5.0,CS-,tools/eraser.jpg,CS,1,2.217,DO
186.217,4.0,CS+,animals/seal.jpg,CSUS,1,2.522,MN
196.36700000000002,5.0,CS-,tools/fan.jpg,CS,2,2.6439999999999997,MO
208.417,4.0,CS+,animals/brown_bear.jpg,CSUS,2,1.649,MN
217.551,4.5,CS-,tools/beaker.jpg,CS,2,2.0540000000000003,MO
229.101,4.0,CS+,animals/mahimahi.jpg,CS,1,2.273,MO
239.13400000000001,4.5,CS+,animals/anteater.jpg,CS,1,2.343,MO
250.68400000000003,4.5,CS-,tools/measuringcups.jpg,CS,2,2.28,DO
262.217,4.5,CS-,tools/measuringdevice.jpg,CS,1,2.306,MO
272.751,4.5,CS+,animals/baldeagle.jpg,CSUS,1,1.9680000000000002,DO
284.401,5.0,CS-,tools/spoon.jpg,CS,2,2.878,MO
295.434,4.0,CS-,tools/mallet.jpg,CS,2,1.972,MO
305.48400000000004,4.5,CS+,animals/snail.jpg,CS,1,2.224,MO
315.034,4.0,CS+,animals/partridge.jpg,CS,2,2.3930000000000002,MN
325.084,4.5,CS-,tools/thermometer.jpg,CS,2,3.036,
336.634,5.0,CS+,animals/firebug.jpg,CSUS,1,1.238,DO
347.784,4.0,CS-,tools/pruner.jpg,CS,2,1.8159999999999998,MO
357.834,5.0,CS+,animals/camel.jpg,CS,2,2.907,DO
367.884,5.0,CS-,tools/wrench.jpg,CS,2,2.752,
377.917,4.5,CS+,animals/mink.jpg,CS,1,3.409,MO
388.45099999999996,4.0,CS+,animals/palmcockatoo.jpg,CSUS,1,1.97,MN
397.601,4.0,CS-,tools/vegetablepeeler.jpg,CS,2,3.035,MO
406.634,4.0,CS-,tools/tubeflaring.jpg,CS,2,1.641,DN
415.668,4.0,CS+,animals/mouse.jpg,CSUS,2,1.43,MO
426.81699999999995,4.5,CS+,animals/catfish.jpg,CS,1,2.614,MO
436.351,4.5,CS-,tools/sander.jpg,CS,2,1.61,MN
446.901,4.5,CS+,animals/chipmunk.jpg,CSUS,2,1.9669999999999999,MN
458.551,5.0,CS-,tools/benchdogs.jpg,CS,2,3.31,MN
468.601,5.0,CS+,animals/dramaderry.jpg,CS,2,2.133,MO
478.651,4.0,CS-,tools/viceclamp.jpg,CS,2,1.9869999999999999,MN
489.684,5.0,CS+,animals/shark.jpg,CSUS,1,0.7609999999999999,DN
501.834,4.5,CS-,tools/broom.jpg,CS,2,1.435,MN
