onset,duration,trial_type,stimulus,shock,response,response_time,recognition_memory
4.033,4.0,CS+,animals/leopard.jpg,CSUS,1.0,1.137,DO
13.2,5.0,CS-,tools/plow.jpg,CS,2.0,1.041,MO
24.266,5.0,CS+,animals/quail.jpg,CS,2.0,1.4480000000000002,DN
36.333,4.5,CS+,animals/tiger.jpg,CSUS,1.0,0.802,DO
47.0,5.0,CS-,tools/paintroller.jpg,CS,2.0,0.965,MO
59.066,4.5,CS-,tools/plunger.jpg,CS,2.0,1.084,DO
68.633,4.5,CS+,animals/giraffe.jpg,CS,2.0,1.177,MO
80.2,4.5,CS-,tools/drillbit.jpg,CS,2.0,1.126,DO
89.766,4.5,CS-,tools/gardenhose.jpg,CS,2.0,0.853,DO
100.333,5.0,CS+,animals/gerbil.jpg,CSUS,2.0,0.8170000000000001,DO
112.5,4.0,CS+,animals/baboon.jpg,CSUS,2.0,1.3,DN
123.666,5.0,CS-,tools/transmissionwrench.jpg,CS,2.0,0.838,MN
134.733,5.0,CS+,animals/caterpillarpeacockmoth.jpg,CS,2.0,1.08,DO
144.8,5.0,CS-,tools/wheelbarrow.jpg,CS,2.0,0.763,DN
154.866,4.0,CS+,animals/porcupine.jpg,CS,1.0,1.117,DO
163.933,4.0,CS-,tools/weldinghelmet.jpg,CS,2.0,0.895,MO
174.0,4.0,CS-,tools/stove.jpg,CS,2.0,0.85,DO
183.067,4.0,CS+,animals/prayingmantis.jpg,CSUS,2.0,0.8,DO
194.233,4.5,CS-,tools/faxmachine.jpg,CS,2.0,1.3419999999999999,DN
203.8,5.0,CS+,animals/dragonfly.jpg,CSUS,2.0,0.961,DO
214.967,4.5,CS-,tools/electricbreaker.jpg,CS,2.0,2.378,DO
225.533,4.5,CS+,animals/pigeon.jpg,CS,2.0,1.435,MN
237.1,4.5,CS+,animals/hummingbird.jpg,CS,2.0,0.9329999999999999,DN
247.667,4.5,CS-,tools/reflexhammer.jpg,CS,2.0,0.877,DO
259.233,4.0,CS-,tools/shoehorn.jpg,CS,2.0,0.51,MO
268.3,5.0,CS+,animals/boar.jpg,CSUS,2.0,1.268,MO
280.467,4.0,CS-,tools/rake.jpg,CS,2.0,1.055,DN
289.533,4.0,CS-,tools/beadingtool.jpg,CS,2.0,1.475,DO
299.6,4.5,CS+,animals/ostrich.jpg,CS,1.0,1.308,MN
309.16700000000003,4.5,CS+,animals/mole.jpg,CS,2.0,2.53,MN
318.733,4.5,CS-,tools/gong.jpg,CS,2.0,1.099,DO
328.3,5.0,CS+,animals/herculesbeetle.jpg,CSUS,1.0,1.0759999999999998,DO
340.467,5.0,CS-,tools/hairdryer.jpg,CS,2.0,0.753,DN
350.533,4.0,CS+,animals/angelfish.jpg,CS,2.0,0.867,DO
361.6,4.0,CS-,tools/cheesegrater.jpg,CS,2.0,0.831,DO
371.667,5.0,CS+,animals/snapper.jpg,CS,2.0,0.861,MO
383.75,4.5,CS+,animals/crow.jpg,CSUS,2.0,2.21,DN
395.417,5.0,CS-,tools/ropeandpulley.jpg,CS,2.0,0.855,DO
405.48400000000004,5.0,CS-,tools/ladder.jpg,CS,2.0,2.22,DN
416.55,4.0,CS+,animals/waterbuffalo.jpg,CSUS,2.0,1.916,MN
426.717,4.0,CS+,animals/pike.jpg,CS,2.0,0.664,DN
436.784,4.0,CS-,tools/chisel.jpg,CS,2.0,0.584,MN
446.85,4.5,CS+,animals/cow.jpg,CSUS,2.0,0.932,MO
457.517,4.0,CS-,tools/pliers.jpg,CS,2.0,0.72,MN
467.584,4.0,CS+,animals/flea.jpg,CS,1.0,1.225,DO
478.65,4.5,CS-,tools/rollingpin.jpg,CS,2.0,0.789,DN
488.217,5.0,CS+,animals/pelican.jpg,CSUS,2.0,0.972,DN
500.384,5.0,CS-,tools/scissors.jpg,CS,,0.0,DN
