index,onset,duration,trial_type,stimulus,memory_condition,encode_phase,response,low_confidence_accuracy,high_confidence_accuracy,response_time,phase,source_memory
2,19.167,3.0,CS+,tools/measuringtape.jpg,Old,baseline,DO,H,H,1.746,memory_run-01,acquisition
4,34.3,3.0,CS+,tools/microwave.jpg,Old,baseline,DO,H,H,1.208,memory_run-01,acquisition
23,178.667,3.0,CS+,tools/solderingtorch.jpg,Old,baseline,DO,H,H,2.555,memory_run-01,acquisition
36,275.65,3.0,CS+,tools/edger.jpg,Old,baseline,DO,H,H,2.261,memory_run-01,acquisition
45,343.25,3.0,CS+,tools/camera.jpg,Old,baseline,DO,H,H,0.928,memory_run-01,acquisition
58,443.267,3.0,CS+,tools/jumpercables.jpg,Old,baseline,DO,H,H,0.948,memory_run-01,acquisition
61,465.467,3.0,CS+,tools/workbench.jpg,Old,baseline,DO,H,H,0.938,memory_run-01,acquisition
72,548.351,3.0,CS+,tools/monkeywrench.jpg,Old,baseline,DO,H,H,1.136,memory_run-01,acquisition
95,110.217,3.0,CS+,tools/airpump.jpg,Old,baseline,DO,H,H,1.285,memory_run-02,acquisition
97,124.417,3.0,CS+,tools/duffelbag.jpg,Old,baseline,DO,H,H,1.41,memory_run-02,acquisition
105,180.983,3.0,CS+,tools/hammer.jpg,Old,baseline,DO,H,H,1.814,memory_run-02,acquisition
114,244.6,3.0,CS+,tools/squeegee.jpg,Old,baseline,DO,H,H,1.101,memory_run-02,extinction
125,327.383,3.0,CS+,tools/toaster.jpg,Old,baseline,MN,M,M,2.415,memory_run-02,extinction
136,416.18300000000005,3.0,CS+,tools/videogamecontroller.jpg,Old,baseline,DO,H,H,1.405,memory_run-02,acquisition
141,456.583,3.0,CS+,tools/chainsaw.jpg,Old,baseline,DO,H,H,1.237,memory_run-02,baseline
152,545.484,3.0,CS+,tools/blower.jpg,Old,baseline,DN,M,M,1.442,memory_run-02,extinction
172,88.98299999999998,3.0,CS+,tools/bucket.jpg,Old,baseline,MO,H,M,1.856,memory_run-03,baseline
177,124.383,3.0,CS+,tools/screwdriver.jpg,Old,baseline,DO,H,H,1.267,memory_run-03,acquisition
181,152.717,3.0,CS+,tools/extensioncord.jpg,Old,baseline,MO,H,M,1.757,memory_run-03,acquisition
193,237.783,3.0,CS+,tools/carpetblower.jpg,Old,baseline,DO,H,H,1.347,memory_run-03,extinction
208,351.917,3.0,CS+,tools/treadmill.jpg,Old,baseline,DO,H,H,0.843,memory_run-03,acquisition
213,392.317,3.0,CS+,tools/padlock.jpg,Old,baseline,DO,H,H,0.926,memory_run-03,acquisition
220,448.833,3.0,CS+,tools/campingstove.jpg,Old,baseline,DO,H,H,1.948,memory_run-03,extinction
228,513.467,3.0,CS+,tools/paintbrush.jpg,Old,baseline,DO,H,H,0.991,memory_run-03,acquisition
7,57.5,3.0,CS+,tools/gardenhose.jpg,Old,acquisition,DO,H,H,1.181,memory_run-01,acquisition
10,79.717,3.0,CS+,tools/rollingpin.jpg,Old,acquisition,DO,H,H,1.188,memory_run-01,acquisition
29,224.167,3.0,CS+,tools/hairdryer.jpg,Old,acquisition,DO,H,H,1.152,memory_run-01,acquisition
31,238.3,3.0,CS+,tools/scissors.jpg,Old,acquisition,DO,H,H,1.796,memory_run-01,baseline
42,322.05,3.0,CS+,tools/faxmachine.jpg,Old,acquisition,DO,H,H,1.695,memory_run-01,acquisition
48,367.484,3.0,CS+,tools/ropeandpulley.jpg,Old,acquisition,DO,H,H,0.902,memory_run-01,acquisition
74,563.5169999999998,3.0,CS+,tools/plow.jpg,Old,acquisition,DO,H,H,1.035,memory_run-01,acquisition
77,586.717,3.0,CS+,tools/ladder.jpg,Old,acquisition,DO,H,H,0.963,memory_run-01,acquisition
81,11.1,3.0,CS+,tools/rake.jpg,Old,acquisition,DO,H,H,0.983,memory_run-02,acquisition
84,32.35,3.0,CS+,tools/wheelbarrow.jpg,Old,acquisition,MO,H,M,1.825,memory_run-02,acquisition
113,237.517,3.0,CS+,tools/weldinghelmet.jpg,Old,acquisition,DO,H,H,1.091,memory_run-02,acquisition
116,258.717,3.0,CS+,tools/chisel.jpg,Old,acquisition,DO,H,H,1.132,memory_run-02,acquisition
121,295.083,3.0,CS+,tools/paintroller.jpg,Old,acquisition,DO,H,H,0.943,memory_run-02,acquisition
128,351.583,3.0,CS+,tools/shoehorn.jpg,Old,acquisition,DO,H,H,1.296,memory_run-02,acquisition
140,448.5,3.0,CS+,tools/stove.jpg,Old,acquisition,DO,H,H,1.117,memory_run-02,acquisition
156,577.817,3.0,CS+,tools/pliers.jpg,Old,acquisition,MO,H,M,1.711,memory_run-02,acquisition
171,81.917,3.0,CS+,tools/drillbit.jpg,Old,acquisition,DO,H,H,0.894,memory_run-03,acquisition
178,131.45,3.0,CS+,tools/plunger.jpg,Old,acquisition,DO,H,H,0.735,memory_run-03,acquisition
180,145.61700000000005,3.0,CS+,tools/transmissionwrench.jpg,Old,acquisition,MN,M,M,1.726,memory_run-03,extinction
197,266.083,3.0,CS+,tools/cheesegrater.jpg,Old,acquisition,DO,H,H,0.7859999999999999,memory_run-03,acquisition
201,295.367,3.0,CS+,tools/gong.jpg,Old,acquisition,DO,H,H,0.782,memory_run-03,acquisition
218,432.68300000000005,3.0,CS+,tools/electricbreaker.jpg,Old,acquisition,DO,H,H,0.957,memory_run-03,acquisition
226,497.3,3.0,CS+,tools/reflexhammer.jpg,Old,acquisition,DO,H,H,1.239,memory_run-03,acquisition
231,537.7,3.0,CS+,tools/beadingtool.jpg,Old,acquisition,DO,H,H,1.286,memory_run-03,acquisition
11,86.8,3.0,CS+,tools/blackboard.jpg,Old,extinction,DO,H,H,1.197,memory_run-01,acquisition
12,94.884,3.0,CS+,tools/measuringcups.jpg,Old,extinction,MO,H,M,2.185,memory_run-01,acquisition
22,171.584,3.0,CS+,tools/ruler.jpg,Old,extinction,DN,M,M,1.175,memory_run-01,extinction
38,291.767,3.0,CS+,tools/broom.jpg,Old,extinction,DO,H,H,0.91,memory_run-01,acquisition
43,329.117,3.0,CS+,tools/fan.jpg,Old,extinction,DO,H,H,1.7,memory_run-01,acquisition
49,375.55,3.0,CS+,tools/thermometer.jpg,Old,extinction,DO,H,H,1.103,memory_run-01,acquisition
68,518.034,3.0,CS+,tools/sparkplug.jpg,Old,extinction,DO,H,H,1.338,memory_run-01,acquisition
69,525.117,3.0,CS+,tools/levelmount.jpg,Old,extinction,DO,H,H,1.346,memory_run-01,acquisition
82,18.166,3.0,CS+,tools/lawnmower.jpg,Old,extinction,DO,H,H,0.8420000000000001,memory_run-02,acquisition
87,53.583,3.0,CS+,tools/spoon.jpg,Old,extinction,DO,H,H,1.279,memory_run-02,acquisition
102,159.783,3.0,CS+,tools/eraser.jpg,Old,extinction,DN,M,M,1.214,memory_run-02,baseline
115,251.667,3.0,CS+,tools/woodchipper.jpg,Old,extinction,DO,H,H,1.263,memory_run-02,acquisition
123,311.233,3.0,CS+,tools/routerplane.jpg,Old,extinction,DO,H,H,1.027,memory_run-02,acquisition
134,400.05,3.0,CS+,tools/measuringdevice.jpg,Old,extinction,MO,H,M,1.98,memory_run-02,extinction
143,472.75,3.0,CS+,tools/wrench.jpg,Old,extinction,DO,H,H,2.333,memory_run-02,acquisition
145,488.916,3.0,CS+,tools/weedeater.jpg,Old,extinction,MN,M,M,2.789,memory_run-02,acquisition
169,67.733,3.0,CS+,tools/vegetablepeeler.jpg,Old,extinction,DO,H,H,1.186,memory_run-03,baseline
175,110.233,3.0,CS+,tools/viceclamp.jpg,Old,extinction,DO,H,H,1.781,memory_run-03,acquisition
183,166.917,3.0,CS+,tools/mallet.jpg,Old,extinction,MO,H,M,2.086,memory_run-03,extinction
187,195.317,3.0,CS+,tools/sander.jpg,Old,extinction,DO,H,H,1.751,memory_run-03,extinction
215,408.467,3.0,CS+,tools/beaker.jpg,Old,extinction,DO,H,H,1.638,memory_run-03,acquisition
219,440.767,3.0,CS+,tools/benchdogs.jpg,Old,extinction,DO,H,H,1.011,memory_run-03,acquisition
233,553.85,3.0,CS+,tools/tubeflaring.jpg,Old,extinction,MO,H,M,2.202,memory_run-03,extinction
235,570.034,3.0,CS+,tools/pruner.jpg,Old,extinction,MO,H,M,1.982,memory_run-03,baseline
5,42.367,3.0,CS+,tools/whistle.jpg,New,foil,MN,CR,CR,2.617,memory_run-01,
13,102.984,3.0,CS+,tools/engine.jpg,New,foil,MO,FA,CR,2.509,memory_run-01,
18,141.317,3.0,CS+,tools/keys.jpg,New,foil,MN,CR,CR,2.79,memory_run-01,
19,148.384,3.0,CS+,tools/caulkinggun.jpg,New,foil,MO,FA,CR,2.38,memory_run-01,
20,156.434,3.0,CS+,tools/wateringcan.jpg,New,foil,MN,CR,CR,2.319,memory_run-01,
21,164.517,3.0,CS+,tools/dremel.jpg,New,foil,DN,CR,CR,2.2840000000000003,memory_run-01,
25,192.834,3.0,CS+,tools/whisk.jpg,New,foil,DN,CR,CR,1.4280000000000002,memory_run-01,
30,231.234,3.0,CS+,tools/level.jpg,New,foil,MO,FA,CR,1.362,memory_run-01,
44,336.167,3.0,CS+,tools/microscope.jpg,New,foil,MN,CR,CR,2.189,memory_run-01,
51,389.717,3.0,CS+,tools/mellonballer.jpg,New,foil,MN,CR,CR,1.739,memory_run-01,
53,404.884,3.0,CS+,tools/electricdrill.jpg,New,foil,MO,FA,CR,2.261,memory_run-01,
59,451.334,3.0,CS+,tools/grapplinghook.jpg,New,foil,DN,CR,CR,1.679,memory_run-01,
62,473.551,3.0,CS+,tools/bolt.jpg,New,foil,DO,FA,FA,0.936,memory_run-01,
64,487.717,3.0,CS+,tools/lantern.jpg,New,foil,DO,FA,FA,2.762,memory_run-01,
71,540.284,3.0,CS+,tools/burnisher.jpg,New,foil,MN,CR,CR,1.822,memory_run-01,
79,602.9,3.0,CS+,tools/magnet.jpg,New,foil,MN,CR,CR,2.307,memory_run-01,
89,67.733,3.0,CS+,tools/razorblade.jpg,New,foil,DN,CR,CR,1.376,memory_run-02,
92,89.0,3.0,CS+,tools/stapler.jpg,New,foil,MN,CR,CR,2.096,memory_run-02,
93,96.067,3.0,CS+,tools/duster.jpg,New,foil,DN,CR,CR,1.591,memory_run-02,
99,138.567,3.0,CS+,tools/carabiner.jpg,New,foil,DN,CR,CR,2.298,memory_run-02,
101,152.717,3.0,CS+,tools/telephone.jpg,New,foil,MO,FA,CR,2.645,memory_run-02,
108,202.167,3.0,CS+,tools/pizzacutter.jpg,New,foil,MN,CR,CR,1.717,memory_run-02,
109,209.233,3.0,CS+,tools/sawblade.jpg,New,foil,DN,CR,CR,1.263,memory_run-02,
119,279.933,3.0,CS+,tools/hedgeshears.jpg,New,foil,MN,CR,CR,2.488,memory_run-02,
122,303.15,3.0,CS+,tools/battery.jpg,New,foil,MO,FA,CR,2.371,memory_run-02,
124,319.3,3.0,CS+,tools/snowbrush.jpg,New,foil,MN,CR,CR,2.619,memory_run-02,
126,335.43300000000005,3.0,CS+,tools/flashlight.jpg,New,foil,MO,FA,CR,2.14,memory_run-02,
135,408.117,3.0,CS+,tools/anvil.jpg,New,foil,MO,FA,CR,2.812,memory_run-02,
149,521.25,3.0,CS+,tools/clamp.jpg,New,foil,MO,FA,CR,1.737,memory_run-02,
155,569.75,3.0,CS+,tools/laptop.jpg,New,foil,DN,CR,CR,1.99,memory_run-02,
158,593.95,3.0,CS+,tools/pick.jpg,New,foil,MO,FA,CR,2.283,memory_run-02,
159,602.034,3.0,CS+,tools/scratchawl.jpg,New,foil,MN,CR,CR,1.96,memory_run-02,
161,11.1,3.0,CS+,tools/vicegrips.jpg,New,foil,MO,FA,CR,1.347,memory_run-03,
164,32.317,3.0,CS+,tools/vacuumcleaner.jpg,New,foil,DN,CR,CR,1.188,memory_run-03,
167,53.567,3.0,CS+,tools/hourglass.jpg,New,foil,MN,CR,CR,1.922,memory_run-03,
176,117.317,3.0,CS+,tools/nailgun.jpg,New,foil,MN,CR,CR,1.814,memory_run-03,
184,174.017,3.0,CS+,tools/shovel.jpg,New,foil,DO,FA,FA,0.8859999999999999,memory_run-03,
192,230.717,3.0,CS+,tools/cuttingboard.jpg,New,foil,DN,CR,CR,1.466,memory_run-03,
194,244.85,3.0,CS+,tools/compass.jpg,New,foil,DN,CR,CR,1.683,memory_run-03,
196,259.0,3.0,CS+,tools/clippers.jpg,New,foil,MO,FA,CR,1.954,memory_run-03,
200,287.3,3.0,CS+,tools/stethoscope.jpg,New,foil,MO,FA,CR,2.262,memory_run-03,
203,311.5,3.0,CS+,tools/electricsewingmachine.jpg,New,foil,MO,FA,CR,1.872,memory_run-03,
204,319.583,3.0,CS+,tools/staplegun.jpg,New,foil,MO,FA,CR,2.753,memory_run-03,
214,400.4,3.0,CS+,tools/smartphone.jpg,New,foil,DN,CR,CR,1.2819999999999998,memory_run-03,
223,473.067,3.0,CS+,tools/crank.jpg,New,foil,MO,FA,CR,2.3480000000000003,memory_run-03,
224,481.133,3.0,CS+,tools/tape.jpg,New,foil,MO,FA,CR,2.505,memory_run-03,
232,545.783,3.0,CS+,tools/watch.jpg,New,foil,MN,CR,CR,2.062,memory_run-03,
236,578.1,3.0,CS+,tools/magnifyingglass.jpg,New,foil,MO,FA,CR,2.04,memory_run-03,
0,4.034,3.0,CS-,animals/goldfish.jpg,Old,baseline,DO,H,H,1.656,memory_run-01,baseline
8,65.584,3.0,CS-,animals/marmot.jpg,Old,baseline,MO,H,M,1.994,memory_run-01,baseline
26,199.9,3.0,CS-,animals/hyena.jpg,Old,baseline,DO,H,H,1.429,memory_run-01,baseline
35,268.584,3.0,CS-,animals/shrimp.jpg,Old,baseline,DO,H,H,1.344,memory_run-01,acquisition
47,359.4,3.0,CS-,animals/cricket.jpg,Old,baseline,DO,H,H,1.111,memory_run-01,extinction
55,419.017,3.0,CS-,animals/horse.jpg,Old,baseline,MO,H,M,2.888,memory_run-01,acquisition
75,571.5840000000002,3.0,CS-,animals/caterpillarhawkmoth.jpg,Old,baseline,MO,H,M,1.78,memory_run-01,baseline
78,594.8,3.0,CS-,animals/flamingo.jpg,Old,baseline,DO,H,H,0.925,memory_run-01,baseline
